"PlatformPortfolio","Competition.effective.only","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aircraft","Not Effective Comp.",0.647652845744987,0.619426191579699,0.736965389566408,0.753268992820433,0.728978920262166,0.69641688675421,0.66610577921118,0.652863381286473,0.63686245496507,0.673020397210777,0.696125170135658,0.722261098129887,0.747043756768462,0.759401453002308,0.737080977109244,0.730639090503183,0.769839779169552,0.790100772044573,0.775874216395006,0.772016917713887,0.803492285935698,0.833974673498557,0.810074722607785,0.796249858756579,0.832692481302915,0.840216696306547,0.860544728853876,0.853309653990657,0.851990619635257,0.901847941911047,0.82514214992032,0.855422318035494,0.890089507861259
"Aircraft","Effective Comp.",0.294517253619441,0.310088380965882,0.23045739088606,0.212182708723421,0.246841779877139,0.286686012351455,0.317078278916916,0.326690666238657,0.357249142168132,0.323489423085834,0.302392141112665,0.275574155592113,0.250213162064769,0.236948804330383,0.259218503512557,0.265728331901646,0.228192816753723,0.208547237361488,0.22333927547284,0.227552214308361,0.194795453676642,0.164924239477265,0.188741015040954,0.202882998026684,0.166585843026437,0.159094140587192,0.13859392808582,0.143807251761641,0.146771821822586,0.097503314352467,0.174604073024506,0.144176849163823,0.109462393873556
"Aircraft","Unlabeled",0.0578299006355721,0.0704854274544188,0.0325772195475314,0.0345482984561455,0.0241792998606956,0.0168971008943355,0.0168159418719041,0.0204459524748699,0.00588840286679786,0.00349017970338902,0.00148268875167631,0.00216474627800036,0.00274308116676932,0.00364974266730894,0.00370051937819924,0.00363257759517034,0.00196740407672549,0.00135199059393846,0.000786508132153894,0.000430867977752439,0.00171226038766008,0.00110108702417796,0.00118426235126083,0.000867143216736521,0.000721675670647869,0.000689163106261314,0.000861343060304201,0.00288309424770224,0.00123755854215669,0.000648743736485887,0.00025377705517411,0.000400832800683413,0.000448098265184803
"Ships &
Submarines","Not Effective Comp.",0.392188730071433,0.338321175682238,0.374729057751359,0.348706942394751,0.615529803594144,0.483801801995899,0.534892931820295,0.546537983488792,0.506229232821283,0.530586603694365,0.787535653662608,0.545619761325759,0.530215043749922,0.656673958714645,0.552186498381198,0.752473764480705,0.760388909440468,0.776103852265338,0.735461146573727,0.659315658952912,0.685676669715209,0.646151078664084,0.628331508278182,0.630747509124231,0.581799780787238,0.579134274931219,0.569168961959732,0.531323522136536,0.550969952403499,0.631404365388615,0.65139525301966,0.556221330671691,0.515973670969244
"Ships &
Submarines","Effective Comp.",0.602133639127283,0.661962597773948,0.623625991647544,0.651454234720593,0.383834673691579,0.51555088124418,0.463858824311171,0.426037518624338,0.463004944212287,0.461943258270685,0.2044375378948,0.405960237396831,0.427463359244528,0.323973108836838,0.430048235330369,0.233488433477003,0.237010648529076,0.215951391224707,0.262678309640225,0.337635990033404,0.312965966798126,0.353094820199805,0.371108143347956,0.368022210475909,0.417392116259718,0.42014028047371,0.43024307824831,0.467959822761612,0.448458931862247,0.36779451819217,0.348240686109524,0.443690832586304,0.483994032524951
"Ships &
Submarines","Unlabeled",0.00567763080128363,-0.00028377345618587,0.00164495060109666,-0.000161177115343698,0.000635522714276663,0.00064731675992076,0.0012482438685338,0.0274244978868699,0.0307658229664292,0.00747013803495008,0.00802680844259259,0.0484200012774096,0.0423215970055498,0.0193529324485173,0.0177652662884333,0.0140378020422915,0.00260044203045584,0.00794475650995486,0.00186054378604834,0.00304835101368358,0.00135736348666521,0.00075410113611117,0.000560348373862404,0.00123028039986022,0.000808102953043354,0.000725444595070702,0.00058795979195819,0.000716655101852155,0.000571115734254426,0.000801116419215286,0.000364060870816294,8.78367420050446e-05,3.22965058053779e-05
"Land Vehicles","Not Effective Comp.",0.77967335865688,0.524816796349929,0.636988976662497,0.65355689567328,0.58861106090499,0.688022321814581,0.634842927437489,0.650373670712286,0.721438534553337,0.692291754944772,0.570607773120384,0.564732258158283,0.742155693382997,0.582553410348886,0.699610780496539,0.693189317471899,0.689577279597782,0.672205081375005,0.676722305277605,0.638650237196625,0.706499193717633,0.657025788514658,0.642977418199171,0.690235226089623,0.742707668071157,0.680825919360344,0.665338135302371,0.680459621189277,0.628123027887114,0.666344028619942,0.605245431445928,0.744076453800288,0.750959919840924
"Land Vehicles","Effective Comp.",0.220224857447961,0.439291251997675,0.362957962450853,0.34573695943986,0.410687325471688,0.311034132494985,0.360276189100453,0.341225070657607,0.269284641757098,0.292148863417087,0.43117751508976,0.430914110093331,0.253450331937181,0.410948993637918,0.299967330959835,0.305470900220197,0.309838458950668,0.327481318051024,0.322470985135355,0.326306456405947,0.289695259410448,0.339050246953919,0.352756286064796,0.302508088826121,0.256886153920496,0.317817886761154,0.328505031965237,0.318423123046631,0.365592282626189,0.330910226226641,0.383347726486598,0.253042988993568,0.249302548090718
"Land Vehicles","Unlabeled",0.000101783895158594,0.0358919516523956,5.30608866503616e-05,0.000706144886859441,0.000701613623322025,0.000943545690434009,0.00488088346205851,0.00840125863010704,0.00927682368956461,0.0155593816381411,-0.00178528821014443,0.00435363174838624,0.00439397467982225,0.00649759601319582,0.000421888543626334,0.00133978230790368,0.000584261451549577,0.000313600573971186,0.000806709587040137,0.0350433063974278,0.00380554687191903,0.00392396453142224,0.00426629573603287,0.00725668508425539,0.000406178008346476,0.00135619387850129,0.00615683273239184,0.00111725576409241,0.00628468948669741,0.00274574515341698,0.0114068420674747,0.00288055720614407,-0.000262467931642061
"Space Systems","Not Effective Comp.",0.346119005538089,0.454813119514068,0.611745555300168,0.750875072338476,0.61363602011603,0.58897960446762,0.587646694014,0.627949060155181,0.639781493205637,0.455267072504199,0.363170674405637,0.412198095017667,0.535605816366976,0.412812453135687,0.418591300010449,0.529907940950837,0.468864098776263,0.501594934221314,0.546088419669449,0.555081549145991,0.602543528333563,0.651407245871683,0.62568299829244,0.661258759555019,0.718618119193892,0.650755698844146,0.690662445447016,0.536855964302335,0.607768718998746,0.61337795905392,0.488840931043481,0.531587141369336,0.556012149439214
