"UnmodifiedUltimateDurationCategory","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"<=2 Months",,,,,,,,,,,74734263.2115,651380321.6272,2369331120.6526,389472349.0226,926767810.755,2068972351.9121,9040956617.3367,28856537613.8959,32918333255.0533,27982781954.1746,26925101823.8642,25383249734.8523,23787502633.623,19382392583.2261,30746778965.9807,27795380308.0102,28805789808.5697,29380050202.1822,33683745670.6997,28523254221.8945,28203525700.0359,28935635884.5672,36928750733.3726,19986978859.6779
">1-2 Years",,,,,,,,,,3325939,1135593048.9812,4073193634.4718,2801053908.6063,5595888693.4327,5968754342.2356,10006023494.0733,16919146661.095,49428273280.7713,64497043804.8399,71993109031.3645,67756887257.2357,64586846165.2838,67599850291.7727,51205929042.3842,41645844951.5725,42797987636.2028,47604813509.6628,57417371953.5365,65349833722.9162,72771041702.4744,92939493551.8149,59652985765.7933,64894316909.0513,34017620219.8919
">2-4 Years",1135000,3869000,,2766869,1621810,486569,262350,,,2850000,2488488999.5,3599840064.1739,6015953466.0033,7646423825.5376,12781940178.9761,12707016832.746,18382045354.4854,43013018813.9571,61456442943.0859,64889783890.9835,63572657191.7349,63725600442.4643,65815030221.4321,66981678840.5049,58302653259.2906,58391446511.9519,65460538451.4638,68049499095.3043,80071038165.3657,85734457565.2165,81992826230.76,73088473628.2097,80019283711.3442,44091832049.7961
">2-7 Months",,,,,,,,,,,343143083.9819,512987622.1623,1555406585.2706,3214333050.0116,3670535009.3269,7142400056.4633,13399770947.028,32685815323.9094,41313453303.1465,38849292616.9352,41828046587.0391,45956875766.4803,41292247804.1836,27466288391.1796,24160509911.495,26125702052.7336,24403575266.7684,33231180408.8362,28223678359.4084,25021986219.6739,28368396802.8142,33302321035.636,35038088413.738,14692109541.4239
">4 years",1499432000,237541000,364081104,313330343,543901007,665199848,7555413,38487552,1052459050,986981234,5017460203.1224,8192697170.7767,17486318785.8136,30626288568.2821,40512720818.4011,51815186667.7532,65772432684.2807,81077775950.0076,94098037211.6879,92696048220.5269,82609319218.0016,90735877562.0892,91053079275.4071,85766613506.128,74118708907.7934,67818107774.5692,79407671997.0717,80942450240.4068,95121752375.3159,117010753285.659,126447924395.129,118797441322.727,129048417577.283,113052895793.649
">7-12 Months",2200000,387000,2335875,4100000,1450000,6e+05,-245000,,,,995882938.2904,1727062264.7525,3828081469.2678,8312847238.1039,6488614279.3282,9320351023.9063,14305397663.6952,41150939311.0356,53100621925.8143,62151502496.3086,65971425889.1494,67153848761.3261,62588138394.7813,50536606062.958,51537548736.9748,48770671225.6811,50284326446.8601,49643695623.0744,55218849243.1654,54795830259.3982,63790385257.3017,71747565105.7935,67911576621.5159,36404002393.453
,118847362405,135912396844,123040243571,121053184930,116614929908,115925728451,118441206335,115943664327,115913423117,121191879315,122123183969.3,125236477465.872,135754375890.514,155747833787.947,159412624609.766,172603410599.036,157345428182.932,51941120287.3319,30604167303.7766,22992862576.6919,13740430873.9828,11023617528.6661,5500582034.387,5241543916.3006,2772315891.392,2485146257.4756,2395070147.9956,1951599281.9978,1286923216.5805,-1917104.3713,858947165.7324,1539465854.9308,480258082.8983,175563900.4957
