"PlatformPortfolio","AnyCommercialText","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft","Not Classified
as Commercial",55174459395.168,53747302412.0177,56157422929.2982,70133139293.3273,64758369611.2061,62145315100.7744,70541223279.7727,77511986277.7275,84494936949.1354,83447447363.5308,79575252626.3402,87499862870.9012,97415723661.347,89666216864.2818,70228484515.3369,74091538998.5786,89855032943.0714,101126854880.437,94744571067.9851,98855027638.2356,115137583023.296,74752239156.6576,72593851211.5412,92126337028.453,64712337302.4878,40133876442.0441
"Electronics,
Comms & Sensors","Not Classified
as Commercial",28677444768.1394,29713638441.118,24583787050.5339,28677932350.0867,33028862792.3285,42482577237.3112,44320723070.6718,47859748648.0436,51571934295.6841,51323461500.6674,51594793374.9468,48229784716.7057,46553969460.5287,38357599276.8845,36229319537.603,34280840240.3839,37032093930.9352,38949038789.6845,42999602706.2168,44734503179.5192,43025076192.9467,36117430084.1297,35825807725.0446,35808611062.691,34859948377.0835,15465688378.5298
"Facilities &
Construction","Not Classified
as Commercial",32045915323.1571,34409436344.5225,36470915938.7731,46836169338.6386,45713245297.989,52642407107.3602,56567130465.3951,54457142529.6491,68564661525.625,78080652819.063,71501396413.4778,61959622691.2986,54698503738.2232,42192096624.0072,44760590015.1181,38905945303.2121,39004624482.7804,37536489409.9564,45077900478.9205,50028956677.2584,57520746007.5362,44050636229.7489,48200172983.4279,52957507781.49,52508555181.6976,20988139419.315
"Land Vehicles","Not Classified
as Commercial",5383973128.97687,4454591758.65824,6575907457.02991,13125713016.0609,9125601996.96909,19930872390.3297,18530227833.5851,31137752894.3199,43834860357.3095,33597938386.1264,30244326363.8168,23007457887.4915,12260941021.6774,8266694911.21978,6188287778.22847,6968333900.71647,7799214593.91985,8606358587.19842,13374578821.744,12995867607.0746,11826471487.9706,9231773076.03851,9932482212.05581,11843770316.5492,10601914375.16,6308777924.09149
"Air & Missile
Defense","Not Classified
as Commercial",6224426295.08305,6568480710.90469,9043971502.79404,9086117919.99062,10368861322.6416,10732386586.2567,11697135300.2148,13360713622.5546,14184147912.8712,16532058931.026,16707043264.4417,15985835644.2048,16518702403.8139,15525719337.8388,11705074457.5671,13325066579.5927,13588483515.2804,10735793738.57,17559885042.5526,17593275881.5534,23489329649.0618,14986157122.9674,15639405307.576,13812733999.5322,13569046901.1076,6157187400.55067
"Ordnance &
Missiles","Not Classified
as Commercial",13251174722.471,13800806901.903,18289466344.8217,19272005580.1636,19816483675.1677,20429555378.6038,19363693699.3582,22541605161.5885,23146655958.1318,21266266028.9151,19349190799.3911,18270095239.1592,18301209441.4989,14862121922.4979,14639624201.2375,14783209612.9106,18798932596.6699,21506894026.2986,23991271157.0361,26408970664.4753,26012871055.4198,22635129214.0867,19621093120.3653,31868271187.9309,33741695980.7874,14601753466.9095
"Other
Products","Not Classified
as Commercial",5133838386.84836,5865250088.38873,6786565025.03573,6979540776.46588,8142276363.50789,37467689600.916,32858503031.5054,16240179838.2933,9275560853.63136,10850724895.4934,10621066107.7769,10237520990.8995,9136248683.89739,7631904041.7171,8041680998.39177,8853775380.83018,11224536729.7286,11228878498.0654,12318199521.4333,12021661199.1874,11120459096.7312,10485155457.6642,9936490775.00351,12433545979.5406,14085873252.2557,7768204405.06369
"Other Knowledge
Based","Not Classified
as Commercial",19819262175.0524,18769544973.0868,21680738021.1523,24696245611.4241,26134804289.5796,32951249126.3956,35373950992.9416,35582772257.8986,38582939664.0604,43385460879.9116,44571854567.0534,43836282366.4012,44045377399.3262,36032034283.9469,34472256809.102,33309845699.9238,33054489452.9739,34432586928.5595,37472408692.8789,41135483394.5398,41765830460.7113,48963202315.2726,48543210570.7472,56716415090.0386,62624490364.9759,32444933138.483
"Other
Services","Not Classified
as Commercial",8747901592.77746,9815994750.00451,14966976152.3733,22058117493.8128,26071037225.3024,30233900323.3004,32142307351.6575,30296954671.0196,33526551527.5533,36913385388.2334,38885684913.5066,39343188282.7806,34246156262.8498,31968046760.0347,25844223289.7516,23151925309.93,24045381309.5111,25791350043.9179,26580094572.1122,26705103015.2122,25884381462.7497,24247269867.4222,24258375023.5106,24091750097.9949,23156445009.7373,12822486423.6249
"Ships &
Submarines","Not Classified
as Commercial",15451891351.4192,19932263311.0794,19889301890.121,19250517454.2391,22264201351.2725,20558572371.5438,23804920323.4295,23319319975.5427,25844285990.1138,28733272342.4187,23002721040.2582,37060129476.2246,30407190970.3191,29095671640.9405,28740362896.9559,24851039195.915,28614607351.3888,30794682553.1811,32921829708.1551,33903427840.2946,41462411813.3338,31229371798.1516,30768861643.1865,33191344027.9808,31312373750.4109,27970342443.1292
