"PlatformPortfolio","Shiny.VendorSize","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Aircraft","Unlabeled",2653119679.20252,769727028.196245,676904845.367409,719462272.227883,992449015.805641,587094001.851403,656030568.634037,12598051.4873105,55818515.9838199,3430584.02358687,29964013.9960173,196966.518646328,856857.389067425,7333721.10654909,16776914.1760793,14291154.1243714,12059359.3937775,3438689.95951229,18030151.7331348,10100162.8133166,58633222.5498174,116348797.675084,16957493.393361,7573210.49129179,157890510.908903,177248307.131463,197361310.597691,228892002.217616,193650449.484023,203702081.356113,44656859.2995232
"Aircraft","To Be Labeled",1304850118.24719,-405217285.778163,926239730.432659,62245611.5592314,1437154904.72883,1510070839.76388,1001894269.29691,2221246625.67004,2056697444.30818,3283535575.61879,466848739.314048,912999022.061235,310212286.355523,83483866.3819783,154172610.530516,278447550.148375,224754599.235651,324482218.365935,411019652.376763,415946440.778541,485054079.065351,418867075.501888,492551323.295353,482947856.273997,364304455.296853,249345395.414497,258518808.737017,152699071.877254,297057999.80956,699738365.667463,814063080.269473
"Aircraft","Big Five",32736604570.3761,32898269094.5267,34470969786.3814,32908496299.464,33448104216.7605,28579134045.525,32412682464.2578,29861875931.9679,31139280414.1675,33403940818.5522,34838412977.1603,35719038284.0211,38794996809.9074,49368822269.1472,44270425012.7361,39124812769.4256,47461014194.5847,52865579249.2207,52801253791.2963,52806734038.5677,48093842661.3045,54202516769.9554,62427526999.1057,60199232477.2909,42060097372.3276,45581995971.6417,64528038600.9456,75757859058.6702,64558731048.8761,64500017539.5002,86463401022.2509
"Aircraft","Large",21398527875.0981,16531854846.4412,16000941296.8487,16175222454.8726,15104819750.5587,12709534325.3316,13926228828.0211,14476367748.4797,16404934166.0036,16189058867.9134,15280645023.3435,15118354962.6028,15508544751.3904,20573381809.1275,20949951231.7498,21976126548.2893,21746402322.3054,23693854386.9486,29526909576.4259,27138115589.1128,26792998457.9656,27720630770.7391,26829130793.9356,22531799462.2574,20964580972.2351,20460624027.6821,17944455081.2642,16738981386.2536,20841733588.2526,24117007551.1971,20748569490.9735
"Aircraft","Medium",5943405895.04779,8234259512.81645,6437905527.45935,6581683879.03474,5354051679.15137,5005676222.17019,3673315281.36822,4363381286.92935,5042116903.81909,5250882108.05818,5203118802.59071,4255469383.72131,4489583157.25778,3988894065.08075,4621066623.85555,5144163268.0396,4898717969.33129,4486112785.20405,5027254783.82829,5458011524.95917,6394526755.74756,7040878763.76631,8203177886.29866,7162867869.49422,5713997666.76027,6428369519.21534,6112019135.69693,7704463792.53031,8650998884.7082,9993810082.27076,9125062553.08957
"Aircraft","Small",1804490619.82228,2769922929.27934,1939513159.74797,2063918273.21183,1993412979.47864,2049466010.96835,2201307156.99919,2381098722.70959,2988346851.35229,3686067261.08138,3717841657.55102,3279978352.14856,3960279696.68914,4057569795.63803,3972717177.02302,4482053117.93051,4133624737.20283,4236367214.76234,4766841037.71076,4575316274.26667,4763986150.29607,4453231016.45434,4534018410.46988,4384270007.30588,4369613908.49373,4354127236.67631,4627170903.95697,4829945258.98083,5761739965.28891,5871311574.41687,4665741530.4128
"Ships &
Submarines","Unlabeled",122822854.560081,209162933.241017,327010525.531533,199190652.868068,119858029.441779,91479814.4258003,68177892.5500758,16127744.5046576,16952869.9978319,407802.696548094,,410878.723446862,4360418.29087314,22457.4552397382,382300.271602732,7635374.11302259,2978143.86011322,65160069.9436465,31628397.7933439,39887910.5598287,11984414.6538169,10032766.0722549,1729755.84271299,2682216.00839624,1687887.8699821,1059572.47977945,1780935.49008639,1766750.26956138,763592.245626373,569554.935300713,615320.715308395
"Ships &
Submarines","To Be Labeled",,,,1798786.05924815,,,0,2915326980.96112,670120509.272774,2049804105.19436,93712399.2436852,75852091.9321529,124596988.011789,235427114.470924,101456748.432167,99407517.5509533,132123650.839037,155737692.575831,126348304.592504,132550802.19891,149229550.524009,321565977.180399,-121200465.1905,126210271.793637,225125377.176041,142531336.536397,189852189.71249,263307956.155537,218818332.871095,463433246.452308,207879518.755477
"Ships &
Submarines","Big Five",2926687194.4752,4485794512.61383,1487542680.52091,1399049412.94809,1753020323.44977,2145818722.25934,4099772362.18824,4946627577.87884,8726747215.17996,6012621420.17841,4464986718.73861,5553427109.09286,13856941055.4964,11712733262.17,14192630357.5343,14341553815.7547,16213465395.0664,16093987308.8039,17149409936.8578,18604053287.9671,12534968517.5821,23197694337.1014,10834057578.2316,9869372963.87926,13162947238.2739,10422106917.2491,12422171214.3474,11422839196.8501,11865268731.8398,12918961291.2873,20992528392.4019
"Ships &
Submarines","Large",7355730954.22888,7672518557.62535,8312124648.14335,7102513594.13529,6103600009.90568,4398680691.44439,4862215893.84701,3808447196.50518,3568206670.75787,4117522483.1385,6964519576.97246,2271406045.49336,2692208565.03363,4000664253.17232,4891695022.24418,2913544253.78328,4325141105.84364,4187310353.29145,5620554324.27434,5318214057.98553,5408673798.77964,7146070922.00565,13839209439.1918,13889995016.5532,10997850543.6778,10362987533.6297,11424567934.3948,14813565496.0687,15063734915.8594,14689557402.3476,15802815579.3134
"Ships &
Submarines","Medium",8394685834.57156,4192693725.29967,4302821269.91786,7464600477.57675,4206035388.55686,9247824804.98994,3740010471.02065,5291278543.57102,5413671872.67419,4330230588.97709,2486038518.20752,10786075085.9349,2031135286.68086,1714510274.30623,1704450064.04798,1813313393.13469,1397353841.82425,1421893334.22494,1535130329.26225,2346222195.28623,2162959423.49834,3625446391.19994,3169106978.10901,2799326553.30088,2549056730.67021,2640812683.48891,2963092939.3179,2616741583.86963,3900351241.867,4052058967.01451,2551687254.89433
"Ships &
Submarines","Small",3313546921.14124,2448491018.90493,2345977497.57801,2004761499.00399,1618511533.81926,1754513366.33028,1528292522.6897,1833264414.53586,1746748985.8378,1812079289.68378,1719501389.25697,1673138472.71505,1806324974.20112,2429499483.11306,2082166626.46642,1913708878.3662,2397061101.52776,2503327662.56091,2380526422.1938,3080985377.50312,3634972108.05393,3580712856.18249,3499431908.18399,3110353072.49656,3185313510.75551,3312059827.11222,3618837387.87568,4158108644.38876,6449354627.65435,7036176285.80698,7123379765.57218
"Land Vehicles","Unlabeled",1821376644.40358,307253181.339296,420608451.973288,249334340.184002,104720803.630642,175725126.217726,221414619.420456,17428535.0209357,15558959.5120826,703482.218964261,,83919.2266569234,1047410.85683923,8169266.26694331,2787563.93000296,28235838.0062096,131804312.78998,61742231.0666513,118558268.394872,145574058.227857,284313848.370529,254328139.209461,198829192.14209,90873624.3260983,11864987.0061377,19688089.3668414,12608468.305237,190888656.979842,287938068.86471,378071421.33788,135555731.906628
"Land Vehicles","To Be Labeled",202691.629847904,,,,,,436859.489462725,945958747.218406,951908601.892589,1560012253.1302,981170462.940833,721131815.574996,1208722156.45352,7177167636.60311,2160856853.40958,3838249793.42878,3003306819.23521,4353510281.99036,6121279514.52413,3466524710.60688,1183749887.56799,1596363199.9179,157822461.815389,55446835.3298446,238697572.377754,1076677040.55276,879294723.801928,1069061816.65377,637181227.717269,1017607323.0031,636113821.08125
"Land Vehicles","Big Five",1833544347.04027,2776845883.81138,1534800372.51572,1801211605.18519,2370712462.62647,1154401357.8022,1408175302.54623,1407508824.94062,1231926375.46529,1266106529.83166,1408795446.61181,1074774818.02756,1992051543.88299,1792040829.88605,2247401777.52059,4769211038.96104,7949694848.75686,9683139487.60527,11195877454.9562,9458528752.41817,6001859809.55643,5016603902.99063,3405900894.01675,2435029290.47483,1979195540.31844,1177055239.04621,1356574622.72395,2137985922.44705,3465586396.49162,2654766823.61852,2777945233.81962
"Land Vehicles","Large",3592525061.96169,5131433006.62811,2040636845.85271,3361363544.93183,2037359571.02028,1060825691.58624,1675191030.68743,1567706929.47446,1235308788.18364,1849924571.27722,1723605923.65681,1545384921.81906,1933082534.58896,2612179831.92567,4473154233.51513,6194752860.72089,6613523150.35888,17902044815.7953,28920172024.9886,18704622044.1957,20423466448.4523,13604093170.3838,7470968664.33623,4342615483.44556,2930671989.52211,4273949172.48239,4470605622.38569,3758080992.27192,7567136986.1093,7467810768.58122,6971297948.94785
"Land Vehicles","Medium",920013171.315764,3372122760.87666,3041014238.13493,2150775503.78121,1615044371.39253,2554217717.97056,2534929684.15292,3252032132.5746,2397998284.46304,3356556569.33168,1008111910.39595,1527104408.0122,1709277251.16326,2075012440.28989,2168126444.07781,5428754987.88564,3352916757.07916,4849165405.25736,5265642969.66442,4585715638.4065,4642058703.70676,3493230312.05853,1322148806.0649,1524026350.21903,969773753.697442,1507921760.8128,1135654116.2081,1461878581.59987,1476141232.06252,1867467826.08231,1432648454.9747
"Land Vehicles","Small",686489662.629668,1419078173.52815,1086317635.40537,797112362.103895,615406853.908051,708529265.305707,752327301.789822,1100132152.7815,1023382623.18746,1061651229.51107,586505353.390691,544471355.75157,887820552.733768,1622343025.58969,2173843384.41441,2664439849.72854,2416784029.59354,3073880976.08282,3521787146.06548,3228556119.91821,1946092596.90233,2156809692.77447,1636472232.0886,1122865122.41114,1234288655.73352,1321141434.78828,1271837084.64953,1464084564.1722,1691293922.05911,1762388922.28972,1649986540.97453
"Space Systems","Unlabeled",13168751.0943021,11244498.1185904,12507404.0247418,15399723.4304571,4595990.45521015,4543720.11568566,1667532.06024958,570887.912885964,50916.3595627137,,,,,,47106.9167004071,213017.932931657,40310.304238417,,4188.74445916142,32382.5994247003,124452.052808979,2370.57057869232,,,72089.8316366339,71377.4795959857,20181.4952252271,4882.80000093799,4965.9872043317,-68456.4128194146,
"Space Systems","To Be Labeled",295156242.133419,308917175.359228,93666224.0807703,106769849.349574,391348633.645136,258753012.301163,131539466.521873,132703859.209011,128755341.042462,319091654.288452,16150486.3896044,1132281.72909028,1181299.54047901,3473537.60151984,4051188.64528788,5392288.67031905,180429.672434007,634176.444480276,494924.610685954,4194868.51975682,5703731.70303857,6716648.02216883,17493884.9312636,4199605.75908264,3326368.31023357,8429540.34641599,7236271.27194813,4395093.7298443,10229575.1935102,10480900.1646055,7008542.89308321
"Space Systems","Big Five",6174320038.55906,5002847148.45898,3473860106.30719,4784024014.04134,5250147945.37525,4024811006.60901,3567907687.79421,7202329038.95506,5325797835.47373,5260818659.25396,3857716156.24256,5036413722.26342,4986349262.30161,5902043118.67873,7104632881.6797,6545030942.60462,8104673455.98544,8165637679.79473,9464634440.63949,10623699278.313,8525814849.79127,10493808264.4618,10117757470.4639,7099812356.33371,7860207856.44973,5197722555.13816,5195931062.30982,4867004856.74453,3818888269.15552,6261241369.81544,6343462242.09313
"Space Systems","Large",2055599232.38446,1655151782.73261,1349632582.35243,1150655923.52955,824038795.988252,929346079.126828,844504568.126886,820617744.391806,456092163.704877,632778059.962994,515253513.978956,624496199.038606,996045188.937212,1074808269.51553,1024522906.53069,1464546205.17279,1806344580.42078,1526701597.98521,1514381469.03987,1555273634.2343,1637067451.75299,1318762977.56021,1060749561.87728,1078825900.55437,635542852.562252,511950215.77937,432695686.029441,524409237.403234,1068695403.99655,877217797.798269,969228335.48885
"Space Systems","Medium",2017102300.68692,2078764436.41495,1179384239.8014,1070494145.85077,625572730.999331,1214627264.68147,741034591.411675,891356954.063057,1125279410.8202,1094550513.75355,782971378.915715,908384853.209061,992598939.851945,1040669324.12692,1135657051.79275,1345799441.6575,1312287980.29577,1465801425.39392,1854576022.84625,1555972774.25864,1669507976.57472,1637368231.71856,1475241124.15891,1261841198.50501,1142307737.26903,1336588128.59791,1340580418.30653,1470092259.88505,1515082570.89771,571948679.147316,668230384.361289
"Space Systems","Small",314465722.299338,310077369.535556,247106694.560759,185445502.345317,229521811.181856,189061426.953829,171066027.927962,402810387.757668,193623142.767973,377740092.228699,178666645.00867,248415479.861322,285609528.702112,365644657.765958,448861501.693408,435703874.095353,429910212.285127,465495057.255729,449926760.028242,513588329.313474,689301518.927164,462566284.04914,575482795.505176,512422295.21943,477893155.656209,429749809.385618,488565008.811371,496282311.433463,583219293.708879,736401484.614262,487671152.01761
