"Competition.sum","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1 Offer",8559704181.43514,9839417258.61615,11324341921.9826,17241656490.3023,18653608435.8358,20257225932.1717,31379984177.5922,28201555417.2905,42406825324.4809,47828022391.6035,48110357600.4085,57485778416.5219,52939977350.4949,53146408596.7346,46924297717.2525,37345820972.5196,27907585528.4985,25835627411.0564,24032016996.4739,24071440421.606,24834405014.9601,31403987574.8297,37220415918.3999,38596766316.1471,36846717650.104,39042666962.3868,20027667118.2146
"2 Offers",56180315386.3081,52207925444.3768,52181257336.5152,54612706544.2578,48674118518.8809,56067381123.2711,60712060802.1831,59249707374.467,72160111766.9112,74571172604.2891,73729738309.8849,74221649868.678,74242377405.23,68008516568.8441,70774653403.2515,66131841054.9011,59901585979.3693,57758242806.4292,49414437637.8381,57190055774.4278,56157174487.8485,59238056423.6216,53027630593.0204,50025218415.6059,46666000157.6538,49533563071.4684,27919225955.6033
"3+ Offers",44726791896.1049,45991141641.9359,50680164339.9861,53180730196.7058,67312294388.7998,78501621569.1359,97074942328.098,115707999871.969,123637239194.271,132067312556.624,149038981653.055,172416372851.524,182553406546.875,166167942694.46,158224998638.421,155181979668.569,123170144394.332,116249919385.988,108474320186.46,105745182632.048,113178824940.749,129559809518.272,141273225955.53,144144097265.584,129988212027.117,150036654977.997,75022257179.3613
"No Comp.",82377517833.4371,79528081608.4647,78361431143.9303,79337155395.7182,88298223653.1232,99650306593.021,122557450457.046,127508188944.183,134108608259.68,149739364301.173,174048188461.354,197466130645.522,191768148733.724,181019566037.938,191062491655.942,187238486226.868,163982252078.495,141178880881.251,144778341150.507,165822898450.848,178273645164.718,187212745192.563,196659315084.816,232458687656.586,198722381742.508,174365583059.011,125005998394.784
"Unlabeled",4257072140.79101,7759167224.72644,8982099983.21461,9192503954.39492,4208428082.99151,9233403590.20156,10617790249.865,11098710020.5367,11213376846.0884,8474830493.5211,1629550555.18637,2274166677.84547,1998857773.2301,5764351736.99248,5656183592.80383,4473429115.79185,4177702414.57462,2657479234.27584,2170745635.67437,2098626809.46647,2267352789.24852,2481180242.6693,1727908578.70619,1847433357.81401,1659302943.25121,1342223978.3398,2321578512.77803
