"PlatformPortfolio","SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft","Products (All)",23490876032,21485106403,21426143065,19862469361,19840227318,15989315796,19055384842.51,19101920174,21062551379,25029706577.67,26114079621,27141861694.87,28270461299.42,33118637161.3393,32838231985.5516,31406675654.0656,36020736118.5847,41647399175.0093,46797083912.0416,44324342206.9198,43069928586.182,50440842714.8399,55658056269.741,54757011926.7539,40789195394.6003,43922454602.8496,56899150316.82,65811457797.1348,65253875193.6385,69159158753.2084,83711471404.5868,52063865286.4601,54768318042.2951,76994286930.4569,53615369887.04,35717618497.32
"Electronics, Comms, & Sensors","Products (All)",11895574314,10215571897,8562825039,8344260673,7441394250,8492348609,8095303918,9170052699.2,9990694049,11058948344.43,8686125050.0859,9027005089.1619,10515173791.3809,13791626284.0065,16073404598.7344,18719184119.8874,20873537037.8245,23775625000.5701,26053549374.0776,23864826261.1382,24782813822.1851,21352502729.8973,21431456774.7919,17685536868.5749,18018636497.9073,18263551981.7829,19567045930.8383,21348966965.1191,23522409970.5785,25167741007.854,23285099734.6799,20883926384.8509,23686069771.7942,26737865221.1997,29974534813.55,13373832302.08
"Facilities and Construction","Products (All)",1681863769,2125063788,1831233742,1636938796,1584011967,1706925272,1518877723,1644299326,1618658410,2121817744,1665379208,1982549260.22,2694954548.4116,3961331927.4866,4585604093.6099,5266883423.6697,6202627182.1701,6411446429.8079,7430362574.2195,7904084457.9937,8006672818.1334,7971316702.7309,6005706366.7175,4410878676.8274,4628152101.768,4668778991.1913,4566358477.3699,5425946630.0602,6191706127.0193,6041165121.4569,6150257891.9175,7716113562.2849,7546005535.2749,7235776346.2998,7500191247.34,3511919418.98
"Land Vehicles","Products (All)",3602948000,5777698183,3442831184,3665247123,2931017504,2310002172,2626867564,3718677532,3193060830,4467990376,2782364582.4375,2367420111.2609,4062575748.7451,8793972666.5569,7076340883.8406,11400322123.6242,10972455372.4823,23071480008.9941,34807161148.0298,23567102142.5534,22476126762.142,17374071467.41,9848603507.6286,6212108763.0076,4944632169.5221,6612374145.483,6280467328.1898,7191776612.0129,9981281923.9662,10621480231.6057,9559025186.2797,7313889351.1837,8703171599.1497,11273038492.4866,10131310503.3732,5935173582.95
"Missile Defense","Products (All)",2528105000,3818241106,2162582682,3175655494,2130227136,1880260328,2088331724,3044633343,2729409572,2034707210,1129313192,1858297951,3522399672,3340721261,3993688673,4339849491.88,4943980265.0602,5608034857.7656,5590264666.0629,6533950930.0233,6645036446.488,7365649585.3433,8002523590.813,8275260218.702,5488209829.483,7168594694.63,7366267338.0396,4907501167.9884,10982391186.1999,10306006374.7818,15531778020.7328,7955818214.696,9227087172.2722,7381927554.0168,7078317570.07,2832292385.77
"Ordnance and Missiles","Products (All)",7661626000,9540381090,8238346099,6617617641,4580306603,4466541203,4702737706,5926222956,6482400201,7376368469.01,4694449197.9,5255672620.24,6505783863.3934,7941247853.9405,9772195964.4721,10433833044.4141,10176487470.8455,11298340706.4668,14215351724.7049,12151593191.08,11884770482.0197,11814301709.7044,11722217890.4735,9769744063.0304,9490410713.635,9899975522.005,12643698221.5037,14771734601.8047,16829948622.6938,19509437194.6045,19245305860.9835,16584149395.2119,15882371448.661,28057173434.7479,30331209104.24,13043786842.91
"Other Products","Products (All)",10914125000,13705604115,9674658147,10551421083,8629385645,8571790193,9683564429,12422054498,10942920739,9491602742,8636545116.09,10224627550,13387175797.2411,15539351530.4262,18316590305.9285,31788501747.0561,34619998279.619,34291731704.5411,39100105365.4799,35615898262.1993,29439139717.4225,29987721179.0701,35353479895.3265,26660379036.4712,24340029384.9638,21065394040.0249,19404060630.3798,21592086886.0599,25366831507.1032,23213918227.2358,25597314328.7734,53375243137.3981,58547338829.7781,32840179548.1143,32321738758.0118,16172035461.77
"Ships & Submarines","Products (All)",6548442000,6477374096,5044777266,6620308070,4408971273,6405663166,4971117417,7123804614,6859916601,6668557799,5618916525,6760293102,7001486964.9,7557297528.9402,10006134216.3899,8814140001.4132,10959037892.1937,10779960253.6293,13082411921.6588,15825271920.6361,12804722501.7932,23499160290.5518,19697155373.8633,18946716262.2499,19508620555.7663,17486891458.2435,20426138946.52,22540810797.0451,25018500917.2119,27625374875.4535,34536586712.0485,27040797617.55,29919144138.5537,35145203311.6536,33905377482.71,29182004105.39
"Space Systems","Products (All)",988482000,696008000,394353864,352212293,266756389,300439028,345659244,431676542,491550806,403464692,266733768,414212179,909008019.64,826341315,1194108794,1174917874,1477929696,1612576360.3002,2930660645.3989,3870303185.5442,3187840031.7252,3297423361.3847,3953911181.5325,1681007607.54,2069549876.679,936202127.1475,1088928826.8696,400644270.6419,537632034.0415,1045878744.9713,638436190.6472,966451028.14,1344484786.9534,1184193623.47,277739066.7,163925337.7
"Unlabeled","Products (All)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980919.7602,2461452.5331,1412896.51,588077.06
