"ProductServiceOrRnDarea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Basic Research (6.1)",935688764,1063920181,1203502701,1374700200,1071493947,1604020609,1605951963,1976513159,1878367263,2241263609,1708919088.875,1970144229.6295,2491746278,3387565429.1503,3796217367.2369,4673593561.2338,4497778074.653,4765324401.984,4963434817.5166,4892554949.6748,5180191110.8912,4488531528.332,4177515857.9888,3437604987.0232,3322550750.0981,3120429940.4127,3256162479.0175,3269837990.3011,3582552845.074,3879582809.8445,3796529333.2221,3524103986.9903,3460844872.5008,3758269998.4367,3907354403.53,2040001716.26
"Applied Research (6.2)",1675170000,2290366546,2172713114,2208996182,2194041767,2331770552,2321341066,2410024429,2501790722,2893006861,2519227091.54,2780061195.84,3190310551.5,3765369999.18,4499572627.2009,5037631429.2362,5307033372.6408,5945384421.3247,6565856574.2061,6882843624.8012,7771588869.9702,8699694472.4304,7928633760.8961,6679443508.5658,7289864776.1587,6153611171.9566,6652983871.8909,6859939074.9712,6894918522.4382,7741156363.7894,7919463143.7303,8445751313.0454,10658189280.1127,12146138051.5894,13460703404.5,5301073092.28
"Experimental Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5193866768.2567,8225714638.4295,13016580961.4651,13452207746.58,6307912924.27
"Advanced Development",5572578000,6359493090,5722962451,5158762100,4994144580,4864764461,4993235718,6201501669,6554511969,6185035625.63,5183352832,6131452396.6202,6346266477.5,7042720966.11,6812793609.9516,7731286669.8175,8054503318.9835,8851010066.2331,8730149076.1817,9131386724.7716,7563205269.5142,6804152783.8531,7038430576.557,5202578400.9542,4204010781.3185,4024050305.8765,4018903694.869,4240585299.0255,4789276950.0452,6252241780.788,6181548824.3987,3001269428.7737,2091386128.0721,1421947872.6701,795171393.26,221414358.8
"Engineering Development",8795036000,6057487019,8087200498,8657773210,9591360963,6207390078,5859105377,6388407776,5848602673,5550091746,3265656468,3619911773,3760202187.5996,3594220166,3605566918,2651441519.7494,2596502359.8824,3691281611.7313,3936874911.0864,5470201815.9223,5974035203.7865,5444140660.112,4622332260.0736,3728508150.3086,3837699820.1095,3970036675.8556,4831677949.8462,5180314619.3017,5857949740.8846,7136827806.5817,7799782952.0546,2628893529.3627,1754498215.5086,1833138668.0936,1562762231.69,703378872.82
"Operational Systems Development",3832409000,4339674737,3910131088,4309708710,4226638058,5169079900,4709990569,7239513143,5774994793,6062873344.4,5047190255.7802,4868326299,7276919638.5195,8902654052.42,9314382843.8013,11795563619.4019,14993827625.0118,15060555192.4469,12975978560.4096,13837083045.5777,11457240141.0361,10083944204.7894,8202342435.8797,6393957006.2045,4349160200.2223,4277970817.1888,3765011982.3622,4193509568.9828,4136865201.2425,4078805710.292,3788278294.1767,322462363.0246,160585471.5389,151462415.228,67927493.56,16137543.13
"R&D administrative and operational expenses",747497000,1128460755,1415903659,1444629272,1123271507,790371572,832402845,1169651118,1097974091,1295197021,1091711883.0078,1122007882.3,1445155024.3,1200014368.711,1135233258.9288,1282356278.3424,1285136315.6505,1357657132.9198,1455069378.0673,1566984611.0194,1560809352.5333,1394202764.6376,1406055817.0368,1211522912.0013,1318360049.536,1161244078.2967,1114604996.1783,957084880.0261,1001698524.4612,1024497447.301,1122902195.8166,6581389204.6846,6265009751.8457,7918008104.1244,7686957472.8,2048046469.49
"R&D facilities and major equipment",269165000,186487171,189829933,402735554,659221559,712176742,655248434,503238128,622651235,1056276479,677627434,647983928,491454421,643125394,722979696,854716869.03,749217812.419,606342334.4436,600356882.3521,181259414.8457,107986642.537,121129904.6469,66834251.5757,52769881.01,71472041.9488,78680030.5424,101850022.8654,109143373.3469,149583916.4037,104761413.121,183600063.12,2618635475.0518,2308296198.1375,2570671066.7235,3474921468.29,1278120502.79
"Commercialization",,,,,,1785124648,932495950,661951150,628829381,461384688,584614636,659696018,922008502.2008,1067853236,1393788521.9854,1752995268.6445,1844790679.0331,1977657179.2117,1925505790.6157,1803467486.443,1852564047.5418,1998342615.0229,1526935092.1837,1314876155.306,1452896777.4004,1043993398.111,919602805.376,948429340.886,722485034.7752,726524761.7438,740014349.6747,421367926.2983,229728585.4066,211958607.4595,175844713.09,225122672.96
"Other Transaction Authority (OTA)
R&D Agreements",,,,,,,,,,,,,,,,,,,,,,,,,,692906021.79,1187333627.82,1853556666.47,3314653610.88,6284626305.43,14843132589.3,11799753325.81,8923839728.76,12523421690.97,14463617306.2,7539941617.19
