"multiyearcontract","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"0",199113769167.742,211854323328.296,244635676292.308,295484623514.989,310868338996.057,344457953311.06,371669667090.733,408125929914.052,447097726175.936,448962769404.694,399008621834.142,390350827280.309,367065821134.721,304514778374.37,275146168134.077,265238693196.804,286496961626.631,301230190793.796,327251262350.415,344957822337.161,375561101995.668,329198815355.382
"1",4077764467.81595,3793412170.62947,5688938549.68374,7363138182.79009,9234003652.68684,13857490933.0928,12958279992.7964,7980238830.52682,15967764655.1423,14495647557.0585,14580835320.6302,18040390063.9671,19698593312.8544,20595392275.1355,16653011674.865,13707426657.9934,14912647704.6467,15769124318.5162,16557560465.7519,19752480566.7107,21340890994.4939,23056918344.9015
"Unlabeled",354643.527079186,526257.119224109,36472881.3438615,367721828.078437,568061883.736413,259694154.303492,233819315.983984,67143427.4371544,171482615.181433,4852627943.67268,23398050797.1735,25741781655.6653,26448717604.2023,24154025691.0925,25851006489.3837,26867917818.894,29295693706.5859,32479090296.9299,38719937933.424,37271605268.3579,36047889810.3562,34806886639.564
