"SubCustomer.sum","SubCustomer.COVID","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Air Force","Air Force",42111675000,43815582000,39545885055,39957971414,44026483825,37789260369,39393811712.51,43071214393,41278171556.38,45233341240.67,37964621995.8392,40639353355.3246,47426663463.2769,55578188357.9709,55073035712.9558,55600301459.0608,63158945718.5263,69909061226.767,63686914736.5206,67832179055.9552,64827562488.9548,65472560434.0732,71484833208.4641,55321962930.5724,55563048242.5435,51955979691.1158,61163770019.4461,56676289537.2901,67555828200.2998,68581871265.8795,64582429969.7567,54563147123.7741,62223607131.6016,76616829908.773,86418210706.3199,37337866308.09
"Air Force","COVID19 Related",0,0,0,0,0,0,0,0,-121283.38,0,-5700318.86,-6306735.76,-12778738.5,-21053333.85,-16339940.12,-20232363.58,-19502104.72,-31924145.27,-36082239.61,-24525104.45,80054224.96,3665336.09,9940797.06,-154551431.99,240042828.98,899841680.52,3886065640.49,4742714502.99,4312337229.36,7232602574.74,13374604565.4158,24606619950.7153,16577632780.4795,16136273820.5421,13441144088.2337,6479156400.06
"Army","Army",23216088134.53,35268260000,31428914998,30957822464,20798814908,29761242814,32029210551,37067947798.21,37638355362,43607320822.52,36830284912.8867,40553920169.013,46173599387.9157,64197358209.8569,76050613301.8953,95322629688.1101,101330898466.106,118005710936.741,152730882191.208,146758886643.39,139789336130.127,124506771653.415,107959108380.603,86629571921.5581,74530741239.8124,72338543685.0693,73928295901.4538,62645788747.2128,64956030623.7747,64917408113.75,32802699438.3705,3837671056.3018,42608817953.1507,64590096564.6148,76786427853.7553,32187519991.95
"Army","COVID19 Related",0,0,0,0,0,0,0,0,0,0,2215915.89,2185340.78,5264584.52,9232519.3,19898604.22,304266684.06,347029477.21,356936756.88,384978018.59,426094859.91,1386553932.14,1018531791.56,1189254764.79,1069419127.86,843170726.38,591757147.48,268705434.43,15976236427.81,26496160884.93,30124465601.69,67676798890.0263,105962474395.103,69941784139.3548,47412618622.4253,27375671989.6366,5381023080.73
"Navy","COVID19 Related",0,0,0,0,0,0,0,0,0,0,0,0,-4996445.6,-9152239.82,-6870112.7,-15361289.84,-18905304,-15998621.18,-34160981.04,72094162.05,145399515.57,300571019.01,549392127.09,705112151.84,1758261858.19,3369621633.8,4456440615.92,846838217.87,9010506762.7,-3391815426.24,-25075273486.9797,-33263478278.854,-20654946658.4493,-11938065676.7698,-1198426363.7179,-5933974281.02
"Navy","F-35 JPO",,,,,,,,101268812,651152375,695421838,178031456,268635741,6554622,239927692,196805075.7938,299702032.1,634208177,1065862779.7227,2725377093.3307,3681464083.0004,1874856013.4357,4877655064.5174,4691798600.1318,12181359822.95,3796342018.2,11232955497.89,10404918744.8052,24577440216.2326,15903721955.2121,17221728395.113,54829540146.2768,22206338190.2625,24455761053.1497,38492721111.0292,14714167210.0901,15294482541.73
"Navy","Navy",44416973487.56,42246069844,41220475613,38245449962,41252757153.16,39421018145,36936668644,45447574678,48153173352.09,49423055067.05,40297993522.9593,41940611224.7212,47792994361.9768,56628752607.1833,60630402887.322,65300057433.8477,74314793599.115,84722461665.2903,93736296931.2694,91999600174.7173,86070060404.0305,98901498212.0195,89371576499.9467,81492845080.0937,78569957035.866,70136297508.8241,78349316406.0301,84188575932.507,83388201344.9038,107997809889.618,120585792168.512,122846313731.708,120191358083.856,125272789132.695,121031442166.789,58933276391.3
"Other DoD","COVID19 Related",0,0,0,0,0,0,0,0,0,0,0,0,0,1086888.56,11711431.74,7886354.75,10661532.77,25235147.8,86650186.95,84991880.46,-1047994962.48,-1208565655.36,-1450059599.18,-1427794476.25,-1337905833.28,-1186362587.54,-1877762603.4,-2035726334.63,-3065150337.95,-2477382398.24,1999860276.4511,401162706.0907,1847402450.1146,3338393675.8664,3253629314.2865,266722607.34
"Other DoD","DLA",9209787000,11713307000,6907467039,7931460004,6692479944,6644824451,7292808729,8059156410,7839796546,9009714445,9580614163.6178,11426471526.7901,14591296027.8973,17677905803.7901,19608020551.6395,27906917929.123,32588148361.1657,30614529905.2485,35632127045.1562,37939467947.1571,35013514896.9466,35929326380.1191,42968912135.6616,33927313494.2336,32094688506.2199,30651929400.9945,30067546579.0449,35385064712.8338,45139274656.0274,43891908782.7052,37825963613.6462,38130625847.6468,47186542120.9562,49557014101.3501,52365239389.0291,23356057149.66
"Other DoD","MDA",74831000,68100000,1661000,,343747860,251594273,310476090,431242526,747389215,945575248.63,1373879916,1673010916,2485964875.825,2671495076.0938,3382922964.5797,3841746261.1375,3492627141.4845,4929029621.6667,5760262873.5729,5673422751.5254,6632835890.2457,6788161829.734,8508079712.3745,9290016587.8178,7640249242.4764,6170936214.871,8711412176.3502,7453068266.1713,11465687876.2355,11654059796.5913,16423502236.9224,12497952194.0482,12656498544.1286,8914096507.0835,8273932300.1822,4572916405.92
"Other DoD","Other DoD",3335887000,4015324000,6148282864,5964388298,5823333448,4520245942,4743335584,5644509758,7004011243.32,7686591749.53,5956028175.0544,7495657034.3578,11345958996.1904,14559345718.7002,14824923355.3426,17116563570.2447,19296642324.7179,18557538546.5454,23312286688.3719,27102485986.228,27923320663.3496,32020325119.9678,32507048915.8643,29165422280.9559,29697649311.1797,28062590601.2071,28993148502.4433,31418124982.1978,34199004313.3782,37855719844.3694,37508827202.7231,35185148424.0555,37317986844.7067,38728888889.1147,42828163257.8622,20758380935.53
