"SubCustomer.platform","AnyCommercialText","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Air Force","Not Classified
as Commercial",55204973225.1718,56138670838.7208,61206116814.1865,69608294579.9781,64437697686.0706,66257917636.8502,76236537930.9047,81862275408.3986,72748750877.8684,76926059693.9761,73195737198.8968,73090705502.3898,80969004518.8588,60538673044.2133,60408221049.0054,56603286171.9682,69366246371.4573,63232220378.0828,72653064161.7265,75196355539.7346,74498856429.0147,71766653473.0815,66379326407.2577,38330991205.0872
"Army","Not Classified
as Commercial",53602615860.2993,56917361336.672,60675649669.4702,80833883921.4197,88278637618.3585,117391588488.858,115413042598.734,124121066780.124,157679692119.494,161089373081.982,153849652847.914,134407697204.391,115806413762.565,91123466421.2163,76240706412.6273,71453913435.8894,73186382350.1317,76131472630.3803,88411553766.578,89149023035.8806,90992004521.9631,69668437665.2478,69127093751.285,34659898834.9791
"DLA","Not Classified
as Commercial",6462105582.39741,6986294411.2949,7557493998.24484,9642312903.01928,8854231183.84999,32060125162.0657,32202876889.7533,14869349379.583,11500169912.9409,14773745827.043,17221415792.8252,16906574076.6204,17137194240.5252,14150357788.8119,14652888708.0255,16486778699.0598,19554631982.6153,21357279416.9626,25726168933.2629,25217378326.5805,21639048777.3786,17269187260.6873,17708270941.6084,8036970335.59746
"MDA","Not Classified
as Commercial",2217716964.71473,2634139520.79854,3818684150.12811,3991985043.64834,4938974679.01141,5440636555.63041,4772405614.25804,6548864045.17838,7551611704.57351,7249726273.12878,6850867199.48558,6819662556.7485,8626984864.7851,9504941621.47945,7322334494.18499,5604871703.26763,7808422226.1844,6286538175.70932,9413054703.07607,9783780705.77292,13535459614.3193,9344083037.33389,9764718323.827,4519754352.04518
"Navy","Not Classified
as Commercial",61659978551.2153,62499751124.9004,66294662522.0941,76711925471.3797,79231643409.111,85995072784.8238,94812462709.2232,103848119951.91,116864757457.097,114422753037.094,104974750627.64,123036804689.742,110751583377.737,108501082831.28,94774453449.1209,94084405518.17,102992580966.202,120235849161.766,115287745033.645,127555407110.911,156742516164.095,110312366364.616,115244436989.557,67239928341.7405
"Other DOD","Not Classified
as Commercial",8279135420.18926,9900106017.65836,12834650770.1767,16310070147.1559,15205591985.7474,18586672940.9433,19577849927.2969,18351751945.7135,23636957835.0195,27281616915.5176,26310420784.4406,29279589739.4424,28476921917.5028,25386712350.939,25658463948.1598,23936738238.2838,24497903484.2831,25189549263.9661,26472345307.8964,28800494978.2758,29239624937.7995,27603478211.376,27029957212.1186,16109893263.4989
"Air Force","Non-Development
or Commercial Similar",0,0,149804709.809022,232455447.325243,588002386.348361,192256394.272599,38422709.6236588,38217571.0327665,61767895.0476319,50076723.8294515,61468427.498001,291413672.84564,296828107.835914,101888055.633987,30255037.233364,21706586.1433215,12525929.5860918,1069031.89814732,506686.264425852,40259.1738854242,3521839.39567287,26822413.8308604,36594834.3674,13583151.6483655
"Army","Non-Development
or Commercial Similar",2132356.50172276,-515144.089727606,103720057.147217,148837571.361959,479562755.451333,809200925.155435,500794088.520177,851781432.321097,982332844.837573,713997606.6281,186662710.403163,272248954.340694,337390610.212654,281819991.422984,90091334.6085667,52812979.8044551,65006674.3173642,24386653.0955928,120100559.734641,113881810.236023,-2254909.98185616,155548.099733942,-3434867.515,106405.411854294
"DLA","Non-Development
or Commercial Similar",40288244.9482948,,87214.5615978908,12200044.7667131,3375160.50831631,19642164.541778,33883322.5065271,67673489.0418093,61153989.5767044,28334344.8498608,29878229.9031952,66909688.0199538,29132007.5408244,154639291.842594,18601358.7701419,31459469.8443673,12285550.2529078,9951488.43802134,28512917.3986705,-2287560.75197122,13928279.3854732,69303521.1334685,12679586.3808,14159668.4694693
"MDA","Non-Development
or Commercial Similar",,,,,,,,,,67711933.1206052,654113.858043507,,,,,,,,,,-1114.05056581773,,,
