"SubCustomer.platform","AnyCommercialText","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Navy","Non-Development
or Commercial Similar",,,77168071.5000133,813193865.309685,428183338.149048,342429545.748864,135032228.446136,5419775.01991773,15539084.4121986,3179665.27317725,53695394.8456066,510413542.13761,56431549.469442,47029365.7171045,47326086.3844617,31945020.6735823,35917348.071843,15849438.5893338,30522722.778937,31147581.5978437,13848929.1227343,14567024.2903305,92693.9786,54378.7733795929
"Other DOD","Non-Development
or Commercial Similar",8724.94226875352,6821.01115249836,27867434.6801253,26371648.3343429,154096547.077047,14150579.2751849,14607353.5947531,23140430.8544579,29221004.0029251,14521254.8181438,175453614.311683,225613216.319254,188843228.348355,137285276.207643,150810998.596511,4152660.94240231,-734115.05203676,-774923.4904834,-6125207.90539986,-121786.696609873,5865107.67688091,4208418.71167064,5507470.25,478306.080479262
"Air Force","Any Commercial
Classification",6126366109.82178,7959031216.90224,12259505775.2229,14819342192.7528,16869996764.0683,13788092030.5179,12002491590.0034,13189499186.1293,12036811904.7921,12506634753.5454,11654211396.1851,10577364724.6159,8765735956.91215,7453511842.99984,7268256359.69029,6898777136.3501,8049398201.47776,8063361670.8585,8813167821.85197,9749490943.15853,11724629043.9658,12737675452.2431,12554007902.3319,5248060100.29587
"Army","Any Commercial
Classification",5906607560.18073,7058498895.90671,10934776459.9132,16857677407.0381,24375665151.4212,19852199526.072,26245958193.631,36097138605.3491,45446029398.9025,32424354964.0985,30656772214.4394,26273119190.4368,21092543342.2841,16338970542.0233,15196789439.7676,15717987598.6608,15215501894.9724,15714300790.5442,16007785306.9714,17246830028.3654,20258573066.6477,47812791587.3499,43521228437.283,7718482568.55059
"DLA","Any Commercial
Classification",8977292372.05571,11038703210.8004,15102203085.949,17285413852.8558,20326202509.2402,8219571250.10073,13340898483.225,26758153631.6941,36053045972.0455,35376689315.9274,28468887753.8914,29393222007.3161,37222852364.3728,27456819708.217,24494286787.1549,20497741595.4396,16408219341.6923,19931926840.1339,26172924076.4069,24280378039.8049,24712276720.5929,24502890361.8606,30431643816.8822,12451858021.3632
"MDA","Any Commercial
Classification",2102100.34081079,4996931.743864,41934374.7477741,78941611.0590629,93053279.0342392,105518573.2364,110757852.318169,158642928.056156,126909551.423517,169244466.021058,156591462.033785,82310075.7609884,33224298.4760823,21130280.4936227,18544351.4844605,18737965.9941358,29883527.6553224,40072665.8137024,57161791.0167693,86268297.2064926,88962596.4849102,83682429.5942339,76349000.0678,36926811.4060731
"Navy","Any Commercial
Classification",3739239954.02424,4084371056.64994,7815659060.44383,9102676695.69987,10809054696.5939,8340543592.76497,9855086003.83669,12887289391.4251,11658570590.6649,11929962306.468,10223263182.3063,9882756425.32453,8336835236.19801,7696576719.59743,7242381060.76941,7697228585.71444,7572197183.03179,7680576359.50399,8242366842.52675,9044656961.86494,9360036167.559,9042342341.51085,8625403929.7656,4033425364.90387
"Other DOD","Any Commercial
Classification",1344189554.5757,1924114812.3619,4757368493.29221,5849647331.54985,6692078599.96304,6109656235.93529,7387574821.43236,6878427184.78983,7410130908.6467,8472420222.71906,10047030253.053,11525684776.6535,12243237344.711,10244168891.2733,10066415865.2138,9725553466.70429,10120887749.6284,10794370741.8637,12400650705.4271,13605565743.1878,14191602168.634,13561462648.269,13778320405.1454,7588011894.23749
"Air Force","Unlabeled",,,16716054.4227996,,,,,,,0,,,,,,,,,,228556.345658788,1403756.81186637,,,-92347.7695509308
"Army","Unlabeled",,1142028.29972535,52179.6522380543,65644.6854388677,0,,,,,-131.960599473409,-21612.3405026266,-1.42344500953202,,0,,43034.3795353212,38221.5275101068,,14711215.9428878,48052338.6937525,38609178.4907263,22055310.3556132,12038080.1278,4775477.50802307
"DLA","Unlabeled",,,,,,,,,,,,,,,,,,,24544.2457355906,-826256.995567458,10807158.1293329,17180592.5638131,16114643.4848,13655185.0996503
"Navy","Unlabeled",0,0,35817912.1586521,16932635.4443285,113878.44244552,887004.640150203,20029.9023280517,5443.26777566861,645408.745565361,2053129.83668175,-10381972.1028367,534965.989878452,400310.313935481,196371.900433175,0,1721739.66354229,909200.361106238,3402613.40828637,47618273.2360556,2093704.97937401,2342683.20881409,22594080.0286658,342491,49766.6146453267
"Other DOD","Unlabeled",,0,,0,,,,,,312425.636886687,-223984.51881521,,,,-677021.796748131,,,,1918789.87358685,657773.146456752,541895.093581297,676778.450034612,,
