"PlatformPortfolio","AnyCommercialText","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft","Not Classified
as Commercial",853420000,-66375000,693011000,820976000,765929000,836744000,1232926768.51,4929063514,6590447426,8168039086.34,32819017763.53,32745038769.8791,34751632069.7826,44233230094.2512,41840686581.5872,41374209515.1185,48489506412.5167,54747959820.3147,60919139869.7724,60779163998.8791,58460790187.1535,65572929059.6199,74328667963.8002,69657142198.3101,55552244324.3304,59214963093.4821,72387514834.4584,82843331581.0684,79338003259.3932,84310616229.923,99480305425.3112,66809775473.1163,69418204733.5026,92126337028.453,66440544205.94,42109829560.95
"Aircraft","Non-Development
or Commercial Similar",,,,,,,,,,,,,47594188,83865773,102144787,110411164.86,1370580.36,-544791.11,20434478,2463241.8202,8961940,3666242.5175,1065488.8637,182940.79,-456,-3857,-44442.0498,,,,,237894.22,0,76524.9492,119460.99,62178.7
"Aircraft","Any Commercial
Classification",,,,,,,0,447603817,82881284,313375147,2594837535,3374421966,4226642441.38,4927924158,5859295210.74,5797977955.3581,5453329268.6367,5720184976.173,5788046753.262,5064523026.8332,5143862102.035,4831959152.6473,3880827843.7474,3963670679.029,2691056045.3102,2525655758.0649,3071432075.0592,3511088465.0363,4655327465.9234,5569726837.9923,5809531622.3683,5483261090.5651,5784272617.594,4955883294.6882,4791638873.97,3395842549.32
"Aircraft",,30980247148,30513099255,30337971567,29918044865,30546960405,26815505318,28856006190,24930833919,26529770069,27539206570,,,20800,,,,,,,,-70942.1797,,,,,,,,,,11651.01,,,,,
"Electronics, Comms, & Sensors","Not Classified
as Commercial",354300134.53,424608000,190633000,371752000,196508000,244694809,257125000,3128468168.2,4352330011.57,5738794450.04,17057993491.4712,18102754912.0498,15213068511.6664,18087277898.1597,21340103287.6054,28283436144.9205,30465731746.9423,33804108523.3595,37182321120.6697,37381575855.1591,37904653654.1423,36143693807.3308,35520903693.7178,29798076027.4506,28658172314.9334,27397712573.9935,29833178632.0193,31907134252.6439,36007367822.8009,38152774015.7742,37174201578.9547,32279934645.5667,34258593722.3959,35808611062.691,35790917740.1225,16227126791.58
"Electronics, Comms, & Sensors","Non-Development
or Commercial Similar",,,,,,,,,,,0,66500,148581530,277629757.4297,580920141.29,404004634.125,481013577.2813,672850175.7171,778780848.5172,506432675.5299,48974178.3053,362891069.3332,-1934058.3839,-1729181.23,-3698115.3905,2952897.36,770629.9743,36052.2329,415805.22,-106872.5308,861495.09,4388136.89,4900106.2995,4770469,-3907.27,
"Electronics, Comms, & Sensors","Any Commercial
Classification",,,0,,,0,0,439784018,292820630.82,745051108.41,3694440063.3357,4284034167.8309,10408214457.3825,13114823885.7906,15611022666.106,13545763885.3141,14254494046.1361,17975674216.9805,18988855433.5553,17451051513.4845,18145580552.0565,15872263512.4032,14055391436.8759,11721345139.5661,12227549042.8416,12155344940.1292,13494255272.6924,13983557492.6971,14955053569.6687,16780634584.8961,18173002903.8931,17332100178.1016,19266403408.8733,20496265775.815,22293377676.96,10948713448.11
"Electronics, Comms, & Sensors",,19702439894,19319790733,19388422483,18242606124,17643820302,18690677727,18181631640,18426200437,17482014443,19577458903,,,33781703.2,6816.91,,,,,,-66712.44,-1e+05,0,-8779,0,-558047.03,35878.5,32130,,,586205.4585,3857089.497,592263.57,,,,
"Facilities and Construction","Not Classified
as Commercial",74423082.56,54030000,377283019,91635000,80939000,115538882,214060000,1793275413,2556249745.02,4459116337.99,19061636049.8745,20963625644.1987,22569124184.1331,29539745061.5251,29535542365.0041,35047500805.3011,38883820097.0915,38463953696.9145,49433733622.6143,56870245319.2521,52529247421.2414,46432917835.4459,41735222710.1329,32776902795.3051,35406591068.8703,31094159284.3811,31422255836.7829,30749970838.6546,37747710236.1561,42668261469.0639,49698640798.8406,39370233576.4123,46091637521.8,52957507781.49,53910848026.2774,22021470440.94
"Facilities and Construction","Non-Development
or Commercial Similar",,,,,,,,,555200,,26260158,-388738,6413284,16692101,3207019,13601849.47,33678375.5295,51935939,50179557.2424,32257161.7617,36500045.1341,116100572.2996,75658563.473,253441978.0001,84172623.5805,70752561.7252,66978475.9426,31823593.0056,66936629.9906,68518172.4593,14644264.5935,49993325.5676,11126.3958,8885235.5573,6336719.06,7439015.42
"Facilities and Construction","Any Commercial
Classification",12487000,,,0,,0,38000,75579928,135009908,578773857,1712033601.1999,2102382882.9997,3487170228.1318,4879314844.6331,6164307279.6379,4498451211.4818,6631855834.5058,7681136551.9477,7805413740.5524,9460108177.8033,8678224876.5883,8031757491.1444,7196776724.1964,6488851482.5472,6706850963.0452,6928821594.727,7055542202.3217,7695459033.918,9101539253.5922,9339353996.3623,10474974635.8741,11857758383.3315,11262281377.1734,12048806296.0841,12337802067.5708,6035156669.43
"Facilities and Construction",,12183236305,18492829868,17657715911,17178015869,20332480957.16,20137914600,20282796585,20228512717,19564618261,20604829391,0,661919,57260,11121942.94,76558,614416.0625,14326.16,4000,484171.86,1555956,-7947001.76,422130.71,326662.2002,158791,0,1405443.86,762559,2946691.96,41680290,1869421.03,11745722.6546,36530275.975,15186616.97,16694317.0812,13348515.99,25662031.78
"Land Vehicles","Not Classified
as Commercial",5889000,9513000,3015000,-4509000,886000,960000,3858000,1028670011,1074117463,1675114451,3202509126.419,2713918155.8,4069337668.1361,8278435698.7392,5896094285.8175,13269288099.3424,12737539265.4931,21993094567.9166,31604047363.0557,24471145274.2059,22219310144.1896,17241928780.2152,9355157256.6678,6421976560.1627,4895068959.2389,5569186985.8703,6283073341.837,7050347002.1669,11199716946.2208,11083802539.6612,10218218628.8296,8250892460.0416,9497981884.1564,11843770316.5492,10885048973.24,6619384586.61
"Land Vehicles","Non-Development
or Commercial Similar",,,,,,,,,,,,,31808,8528935,2904836,286832,158183,133840,251211.9102,10805330.8711,9222871.0125,9180896.2384,4340923.5067,3355128,480554.62,-29996.75,-776608.7725,-937035.8975,-331445.6445,71.38,,70515,178049.78,140376.91,120580.66,
"Land Vehicles","Any Commercial
Classification",,,,,,,,31522160,67797729,117107940,192850999,583871504.4609,715388362.2101,1354547899.7795,2646491564.7878,1992197632.2684,3394049837.427,6205368466.7463,8152917485.1163,4353179590.0059,3103691318.6164,2324447545.539,1469174947.553,1009782113.4261,929922720.5684,1924615255.016,1070102296.3807,1209769629.1987,1466346461.8056,1835588333.6797,1535416002.7395,1431714491.2051,1322492777.1743,2690625869.2301,2827695960.3433,1908160672.95
"Land Vehicles",,4275032000,6503975889,4166812450,4396364530,3619043411,3098454659,3678250068,3652647546,2804250415,3507393596,,,,,,,,,,,,,,,,,,,,,,,,,,
"Missile Defense","Not Classified
as Commercial",74831000,68100000,1661000,,,,10395000,1176102152,1274739893,829280245.63,3702429700,4001785129.4,5596638052.825,5730648145.3438,6699369971.9938,7145253194.0175,8040522842.9102,9436886444.3425,10226483643.1313,12041167857.7851,12274003772.4608,11979882393.6761,12603849768.9987,12061144960.3568,9258966081.7648,10649573978.2637,10946927732.6218,8794784743.596,14704443759.0089,15004800125.1389,20295073305.9222,13393870255.7397,14955253391.7492,13812733999.5322,13931421704.82,6460330648.26
