"PlatformPortfolio","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Aircraft",30980247148,30513099255,30337971567,29918044865,30546960405,26815505318,28856006190,24930833919,26529770069,27545374131,35420338064.53,36121846047.9394,39025889561.1662,49245020186.4567,47802126564.9781,47282598727.0835,53972977981.2808,60481930842.736,66726735469.8956,65849649816.5904,63602590938.9941,70302793893.225,78164108641.6892,73258708289.3698,58222443277.1414,61693160072.2121,75346140622.7846,85822546369.7272,83338781174.4339,90087783379.4072,105310437913.938,72494798525.6515,75130505806.2308,64288311269.5025
"Electronics, Comms, & Sensors",19702439894,19319595733,19385047958,18241613499,17643919462,18690643667,18181185718,18425728076,17479311563,19571291342,20750676264.8069,22386721045.8908,25803292752.2514,31483687721.7978,37532046087.6752,42233245589.5978,45202505179.5401,52454272267.6177,56952456684.2993,55345684529.5728,56120936477.6944,52418075878.9569,49620215540.7029,41112635436.1571,40854073127.2958,39614952795.5962,43304184712.7622,45708263092.2476,50983672754.9215,54925250315.2519,55356680671.6794,49604484097.4151,53587823865.878,29667776306.7336
"Facilities and Construction",12183236305,18492829868,17657715911,17178015869,20332444544,20137905407,20282796585,20228512717,19564618261,20604829391,20799929809.0744,23066281717.2593,26062764961.2005,34446873945.287,35702507848.97,39559010479.7103,45549460890.8259,46197078005.8206,57291064400.8953,66364153421.3992,61240165211.3601,54580627218.1194,49011661646.401,39240744680.2693,42213355161.2693,38127789059.9686,38561474127.2722,38440437716.8954,46951590843.6215,52057227025.2781,60173875767.7609,51155386577.3356,57287375671.2317,29854768155.5163
"Land Vehicles",4275032000,6503975889,4166812450,4396364530,3619043411,3098454659,3678250068,3652647546,2804250415,3507393596,3396266974.419,3297789666.2578,4784757839.3472,9641512630.434,8545490687.4358,15261772582.794,16131764921.2796,28198596874.2109,39757131604.9576,28835153697.7999,25336094910.7151,19578188100.5525,10836528628.4807,7434900089.5787,5825586534.0528,7498132862.7277,7352597731.5422,8253304453.7592,12689109403.4351,12908739618.063,11745752775.4429,9687806000.4624,10756367609.1086,7262028748.0549
"Missile Defense",3035334000,5206015283,3918554592,4991418711,4289293657,3486356407,3715624896,4012460461,3602703203,3665542951,3001039117,3364291516.3999,4726590944.8281,5036432124.0938,5992625448.586,6492707694.1563,6763227936.3287,8308217764.2319,8761740935.9038,10499669753.7796,10542656756.6485,10910330875.6452,11207421398.9962,10807937186.4424,8516457737.3941,9379386451.573,9985841658.1002,8633210134.3361,13427043672.8815,14829080776.9239,19369052617.4433,12097540404.8581,13817290529.7063,9575721405.4595
"Ordnance and Missiles",11331278000,14834080775,13464555013,11175370345,8533017359,8543659793,8817441132,8032566815,8630834203,9161817835,8681402236.275,9120773484.3983,12359020180.3593,13567836178.0499,14093492589.1602,14838636218.1777,15025795459.2582,17946664180.3402,19206047801.9139,17915540940.8678,16686895593.123,15426122050.0091,15679934177.9548,13040612597.5447,12578103270.4523,13250856730.3246,16476049112.8483,18044712601.5428,21672106381.5464,23144614800.3617,23863635780.16,21970937097.7574,20479950490.3163,18273224337.288
"Other Products",10893531000,13666534115,9670953302,10550468583,8625703645,8564693193,9626845429,9689825022,8560246161,7673714576,8636765200.09,10224964697,13391908177.2415,15543175626.4262,18316590305.8947,31788501740.2196,34619998281.3475,34291731706.9222,39100137503.6043,35618893844.7182,29121536359.5554,30007007163.88,35357832226.4521,26464056854.4453,24267856901.2681,21069110791.9282,19406249663.8794,21576572063.2504,25383398093.2805,23212631381.3324,25509452203.1722,53500803265.6315,58510847251.7136,18947032414.115
"Other R&D and Knowledge Based",7773865381,7927436229,8786567450,8567595442,8463162454,8878189431,9287693638,9695769466,10804672536,11285682035,12417095330.0637,12422083503.9022,15837779609.1511,18425337213.2682,20538698308.9484,25425408587.2697,28721179681.8572,30296153205.4112,33793862112.9685,38519468114.3583,40073864580.8397,39862268290.4983,40121733965.4144,33944150887.7485,33472011888.3599,33145726977.1681,33368023633.9218,34659189321.5545,38652404390.0555,42550530059.373,44247295871.1573,52152574526.2086,54980395765.3921,37656405736.9015
"Other Services",4385190184,5641814985,4211344274,3075823560,4014703413,5272937433,5083168952,5793220616,6068760797,7339018466,6506896271.1198,7420418624.8457,10545115932.4787,16105347740.6387,20109780788.0342,22213036937.3628,24238830666.2697,24497884764.2254,27467961626.4708,30723649229.7204,33027824591.2976,36792670341.8412,33864152994.884,30654947847.6359,25657560820.3307,22964024432.7188,23829117897.8035,26217769701.1504,28602670918.8726,29616835971.6814,29594940839.4544,28812959763.3457,30742623503.0379,21506205195.9065
"Ships & Submarines",10680657493,9512770712,8600082026,9502770472,7389026646,9654356740,7969628348,8340521642,9369233233,8320132027,9355821763,12404327293,12695551388.9302,12672639008.0506,14842821707.1636,14042343961.1306,16819203881.4898,17252494957.1091,19353085493.7093,21501494515.3924,17562189933.0446,28389571263.5333,23823517535.9178,23051278527.2609,23827426373.0695,21478209072.9086,24652659223.7647,27207917365.1003,31309731305.6179,33305801657.137,40083302706.3067,31961144241.6137,34383474501.1196,22660237395.882
"Space Systems",5109318000,4536041000,3207056007,3775896266,3704627729,3449312820,2950138142,3180065599,3551481726,3510240138,3182752124,4154315713,4493775528,5289484137.6601,6278698516.1602,6522295872.2656,8010484936.5679,8210408427.2337,9577508069.5668,10381036754.6529,9089367407.3932,10298401710.0025,9949330376.4938,7571179669.3494,7849485533.8651,5963062519.4985,6075865714.2822,6050578378.7743,5945524610.1526,7216445280.1359,7346757401.448,3625067781.3776,4643056135.7002,2728956655.7858
"Unlabeled",0,,,,,,,,,,29503352.0086,9825233.9429,84074351.1742,75741000.174,7078195.7826,3802636.1223,109748294.8077,18047585.0499,368043.2192,986168.1333,-253919.658,-140825.1013,-6477.8001,-99723.1206,,30000,3581529.4308,1345607,-212795.3672,465885,314555.625,386316,980919.7685,335137.2418
