"SimpleArea.fuels","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Services (Non-R&D)",62623080319.5704,80738840952.6121,77356282964.2316,70144245976.1886,76485201741.2938,76189150019.147,75917672717.0363,76049726905.1766,78325816564.1102,80950116703.9929,82338377592.2711,87211615937.9588,100794196847.822,126488897990.717,133781264473.313,145487164261.252,157472615215.948,163270143790.093,181621866288.088,203137023414.788,193450976743.8,185702809830.471,176051757790.398,150461523630.083,145296077459.172,135670648161.949,139655423683.835,144114273213.599,159181328774.513,168167731891.837,177580630166.237,160857964285.306
"R&D",39599347886.2605,37438411994.2185,37217289643.3881,37194552187.0664,36894358472.4661,36013971129.0043,32912896851.2576,31273870262.3174,31561941018.7049,30021048732.8342,29170270778.6203,30936358277.0805,36047949019.3497,40538409677.3821,41780101663.735,46297614131.9036,49430469367.9012,51670425296.4297,48431835919.4024,51550965520.968,47935384505.348,44136702952.5436,38585732521.4674,30265449567.7111,27129323366.9217,25126046579.6659,25952645421.6716,26803885316.2314,27867637933.3124,31161365446.5308,31016311468.8888,31432718613.4247
"Products (Non-Fuels)",124685207572.144,126857630830.821,102235586284.559,98066772138.9509,81107619658.6857,77441997543.8735,79334193260.946,72547881907.8805,71802424308.7543,77534116274.502,86169116057.039,91250153442.2174,105368340611.726,127856351571.375,135821660552.894,153588628788.781,160578954383.279,185108699834.436,215163120545.372,190090916040.737,180433623706.519,187336653394.87,173096895261.062,151961506776.375,131031262422.312,134762339080.127,158209548248.74,170046718288.511,184843756024.161,194243094165.622,217434679870.753,187188044201.306
"Fuels",9817831520.29981,11299734799.6469,6501813237.8939,7911748904.76024,7857905844.27105,5899102537.30553,6398386825.06545,6740104652.24151,4944785924.81221,4142904764.36553,5441846233.82782,6161261618.81531,7971254759.76953,8087346570.51239,9106666739.47478,12906820784.2599,17052255844.3608,15880247115.173,17647440670.991,22979775919.6682,14896414426.8703,16495565405.7151,25061143346.0961,16212449770.0169,13931135266.5201,9974095546.34959,6516539231.55224,8251591489.40034,10291905664.2003,8091521344.48355,6391310262.67017,7034032800.8822
"Unlabeled",,,,,,,,,,,45359993.2914857,14732362.165377,123979701.950946,108520773.36487,9879375.95045451,5131471.35927154,143070269.499573,22889330.1503818,451084.26360141,1210473.45305617,-306176.970252241,-165877.583828181,-7484.45023684978,-113606.875920057,,33460.7587434948,3969780.41413515,1466711.62945732,-226769.753951165,487885.007898111,322854.729474503,386316
