"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",69312042115,73841048678,60777751088,60826130534,51812298085,50123285767,53087844567.51,62583341684.2,63371162587,68653163954.11,59593906260.5134,65031939557.7528,76869019705.1321,94870527528.6962,103856299515.527,123344307480.01,136246789314.78,158496594497.084,190006951331.674,173657372558.088,162297051168.091,173102989740.932,171673110850.888,148398643423.157,129277436524.325,130024217563.358,148242116016.531,163990925727.867,183684577482.453,192690160531.172,218255275330.649,193900253977.776,209624972244.492,226852105914.979,205137201329.545,99028138858.68
"R&D",21827543764,21425889499,22702243444,23557305228,23860172381,23464698562,21909771922,26550800572,24907722127,25745129374.03,20078299689.203,21799583722.3897,25924063080.6199,29603523611.5713,31280534843.1049,35779585215.4557,39328789558.2741,42255212340.2951,41153225990.4355,43765781673.0557,41467620637.8103,39034138933.8243,34969080052.1914,28021261001.3736,25846015196.7923,23830016418.2403,24660797802.4055,25758844146.8413,27135330735.3246,30944398093.4614,31532119156.1937,32737739995.4881,35154253141.5524,43028175745.7903,44583850327.3,18141208152.8
"Services (Non-R&D)",31225655743.09,41859704667,41772692037,38673656380,43265146672.16,44795428468,45708306985,50654878509.06,55033030332.41,62171123927.26,52476256631.1324,57152176716.1419,66933354487.4554,86983295159.3376,94631211278.2508,106536782427.428,119449703538.513,127368589398.212,146824987178.994,164122022040.651,158931081311.036,156473513335.491,151147701117.527,131780872788.231,128272344415.451,120369826492.634,125445362068.646,132124613578.777,148541908086.464,159973351930.343,172747340534.278,160335595051.588,169573219057.004,187241364995.956,195567400099.192,81461710468.86
"Unlabeled",0,,,,0,4773197,387836,33893609.95,13320,31603156,29507158.5386,9838575.9423,84083862.2947,75741000.1801,7078195.786,3802636.12,110264977.8082,18047584.62,368043.2172,986168.1493,-253919.658,-140825.1013,-6477.8001,-99723.1206,449040,30000,3581529.4309,31755,-212795.37,465885,10000,386316,0,10000,1150156.43,2370050.95
