"PlatformPortfolio","fiscal_quarter_YTD","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",1,,,,,,,,,,,,,,,,,,,,,,,17386027908.0877,27815028293.617,19125375902.33,26943099414.63
"Aircraft",2,,,,,,,,,,,,,,,,,,,,,,,12608599029.614,22582937418.2722,12394771688.65,14453554320.89
"Aircraft",3,,,,,,,,,,,,,,,,,,,,,,,19234036879.2111,21946507254.5235,16774601102.29,4109080553.45
"Aircraft",4,,,,,,,,,,,,,,,,,,,,,,,25973813534.1838,24737823881.6777,22937553847.63,
"Aircraft",,35413855298.53,36119460735.8791,39025889499.1626,49245020025.2512,47802126579.3272,47282598635.3366,53944206261.5134,60467600005.3777,66727621101.0344,65846150267.5325,63613543287.0088,70408554454.7847,78210561296.4113,73620995818.1291,58243299913.6406,61740614994.547,75458902467.4678,86354420046.1047,83993330725.3166,89880343067.9153,105289848698.689,72293274457.9014,,,,
"Electronics, Comms, & Sensors",1,,,,,,,,,,,,,,,,,,,,,,,8867273491.445,10368482280.0037,10403112182.1425,11133482330.99
"Electronics, Comms, & Sensors",2,,,,,,,,,,,,,,,,,,,,,,,12062504442.5495,14555593040.5538,11657429913.72,12019123151.48
"Electronics, Comms, & Sensors",3,,,,,,,,,,,,,,,,,,,,,,,14144259000.3131,13412610887.1947,15015806361.72,3995369837.68
"Electronics, Comms, & Sensors",4,,,,,,,,,,,,,,,,,,,,,,,18455860303.2611,17972961099.7538,21007943052.23,27864919.54
"Electronics, Comms, & Sensors",,20752433554.8069,22386855579.8807,25803646202.2489,31479738358.29,37532046095.0014,42233204664.3596,45201239370.3597,52452632916.0571,56949957402.7422,55338993331.7335,56099108384.5041,52378848389.0672,49574352293.2098,41517691985.7867,40881465195.3545,39556046289.9827,43328236664.686,45890727797.5739,50962837197.6896,54933887933.598,55351923067.4348,49617015224.1283,,,,
"Facilities and Construction",1,,,,,,,,,,,,,,,,,,,,,,,9739333148.1012,8788226229.2841,10330547311.5182,8937345317.03
"Facilities and Construction",2,,,,,,,,,,,,,,,,,,,,,,,9610393745.8435,14221642791.4424,11324053115.25,13111887993.49
"Facilities and Construction",3,,,,,,,,,,,,,,,,,,,,,,,13356452361.184,15327246117.3937,14953106146.62,6032614674.96
"Facilities and Construction",4,,,,,,,,,,,,,,,,,,,,,,,24662937387.2105,26694778492.0924,29660628755.51,7880172.09
"Facilities and Construction",,20799929809.0744,23066281708.1984,26062764956.2649,34446873950.0982,35703133221.642,39560168282.3154,45549368633.2868,46197030187.8622,57289811092.2691,66364166614.8171,61236025341.2038,54581198029.5999,49007984660.0025,39519355046.8524,42197614655.496,38095138884.6933,38545539074.0472,38480200157.5382,46957866409.7389,52078003058.9155,60200005421.9628,51314515561.2864,,,,
"Land Vehicles",1,,,,,,,,,,,,,,,,,,,,,,,1937890280.7937,2613057508.6944,2881345820.5833,2931702574.12
"Land Vehicles",2,,,,,,,,,,,,,,,,,,,,,,,2389102272.8611,3825947730.8775,2998764749.23,4111159392.62
"Land Vehicles",3,,,,,,,,,,,,,,,,,,,,,,,3924334125.9139,3600199070.6173,3984736321.79,1484683292.82
"Land Vehicles",4,,,,,,,,,,,,,,,,,,,,,,,2569326031.542,4495332252.5001,3848018622.64,
"Land Vehicles",,3395360125.419,3297789660.2609,4784757838.3462,9641512533.5187,8545490686.6053,15261772563.6108,16131747285.9201,28198596874.6629,39757216060.0822,28835130195.0829,25332224333.8185,19575557221.9926,10828673127.7275,7435113801.5888,5825472234.4273,7493772244.1363,7352399029.4452,8259179595.4681,12665731962.3819,12919390944.7209,11753634631.5691,9682677466.2467,,,,
"Missile Defense",1,,,,,,,,,,,,,,,,,,,,,,,2752511560.4528,2427117922.9851,2486717355.29,3135388587.29
"Missile Defense",2,,,,,,,,,,,,,,,,,,,,,,,3917046398.4277,4058249584.2134,1599500418.4,2852729980.66
"Missile Defense",3,,,,,,,,,,,,,,,,,,,,,,,4689066798.777,5402791075.2716,4667191564.07,518168625.53
"Missile Defense",4,,,,,,,,,,,,,,,,,,,,,,,3677264869.9026,2000603216.5406,5273570036.27,
"Missile Defense",,3712993149,4009935888.4,5642874340.825,5825750978.0938,6850883253.5797,7241986679.0175,8137932950.5804,9598715469.5959,10357444324.0874,12248019705.5545,12410878346.5911,12082693116.9403,12676566647.6782,12099741738.1587,9293494133.5078,10675878028.3043,10975434323.1747,8833249237.5686,14755738244.1164,15081905808.139,20378112917.8654,13476285590.034,,,,
"Ordnance and Missiles",1,,,,,,,,,,,,,,,,,,,,,,,3824186158.9829,6184700103.1611,5362431218.8,5436227735.53
"Ordnance and Missiles",2,,,,,,,,,,,,,,,,,,,,,,,3843373036.7001,8844412260.7678,4899338266.35,8284949581.02
"Ordnance and Missiles",3,,,,,,,,,,,,,,,,,,,,,,,5829130171.911,8159254019.4498,6843571261.74,1901479679.14
"Ordnance and Missiles",4,,,,,,,,,,,,,,,,,,,,,,,5586912505.4629,9431692934.0967,18381022752.08,
"Ordnance and Missiles",,7967724148.275,8474994549.3995,11442383339.6534,12782466654.0499,13235234778.1002,14091262916.2053,13651090437.2432,16656166488.807,17610345879.8083,16167191003.7199,14815235215.5274,14253124058.6978,14382664540.9731,11812268601.9235,11790205750.421,12058818951.4863,15479871348.4101,17833777276.8523,20343585093.6988,22899175031.9771,22854209891.2233,20535006075.1904,,,,
"Other Products",1,,,,,,,,,,,,,,,,,,,,,,,16379411008.173,8714841396.9999,7425652783.8118,6875520712.13
"Other Products",2,,,,,,,,,,,,,,,,,,,,,,,16967551026.63,7012764509.6527,7373356301.95,6609956233.71
"Other Products",3,,,,,,,,,,,,,,,,,,,,,,,11754159142.0988,8098182026.3729,7535790650.16,2686558515.93
"Other Products",4,,,,,,,,,,,,,,,,,,,,,,,13446217652.8763,9014391615.0888,9986939022.09,
"Other Products",,8636765200.09,10224864678,13391908160.2411,15543175627.4262,18316590305.9285,31788501747.0561,34619998279.619,34291731704.5411,39100105365.4799,35618854636.1993,29439139717.4225,29987721179.0701,35353479895.3265,26660379036.4712,24340029384.9638,21065394040.0249,19404060630.3798,21592086886.0599,25366831507.1032,23213918227.2358,25597314328.7734,53375243137.3981,,,,
"Other R&D and Knowledge Based",1,,,,,,,,,,,,,,,,,,,,,,,10630394023.4793,11639072580.2826,14698691840.7691,14312270102.27
"Other R&D and Knowledge Based",2,,,,,,,,,,,,,,,,,,,,,,,13013580024.434,20851550397.2631,16279156332.27,19307980170.11
"Other R&D and Knowledge Based",3,,,,,,,,,,,,,,,,,,,,,,,14934534050.4049,15939421034.973,21434183300.22,5889052319.26
"Other R&D and Knowledge Based",4,,,,,,,,,,,,,,,,,,,,,,,16434628207.8023,18988065663.2597,23758043272.03,36822
"Other R&D and Knowledge Based",,12423934945.0637,12424468932.9164,15837779626.0314,18425337222.3278,20538698310.7172,25425408590.2361,28721179671.8313,30296153197.6578,33793436149.4456,38519614942.9603,39961534982.6624,39730605562.243,39961349747.0052,33931359418.8854,33313213189.1928,33042571012.3277,33263526142.8296,34993406922.5655,38689071640.6368,42361945896.872,44087196684.0629,52162527543.4242,,,,
"Other Services",1,,,,,,,,,,,,,,,,,,,,,,,9882236239.0078,8856025022.2491,10394165975.9312,8682380925.72
"Other Services",2,,,,,,,,,,,,,,,,,,,,,,,6264122989.7793,10944182483.7833,5585739578.64,6370233397.4
"Other Services",3,,,,,,,,,,,,,,,,,,,,,,,9381522505.1093,6335158318.7361,8799649700.53,2963357876.22
"Other Services",4,,,,,,,,,,,,,,,,,,,,,,,4845325490.908,5645141220.1303,7627076339.44,35000
"Other Services",,6506896271.1198,7420418599.3494,10545115941.9841,16105347747.7887,20122322174.6054,22213036981.4812,24238830668.4184,24497884758.7179,27468028277.7697,30723657954.163,33024157518.5712,36792544582.1274,33864152089.4193,30720193694.7523,25679241583.4147,23029997076.4498,23858636087.5907,26346176148.3264,28367720162.7264,29627333196.4905,29368308989.5551,28664016702.31,,,,
"Ships & Submarines",1,,,,,,,,,,,,,,,,,,,,,,,8386122735.9145,6808865673.8551,8855709355.4109,12491798793.01
"Ships & Submarines",2,,,,,,,,,,,,,,,,,,,,,,,11295812787.0425,14099254243.2415,7798912511.47,9066875459.58
"Ships & Submarines",3,,,,,,,,,,,,,,,,,,,,,,,7554664659.7032,7244641045.1089,10453256706.64,11279400993.74
"Ships & Submarines",4,,,,,,,,,,,,,,,,,,,,,,,7501557302.2117,12329036585.1926,12542645654.22,2445651
"Ships & Submarines",,9355821763,12404327288,12695551342.9298,12672639055.0506,14842821715.2183,14040438232.1252,16819203914.1752,17253476229.614,19353690799.1401,21502362107.6503,17560432635.8955,28388643767.2551,23822792650.8493,23148510363.5897,23827136177.2298,21484105725.3145,24667818108.5284,27260039011.395,31400633673.6599,33399085633.9998,40331155884.2833,32226679837.9985,,,,
"Space Systems",1,,,,,,,,,,,,,,,,,,,,,,,961383162.5887,1061262150.2215,1289465114.63,1008939564.65
"Space Systems",2,,,,,,,,,,,,,,,,,,,,,,,660597921.4574,1521402397.5803,1220083375.04,553977774.85
"Space Systems",3,,,,,,,,,,,,,,,,,,,,,,,2205327898.1294,1718600698.105,1443288825.32,599732190.51
"Space Systems",4,,,,,,,,,,,,,,,,,,,,,,,810679252.8063,830130677.1108,1974094452.1,
"Space Systems",,3182752123,4154315718,4493775536.64,5289484147.71,6278698516.1575,6522295831.15,8010484938.6197,8210408402.6981,9577508049.2441,10381035512.3811,9203473353.7323,10431151648.4692,10107315072.0037,7735167706.6243,8004623918.9196,5981723226.965,6013852011.0232,6031120374.0328,5858469687.173,7212921755.1126,7323024505.7012,3626347428.9336,,,,
"Unlabeled",1,,,,,,,,,,,,,,,,,,,,,,,,248964.16,708187.86,1293837.11
"Unlabeled",2,,,,,,,,,,,,,,,,,,,,,,,,173659.3701,291546.25,1550181
"Unlabeled",3,,,,,,,,,,,,,,,,,,,,,,,144918,76793.0505,232230.61,928015.31
"Unlabeled",4,,,,,,,,,,,,,,,,,,,,,,,836001.7602,1972035.9525,1331088.22,
