"ServicesCategory.detail","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"PAMS",9435330835,11649121600,11512769914,12188008848,12764049547,12935251309,13514715568,13359447099,14503015888,15943295004,17284311842.6942,17256873389.4621,21268079099.4599,28735840733.1043,34351534835.8169,38670589631.5934,43821675745.3966,48519588147.007,55266477676.2734,58877386159.0639,59728879998.247,57636930317.3907,54356973963.1855,48574287311.3624,41800749634.4927,41391200415.2956,43148575909.5493,45909632741.213,50444908533.364,54734276281.7011,57287356464.6941,57370996666.7923,57722346137.0045,28557135893.4513
"ICT",2932254799,4083510627,4822223677,4468651646,4841588061,5038442272,5449863799,5112399818,5375772104,6120083787,7344611737.721,7667927386.9988,8443963055.0587,10503897199.0271,12956980104.5563,13434015820.5891,14354101029.6732,15145158611.163,15612520262.0683,16521509971.9441,16886520459.0199,18111520069.4162,17095395882.459,15200195345.5603,14500281916.0125,13727496892.9704,15208747538.5426,15520079823.2971,17888614854.1443,18989947213.2565,21728265052.1166,19269304463.324,20132104260.6943,10297891650.1969
"ERS",8136026114,9336257603,8894313162,6871430089,7924352924,8346113294,7637315066,8136289486,8782761285,7619149776,8565669548.1416,9766355879.9395,10688518994.2097,13009874109.0498,13338003784.8289,16188302443.9785,16398946916.988,17495344447.8086,20271352737.5014,21810178493.2197,21099391291.2976,24528542413.8489,26803126894.6128,21995150570.5433,23525515523.9773,22534483248.4031,23028316947.0899,26364245909.2251,28982169383.4354,29825062105.1013,29301054606.5081,29041768087.4301,30391554906.5317,16486166922.1553
"FRS&C",9632225778,16022307467,15334799012,14224739972,16760739952,16561254791,17020066856,16970339374,16545316064,17167106212,17069573446.7748,19098608420.1096,21165720974.0444,27599476255.3415,27491689029.1255,30228612294.707,35420921243.9746,35489387762.2878,44775850994.6769,53227658711.7133,48276611825.8268,42240595225.1222,39144194234.6886,31821825781.0131,34171340568.2231,30229197614.5506,30371112949.8671,29879100754.7575,37228681604.1927,41941227960.6524,49426278665.8057,39106088060.1225,44833732196.5324,18434996645.7633
"MED",917522000,597041920,735888108,693627610,829591436,1729592044,1749694962,2653300460,2994392962,3474107091,2206554815.8008,3356057051.2363,5353433907.9385,7128888723.96,6472680683.7143,8011259767.0005,9434026804.0826,10716277969.4613,10881237555.92,13674759065.3117,12939215879.3626,13924855850.9444,13708786101.9753,13363623688.6613,14209286517.6201,12714703152.3809,13368262938.296,13676931675.0611,13969372310.567,14201722288.9277,14689782118.9011,15330797492.6379,16426528598.9346,12371414368.8796
"R&D",20916048764,21082558949,22015936589,22627218443,22528739720,22289753200,20883686124,20471595002,20666428473,20058524094,20084351696.203,21805938374.388,25937701558.6231,29608841824.5558,31287690940.3064,35782479960.6093,39378760539.7408,42273090487.652,41172918152.9054,43777181278.7004,41468625841.8582,39034114782.3196,34976010465.1431,27989076518.8746,25700436217.2794,23787182030.2238,24585898132.3938,25646797869.4996,27288898604.0417,30904497445.0897,31752924773.8833,32713479122.3333,35115473601.6925,22510895227.494
"Products",63389381115,67381450678,56497682010,55798075161,46962954455,46174305087,48298140471,45089695344,44999251744,49175177817,56053927351.5134,60917421615.7591,71462861532.4998,89226044136.355,97331720348.1872,113779801370.551,123165839256.868,145975462910.202,175608690244.355,154941517845.176,149650935711.757,159085257073.971,149861501831.49,133405846446.514,116952791641.311,120857647476.575,142768078590.926,156047445001.016,173495707696.115,185531553433.935,212341975281.325,187197035588.135,195812003956.397,101691393670.724
"Fuels",4991340000,6001945000,3593048078,4501630373,4549886630,3517302871,3895296252,4189085296,3098943647,2627592707,3539978909,4114617850,5406158242,5644483530.7695,6524579126.4709,9564497100.7392,13081158279.3216,12521122660.2773,14398684080.4848,18724203093.7232,12353941753.2971,14004241053.2505,21690447759.8324,14231146403.2733,12423958605.5834,8942500936.2246,5879211092.2971,7570267424.2692,9657680562.9594,7726653536.2816,6073547584.7288,7034032800.8822,13886948391.417,5650641992.0613
"Unlabeled",,,,,,,,,,,29507158.5386,9838575.9429,84083862.2943,75741000.174,7078195.7826,3802636.1223,109748294.8077,18047585.0499,368043.2192,986168.1333,-253919.658,-140825.1013,-6477.8001,-99723.1206,,30000,3581529.4308,1345607,-212795.3672,465885,314555.625,386316,0,10000
