"Shiny.VendorSize","Vehicle.sum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five","Definitive",234627000,174778000,317229000,648083000,,0,0,4815548594,5116461801,3402162071.01,35442590348.3067,35940491439,47823640225.27,54265946318,55557125681.47,53258549751.61,64945866212.41,70138354010.43,72285325362.4,73130200312.08,62982186802.519,77428474463.5475,72374522376.9518,71130810615.3147,58790707333.4528,58060876726.8788,75233960269.7808,82961113776.754,75075289003.47,83147002096.18,110085705467.83,71486003996.34,78731049291.92,102514494623.64,77675970990.27,56505088380.05
"Big Five","Multi-Awd.",,,,,,,0,120360485,233091868,276081362,956507550.9487,1435324609.9412,1236381147.0591,2453206037.8361,3433365691.1569,3804815073.1221,5024499720.128,5719368900.583,6074517645.5764,7055834508.4604,6664287644.2074,6436607135.6991,6329773304.5545,4393212396.8979,3456472429.5668,3382725152.2303,3445751938.6549,3359815709.7759,3466703353.6469,4622541514.5916,3901648934.7896,3422589057.3709,3438926224.5018,4539049312.5442,4861349423.73,1710723846.06
"Big Five","Other IDV",,,,,,,243000,36161271,48735632,48422597,364528299,344807819,575231480,935623712.6167,1002028998.6654,912241496.9477,1215099768.2905,959033991.8699,1000873743.1025,615235610.3924,685475645.5927,1275983216.4434,1988654330.6411,2298219903.4295,3031969461.6214,3406680142.7105,4425436962.0243,5360776279.358,7165454727.0523,5126280674.0465,5292399332.9796,7079384987.7486,7692806300.2542,8311022229.5431,8306751963.91,3759387954.41
"Big Five","Pur. Order",30614000,37684000,61036000,,,,,6311350,11488651,25174481,46301273,49281351,81292712.04,123699080,116571017.9,139482933.92,141554371.12,124156375.19,165894843.43,160481690.89,160169759.6989,148003504.3993,156401266.5782,137675264.1785,127490385.6158,128455282.2775,126777401.752,113316603.315,171805508.82,196035737.81,135888803.58,129203645.53,119414392.94,135140223.91,147502610.66,74747626.38
"Big Five","Single-Awd.",11170000,,,,,,0,913629794,1209932824.07,2949613454.94,6052492683.97,8134213453.1658,10404392215.0235,12289433236.6753,12740679198.8695,15839727382.2946,17173077733.3955,22143135464.2408,25738123701.4654,26282532729.3284,26446304613.201,24210442962.8241,24651871468.1198,18996022828.1518,16618072245.9167,17111137776.9836,19762147044.0687,20866486197.7264,27665460328.8048,30048544458.6319,33798473152.7333,32220155388.9391,32309425562.7026,43883834387.6639,43718615169.9933,21704772094.44
"Big Five","Unlbd. IDV",,,,,,,0,68585561,29023879,7482107,40402390,95168483,126885071,44827807,32290334,197646,-12097,934091.4062,1222508,,,,,,888709.2,,,-3169.49,,,,,,,,
"Big Five",,29993312707,31945138023,29753069568,30346592157,31747329388,28791249139,32842967690,34627617203,37288669184,39481622310,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0
"Large","Definitive",197058134.53,56136000,88574000,28500000,,214000,641336000,2175516350.2,2178251456,1777973982,18225868999.9219,15437355392.27,17807319316.54,21877216111.13,22756181764.71,26138475317.33,27421917232.34,34040274933.36,43751863778.54,41401613978.14,40036795216.2803,38269147090.325,44029263305.9278,42288616516.4084,39798601454.3098,38940830069.4977,38334386073.7396,38459539521.9195,44652561090.02,50053421234.61,49062614346.27,66302777678.48,61567907464.83,44383436458.41,41224995813.67,21996712736.33
"Large","Multi-Awd.",,,,,,,0,177782548,478056450,796212294.87,4230304093.2933,4070367502.6499,5398315103.3008,6331956962.2319,7990783596.5494,11465601107.1396,12198210918.9871,14855517270.555,18206312041.8753,22164465658.6695,27135783191.8531,27485617011.7197,21936248382.0319,18032662799.0737,13390529297.405,11502713606.4724,11577728062.5503,13390560888.4859,15071253257.9804,15125910979.8092,16924103857.7151,14831788418.5552,16247105162.8766,18306002662.3541,20100769516.35,8220709627.34
"Large","Other IDV",,,,,,,148000,38233347,115565181,226991783.43,1717482044.7941,2070864878.3368,2756388180.4964,3506702714.3081,3688883140.0489,3914988212.4348,4499649500.1685,3800706799.5549,3169140286.8171,2863409552.4821,2700883544.9844,3659085196.3736,5462052209.3415,5488588294.7836,5709738828.7457,5973075263.3052,6278841634.5741,7387973468.1345,8781617807.3585,8650625082.55,8254173176.1278,7423352141.4778,7465246538.4932,8854046023.0576,9881069521.2708,5148195434.44
"Large","Pur. Order",,,1661000,4733000,,,,8612091,42915406,71799549,206679026,247143104.57,291767004.46,482227348.24,429740660.5,597509116.0102,785899314.47,860474933.22,649123338.9,685358762.85,751884751.7285,785091463.3323,583206463.6065,468395569.6935,508873643.3194,525974278.385,537913415.9446,436370993.9292,568183333.84,595291885.07,506736584.8,375881619.14,470378713.99,296911828.62,360548621.1,209341140.19
"Large","Single-Awd.",,,0,,,,5774768.51,950430990,1843834366,2676215132.14,12090178358.0679,14205763007.6585,16280717281.9134,28208866577.7703,36683146470.1715,40473647692.9233,47018356493.0408,52391221671.7442,65304320650.9204,59819130551.0358,53458322085.7237,48044737418.9725,45881076889.1862,32946737849.5341,32363033046.1876,28525921481.8039,27704028486.4022,29951709632.6676,36165810309.9275,34689681382.2907,36658486052.3148,33143438810.6872,39840987062.6366,38732290234.0477,39657702488.7411,20499158275.03
"Large","Unlbd. IDV",33000,,374000,,,,0,109444223,118563877,83503920,160368439,142850519,109949358,45413491,31312939,38926783,20053187,1597034.3525,1310667.1493,712208.6099,404396.7813,4325,34675.2793,5770,-98183.58,116751.96,-954863.53,47129.04,6549,,,-602778.7148,,,,
"Large",,35960694888,37863506273,35092959873,33829226700,31124696371,28535738215,30194170969,29073662056,28130102026,29629894558,,,,,,,,,,,,,,,,,,0,,,0,,0,0,0,0
"Medium","Definitive",135934541.47,140342000,149549019,591886000,227733413.16,284578002,332033000,3114110430,3144369800.02,3713510613,14529050581.3198,20385226424.67,17537152372.24,17464540512.85,18299469360.85,20831881431.9,20673659622.57,22499456597.16,25485620068.5,30480481600.02,27986440616.1818,28906503870.4357,26239051505.8551,22472376249.4012,20619310860.6651,20656932626.1385,20257979383.8676,21735360289.1227,25037082050.54,28527802025.13,27914331723.54,24638377695.79,28409270405.3,29608681197.01,29689297332.14,15989788219.52
"Medium","Multi-Awd.",,59000,154000,,,117882,0,250649065,359234756,730525444.12,2869527426.6352,3182262822.9539,4320709528.234,5580857767.0317,6777381916.7803,6461282737.4552,8488652720.501,8092347574.5589,10612038757.1518,10789498984.7767,10868198563.195,11743708493.4006,11362083778.6141,9459203768.0396,8356081838.1586,6679862258.5729,7810044703.4126,8325197750.7997,10629680998.0749,11885201261.2351,15348735661.1726,13167786555.5392,14297682212.6638,16311804226.6702,19324282368.9917,9311007336.08
"Medium","Other IDV",9472000,3425000,8588000,1722000,5366000,29986000,47765000,117940781,333489511.5,648178301.84,1409911612.6748,1662183408.0374,2293945330.0946,2645680338.6858,3375109208.4222,3324884688.75,3111316766.3269,3042060775.7154,2886259159.8193,3008009985.1885,2635284586.4234,3694994624.6913,4659731706.431,3869301620.9536,3810600668.5097,4329174326.0062,4074176661.3562,4663869169.027,5276745420.0692,5657961435.989,5810633098.5623,5442451843.2331,5062118518.5589,5417421713.657,5879388786.8221,2804945641.54
"Medium","Pur. Order",5378000,6563000,52413000,8792000,21875000,5582000,5887338,29834288,179679285,306387126,827954391.7998,925485827.04,1104260186.56,1435712858.37,1639790058.97,1860412580.44,1620506436.08,2072066276.09,2293723471.26,2380038830.71,2626034448.9651,2488064284.1918,1985842360.8019,2022648819.0835,2115177020.655,2078651055.6332,2137614678.383,2203737920.1426,2758257911.35,2999259294.21,2545977654.08,2390351563.58,2620192591.67,2790461548.36,3107751852.52,1638703450.03
"Medium","Single-Awd.",11546000,14416000,27962000,40931000,26748000,23430000,40740498,1081301004.01,1589991019,3204434883.59,9670994507.3785,10511650756.6538,11690042105.7799,14072122376.4904,15329643448.2519,20943626206.305,22778482025.8496,24403359479.9586,27230702212.6809,29085590036.2725,28184244598.2725,25504047419.0517,23833023869.3691,19227743114.0958,15732889515.317,14373522833.1221,14556837003.537,16696239538.058,19290020143.6038,20670654159.2754,22321293380.0458,22723886716.0134,25525524016.993,30561695361.649,29887575163.5864,15945546788.7
"Medium","Unlbd. IDV",324000,1832000,2335000,7066000,,318000,1227000,67166610,43517305,58477274,189639724,206611546,126894964,85771882,92360456,81010710,40770764,30400959.8698,5532195.7588,350260.31,2139919.6094,1544327.9333,135790.7915,97597.48,8117.74,0,26672.1602,212455.8792,1927279.2498,29285,88463,1435000,,,46502.26,0
"Medium",,28304563806,41243339793,34954992394,33954732784,32186662449,35189234715,30275743132,30248655247,30401382341,32608612080,0,0,0,0,0,0,0,0,,,,0,,,,,,,0,,0,0,0,0,0,0
"Small","Definitive",36158000,41731000,26255000,47712000,24120000,40080045,38302608,1117018577,1646231951,1988398757.62,8824852786.8278,8906205548.33,10106182386.57,11651895832.64,11704011179.04,13091410028.98,14901375484.51,15231534812.5,16074148290.35,18224573802.52,18422274013.4997,16363163297.0481,17520366943.7448,14482198620.0379,15530753407.2648,14273925463.3186,15430508223.6422,15697870314.778,17862159077.83,18457219516.38,20409029820.52,20674261619.42,23198027048.08,22964531357.28,24258186298.55,10757491326.82
"Small","Multi-Awd.",,,,,,,0,137618278,237589873,496896703.16,2104266255.3173,2417880662.1602,2902395131.9215,3703205485.0464,3880518567.4787,5662413405.0832,5608484976.6296,6622709947.1126,8101757086.3763,9524160515.5697,10516712269.8552,10647682091.584,10368050495.4823,9421946562.2905,12079797896.1533,12151427607.7575,14156796363.3811,14803255314.3622,17377838691.0642,18866675509.2047,19363307192.6856,21111122268.5356,24636785380.6782,30257524040.8893,31025901119.9127,14084832494.53
"Small","Other IDV",7025000,10314000,8336000,4567000,10437000,37430000,93427000,169725032,326225985.82,482777344,1471942588.8779,1596927125.0355,2255435747.1885,2836043742.4909,3498606825.4085,3623431744.4319,3837189143.7289,4077064435.1849,4115929322.0835,3996128245.1127,4400287143.2049,4288737831.0498,4691977723.8412,4336064172.3691,5196308405.4071,5175677168.2207,5753675979.3122,6000193649.6651,6449923696.0815,6878624358.5523,7976892264.5077,7669025445.5371,7943098314.4335,8615207983.8924,8720085145.2805,3507532243
"Small","Pur. Order",6291000,16837000,16001000,37195000,15608000,2921000,11352000,59542478,354924969,563729313,1413199435.8009,1687803003.99,2272282761.78,3175692703.66,3534481265.91,4945920266.15,4949955917.79,5291738075.64,6139053191.92,5963380279.16,5858541281.667,5637717002.4549,4650845769.6918,4361517823.5167,4936489036.6021,5061888650.9297,5271539941.5423,5321791480.1861,6751056289.33,6640294589.75,6005532652.91,5510934805.61,5970839161.41,6746926292.43,7326929206.05,3589476556.08
"Small","Single-Awd.",1533000,1977000,4145000,13334000,11707000,14352000,13975000,457976944,976015697,2205585592.09,6671431593.0028,6975313781.1015,8381638411.3596,11104199350.4364,11962963173.8509,15987335444.1637,16234015617.749,18574591039.4614,20531274678.8054,21558387311.044,19063272899.0087,19341780403.0384,18939757446.0923,14705775826.3748,15601786372.6595,15637861028.651,15646578357.8875,17245132670.0872,21604064128.3965,22022813814.2371,21856284760.7371,18967491490.7876,19811473429.8207,21340640978.7211,22628309805.8684,11034392453.26
