"SimpleArea","Competition.multisum","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Products (All)","1 Offer",1007062000,2507688963,1986714008,1632676184,1113502801,1203973123,1183771415,1017375608,1248036780,1412315349,4126069200.6992,3990017125.0862,4197180268.6863,9114498311.1483,7111550861.8652,13188657702.0979,14717222238.0018,14852799038.3547,20714689528.4269,14828791732.7997,15073154649.153,14384854206.3606,11040669643.8511,7732055707.5811,7924252783.3424,7859482184.3025,7673789691.9318,7567376892.3292,9956680267.4515,13029786877.325,12731607698.7978,14538057097.5616,18799481202.8666,14654104697.4739,1887256349.6328
"Products (All)","2+ Offers",16559907083,30317468735,25335080084,22662098250,19627595730,17753261372,20919356974,19446931560,18434183616,18866259217,23428941723.8142,25599621860.9766,32217762569.6844,35756957152.6842,40532006994.262,51044594275.7323,54144015342.3237,60262181433.2988,67958343637.3419,65138255010.2683,55772203296.803,57923901822.6555,60583659873.5834,49369916704.1961,48012197590.0565,43747124917.2069,47553840306.7942,51450686745.2366,59842246826.4124,58584606953.3423,52629447566.9706,53163972348.4133,78545851164.4913,70266778951.3817,10449541192.8772
"Products (All)","No Comp.",26470720032,39125270482,30828800785,35112256851,29982799865,30284380653,29513356860,27030970397,25936252158,28716114351,31079163259,34577711170.1943,38020002025.7827,48290069014.0222,54389410155.2096,57559212607.3819,66534050427.8003,83052781059.8321,100696680244.403,93214244709.7201,90188272283.3319,100250237990.665,99617738930.1985,91068357220.8745,73155959911.0417,78214006628.9234,93001219830.572,104824193958.553,112898868835.993,120884759768.857,152793459881.76,126487738336.046,112079128920.137,140246665600.582,13110537637.8408
"Products (All)","Unlabeled",24343032000,1432967498,1940135211,892674249,788942689,449992810,576951474,1783503075,2479722837,2808081607,959732077,864689427.4881,2434074834.9802,1709003047.7693,1823331528.694,1551833751.8046,851717998.5458,328832944.7903,637582580.3257,479576389.7556,1266356807.1755,499269108.1104,443456485.9596,250324685.0853,348967635.6764,203066381.3286,288153045.1845,319168016.0067,447409153.4783,357041722.6125,349189625.0454,303359764.9743,346241867.0754,475243784.8147,23763546.8974
"R&D","1 Offer",944973000,1191269851,1178184361,1213181299,968981321,1162413352,1439730423,1385103356,1543205696,1800728879,2675911548.663,2741441508.8295,3108083132.84,3626483138.1291,3727945350.2358,3148821914.3663,3455792438.1804,4449745743.5118,4536898587.2112,5029662590.2339,5554584728.5189,5113570556.0368,5097912354.8645,4253474056.8333,4217593405.3706,3983628631.2697,4411502845.6472,4605822252.3202,5798335544.3973,6779816868.7247,6379372928.7257,6174401807.8313,6082034213.3933,7496026163.0444,760290175.0392
"R&D","2+ Offers",9109760764,9081328762,10945548898,11263461256,10274264266,10868177910,10462898696,10076391835,10199966732,11227112128,10804445627.54,9822124882.4702,10740862363.3795,13425416321.6297,14357832087.9376,17274975861.5072,18214528798.9584,19678274847.1516,19152734393.9918,20297325477.5317,19414953606.7713,18109640283.4496,16055541816.891,14291235480.1275,12454654447.3608,11020988643.4608,10565726279.2382,10487118861.6967,10907803248.011,12413112323.1702,12823706092.9005,12685603739.5816,13451068149.1984,15705461389.4161,2149638320.6597
"R&D","No Comp.",7124632000,8094829886,8598982544,9554572742,10918602437,9758228116,8950095425,8939809925,8879620494,7006946865,6579376372,9222027999.69,11985220776.4004,12441487724.82,12955924680.1613,15083052930.4134,17576609077.4375,18110299881.556,17437442365.496,18370088969.2511,16494028679.7555,15778550087.0111,13779571318.0399,9441015382.4638,9090688447.571,8771017250.9205,9582173017.5517,10569767919.5798,10494597492.8367,11820623487.2049,12534300729.2376,14039929687.5847,15712608707.4278,19694120400.0197,2174155294.1525
"R&D","Unlabeled",3718775000,2677771000,1290044641,586720931,350405357,495174139,23475846,49381582,36949403,20423303,18566142,13989351.4,89896823,110136444,238832727.5625,272734527.1688,110634218.5317,31891894.1742,26564166.4536,68859404.8315,1401969.3217,28552001.9534,35471227.5305,35227144.35,54154163.212,52797117.6125,48500876.011,44542308.3763,47103169.9937,38794142.7833,10951658.8371,24000727.3862,122707793.739,351538156.191,2420058.75
"Services (Non-R&D)","1 Offer",2223217000,2040671817,2053944803,1976101124,2284203375,2593158725,2737526319,2660069815,3100844045,3652782067,3906468837.8305,5090434225.2779,5723693497.816,7840861024.4809,8116364429.1273,13036522892.2446,16032121962.2079,16051481205.4218,17872200899.3864,20258958448.6975,20001853443.9255,17095104196.1975,13513679877.8193,10670499218.9606,9130097306.0059,8265201337.6818,8154520652.556,9156439285.3773,11711058233.8342,13410096058.4159,15847883333.5155,13850765647.3213,14267213643.2836,17897646483.3222,1727360339.6034
"Services (Non-R&D)","2+ Offers",17936721825,26251184852,25345708807,24178867901,28603318411,29199642516,29847199059,30157144754,30169880861,32270398537,36048154946.6527,38255965310.172,43892947973.9377,54731061099.7657,63162763841.0847,67360174421.2169,75459555179.527,83774113681.2562,97920405468.7736,95273092586.8165,105963905898.491,105228901784.35,101051147650.253,87589595965.6424,84041393949.6709,77599683383.3437,79484461992.3626,84518451883.917,95076261476.2786,102934755271.637,110721104454.339,100328061810.37,107966183774.351,118275377061.716,17866816547.6849
