"Shiny.VendorSize","PricingUCA.sum","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Big Five","FFP",15769500422,18022128305.6406,25062785939.2106,26865011145.6493,24366300499.213,20882929015.6951,29267910699.7346,33402209924.2441,30537345704.4622,33735476698.2663,34885541165.3707,36282224057.0301,33065587817.9993,28744755268.3312,25572293909.4542,27161876995.8124,35330297680.3724,31775926308.8709,29619657165.9733,37112140950.5621,47853041518.0621,34963126898.714,32611818479.5728,21004645084.7628
"Big Five","Less Common",2277765468.4481,3206595174.0601,3018899566.6937,3158030632.7165,4230778145.2386,9283427753.0157,6261816240.2686,6109118044.6525,10754460247.8015,5661823435.724,3488190373.1264,2624895865.7098,2380067477.4736,1455723468.7364,456942582.5992,690270109.6197,549872636.4912,689621378.5161,831239779.9976,1092356848.515,1140590467.7811,1429780297.8377,1242152771.8703,492906217.0531
"Big Five","Incentive",2820928423,3582158159,7377473516,7765500452.0469,9513058234,8246162665.875,10223282205.7668,9158296845.5432,12454484000.9302,12856441782.9005,17186029748.3012,34835863752.0275,25102254840.0189,31402254245.6674,25720874603.0141,26017419567.3447,25696894092.5125,24226798827.7144,36137348779.2238,42772788302.0783,44223293560.794,42802249179.8627,45010711173.5015,41082568438.7405
"Big Five","Other CB",11710991946.3067,12068026729.539,16311026622.9609,23481985768.23,23925361804.3672,26589263894.8327,31574929628.9755,31138918062.3115,27749202813.1069,28255194754.6453,28173529948.8311,27335349945.0547,24178335466.0461,21472897157.3249,24868391339.8565,24043338574.8695,22127660873.4516,23280882191.5872,22239303636.625,22110930907.1824,18796289368.6045,19081109255.2302,20673922727.6926,10418749714.0805
"Big Five","UCA",7085716321,8696528250.875,7894711301,8177841052.25,10225059707,8234221757,10386302174.5777,12312143551.921,8895559541.7222,10660560818.5505,12171161580.0457,6863059322.9446,17456486859.3699,13181056150.1268,5184738576.4892,3884231855.4577,18746475215.9055,32683627978.0683,24440024081.9901,20544184678.9775,40877641814.7583,15785372799.8823,22344270620.5952,11219831953.8566
"Big Five","Unclear",3235842445.4706,400748717,491679520.6016,646506030.2315,619136999.2785,719059443.7142,815131194.5012,6978918465.2859,14873500325.2965,16074645901.0211,1034002745.6473,1525495647.4236,3145619267.2087,213352844.6462,220651375.3513,99103936.6241,430493746.6099,-265389685.4401,0,50903.5586,65050.4219,0,0,0
"Large","FFP",12884576917.4424,16340234121.1048,18345798659.5277,28687333472.0762,31975221424.9515,36183493188.1127,39866960660.1066,49899208556.0426,64599282053.5704,58760149415.7339,58141655907.8091,53962260800.1943,48318169835.2685,43010820874.179,41850578742.7092,42149433326.4809,38717775558.1637,40642757754.6349,50275383388.1131,50078657503.2537,53189341744.2655,69906298556.8309,69420939025.9332,21370053585.7147
"Large","Less Common",5191211049.4763,6433221986.0285,7468359931.362,9006039305.8449,10967209076.4338,14627942257.1949,16628921433.4665,16955779320.2927,19241045091.8242,22741375471.4394,19861102388.6656,18181587493.9321,22404525876.7609,12275808533.3464,8878982536.7075,6292027354.7487,5354122961.8616,6457297273.9517,7910472940.6232,6180239144.8337,6325745115.15,6864129408.3892,10934200530.4817,5061525136.3838
"Large","Incentive",1966807251,982417772,1416064764,2492275670,2443588090.5957,5810458166.5664,6859896807.4906,7736228802.2311,7765378429.3494,9195025356.4403,10701083073.7957,9727011427.8964,10930485671.6981,9987467544.4029,9488765091.8423,9271693729.3817,9155641583.0615,9475742007.9937,8355082478.4597,13825173355.4736,11223301492.4197,6882323953.0009,6897379394.8739,3910768495.0423
"Large","Other CB",10509727004.9219,8925232456.2188,10860111320.5564,15312205117.1214,21842129338.6474,20568192472.8868,23229234087.8218,23087399738.0217,26184537678.7536,25290014422.218,28694846169.6139,33190173499.5344,33371284274.6711,32385273401.9259,29360797635.6957,27526949400.5132,26336347432.7808,28998554720.6599,27241532533.5992,30823386166.6824,31450880995.3963,32733364825.7793,35758909247.4464,23597109588.3489
