"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AGM-88E AARGM",1362,,,,,81191,,,,,53478144.5,51892939.9219,1049921,155438745,110059824.98,102626337.84,130359359.0391,138524212.3555,173422395.1797,267210625.9689,199371116.6568,177947657.0862,109454573.1113,62246061.8281,33609890.1226
"AH-1G HUEYCOBRA",109,23037354,6995254,2483156,2585984,,,,,,,,-5076.3901,,,,,,,,,,,,
"AH-1J SEA COBRA",750,8460727,25120989,163804524,143393201,,,,,,,,,,,,,,,,,,,,
"AH-1W SUPER COBRA",751,9313347,42055057,26140276,5944328,,,,,,,,,,,,,,,,,,,,
"AH-64 APACHE",113,873527,,32232,49750,,,,,,,,,,,,,,,,,,,,
"AHD",1899,,14165839,893000,949000,,,,,,,,,,,0,,,,,,,,,
"AHE",2054,1788363,1017475,170891,1670618,,997904,69407,,,,,,-625364,,,,,,,,,,,
"AHJ",2055,9474970,,22941666,,,,,,0,,,,,,,0,,,,,,,,
"AHP",1902,,,,4653000,,,,,,,,,,,,,,,,,,,,
"AHW",1904,1264260,,,,,,,,,,,,,,,,,,,,,,,
"AIM-7 SPARROW",831,-94222,392295,-31073,15899879,,,,,,,,0,,,,,,,,,,,,
"AIM-9 SIDEWINDER",1913,5541831,2805851,2011679,583831,,,,,,,,,,,,,,,,,,,,
"AIM-95 AGILE",864,1e+07,1044705,,,,,,,,,,,,,,,,,,,,,,
"AIM-9X",1842,,,,,457651649,6907431,57939823,201421474,176043145.5,227639994.8438,194109468.8908,127167624.875,295883021.7188,279082373.86,343361432.4,39505810.6023,-4843146.8437,-113486.1094,0,,0,7468929,,462675
"AIR CONDITIONERS",586,,,37476,,,,,,,,,,,,,,,,,,,,,
"AIR TRAFFIC CNTL COMM CON",487,,,,603000,,,,,,,,,,,,,,,,,,,,
"AIRBORNE ECM/ECCM NKC-135",1011,,,,1015989,,,,,,,,,,,,,,,,,,,,
"AIRCRAFT CARRIER -CVA-64",1180,9284767,5595217,2084581,98563,,,,,,,,,,,,,,,,,,,,
"AIRCRAFT CARRIER -CVAN-69",1183,51002,,,,,,,,,,,,,,,,,,,,,,,
"AIRCRAFT CARRIER -CVN-71",1175,804145,731059,1213026,2192165,,,,,,,,,,,,,,,,,,,,
"AIRCRAFT CARRIER -CVN-72",1172,97779,2602905,2497404,2162851,,,,,,,,,,,,,,,,,,,,
"AIRCRAFT CARRIER CVAN-65",1184,,49710,450302,1443416,,,,,,0,0,0,,,,,,,,,,,,
"ALAM",1330,,,,,21669,,118602,,,,,,,,,,,,,,,,,
"ALCM",12,,,,,,,313443.9617,31201.5,,,,,250054.39,,,,,,,,,,,
"AMDR",2033,,,,,,,,,,,,,,,,17545851.5544,112702662,256860863.5,7564015,81224624,36881106,215029697,65552872,
"AMMO COMPONENTS ALL TYPES",399,,103720,,,,,,,,,,,,,,,,,,,,,,
"AMMUNITION SHIP-AE",1251,13579494,14684669,17440265,41164038,,,,,,,,,,,,,,,,,,,,
"AMMUNITION SIMULATORS, AL",1935,33162242,15150728,10094967,18780024,9888450,15485637,14227117,11469109,,,,,,,,,,,,,,,,
"AMRAAM",81,,,,,383312,372806,,4399298,2879429,2344543,2592053.6719,2981583.9062,2052162.1562,720320,577148.56,539171.04,663448.9688,1101196.0938,847581.125,853246.1875,892492.125,,,
"AMRAAM (NAVY)",80,,,,,,,,20000,,,,,,,,,,,,,,,,
"AN/ALE-41",965,,2754976,1104404,105148,,,,,,,,,,,,,,,,,,,,
"AN/ALE-50",968,,,32899822,,,,,,,,,,,,,,,,,,,,,
"AN/ALQ-126 ECM",966,,510944,,,,,,,,,,,,,,,,,,,,,,
"AN/ALQ-165 (V) (ASPJ)",1022,684980,,,,,,,,,,,,,,,,,,,,,,,
"AN/ALQ-61 ECM",931,,,,72450,,,,,,,,,,,,,,,,,,,,
"AN/ALR-45",933,,165400,1115641,,,,,,,,,,,,,,,,,,,,,
"AN/ALR-67 COUNT WARNING S",1023,317553,23547396,28469823,20748688,,,,,,,0,,,,,,,,,,,,,
"AN/APG-59 RADAR",1053,84564,280836,,,,,,,,,,,,,,,,,,,,,,
"AN/APN-194",1035,1545529,4184295,5632480,2676845,,,,,,,,,,,,,,,,,,,,
"AN/APQ-109 RADAR",1055,,,,5788000,,,,,,,,,,,,,,,,,,,,
"AN/APR-39",498,-250153,,,,,,,,,,,,,,,,,,,,,,,
"AN/ARA-63",1094,41328,4747075,845056,5007587,,,,,,,,,,,,,,,,,,,,
"AN/ARC-159",1093,388000,2207750,1115030,929459,,,,,,,,,,,,,,,,,,,,
"AN/ARN-52 TACAN",1072,,,160831,,,,,,,,,,,,,,,,,,,,,
"AN/ARN-84 TACAN NAVIG",1064,3496703,,455304,81760,,,,,,,,,,,,,,,,,,,,
"AN/ASQ-104 NAVIGATION SYS",943,1652964,,,141110,,,,,,,,,,,,,,,,,,,,
"AN/ASW-20",997,233526,,,,,,,,,,,,,,,,,,,,,,,
"AN/BPS-15 RADAR",1077,,,267053,1492073,,,,,,,,,,,,,,,,,,,,
"AN/BQN-17",1101,490000,469714,1149539,1560288,,,,,,,,,,,,,,,,,,,,
"AN/BQQ-5",1129,,,132474,,,,,,,,,,,,,,,,,,,,,
"AN/BQQ-6 SONAR",1104,28345389,70200,,82200,,,,,,,,,,,,,,,,,,,,
"AN/BQR-15 TOWED ARRAY",1125,,,,40456,,,,,,,,,,,,,,,,,,,,
"AN/BQS-15 SONAR",1113,,,55936,,,,,,,,,,,,,,,,,,,,,
"AN/BRD() LF-VHF-DF",949,,,60544,93945,,,,,,,,,,,,,,,,,,,,
"AN/BSY-1 (V) SONAR",1110,59843956,18512657,112289121,121408994,1242163,,,,,,,,,,,,,,,,,,,
"AN/BSY-2 SUBMARINE COMBAT",1938,29905262,24723532,38102421,15305968,30000,,,,,,,,,,,,,,,,,,,
"AN/FQQ-1/2/3/9 CAESAR/SOS",1116,,,,206608,,,,,,,,,,,,,,,,,,,,
"AN/FRT-84 TRANSMITTER",1069,,257223,134499,662832,,,,,,,,,,,,,,,,,,,,
"AN/FSA-52 COMM CTRL EQUIP",1004,626800,66700,,,,,,,,,,,,,,,,,,,,,,
"AN/GRC-103 RADIO",512,,,,1260573,,,,,,,,,,,,,,,,,,,,
"AN/GRC-193",1092,,27683,,83462,,,,,,,,,,,,,,,,,,,,
"AN/GRN-9",1065,309784,102794,,,,,,,,,,,,,,,,,,,,,,
"AN/GXC-7",1015,,,72654,,,,,,,,,,,,,,,,,,,,,
"AN/MLQ-34 COUNTERMEASURES",2038,,,,,,,,,,,,,,,,1225272.8,,,14914244.75,15502452.8125,9875925.0782,42686947.875,80044232.4102,56226462.295
"AN/PVS-4 SIGHT",1141,,,39700,137428,,,,,,,,,,,,,,,,,,,,
"AN/SLQ-13",939,18025371,11979313,6528735,7957050,,,,,,,,,,,,,,,,,,,,
"AN/SLQ-21 ECM",935,,,,55000,,,,,,,,,,,,,,,,,,,,
"AN/SLQ-25 TORP CM TRANS S",962,,7156666,750469,4320427,,,,,,,,,,,,,,,,,,,,
"AN/SLQ-32",1007,3044106,177030,26072254,8648842,,,,,-12320.5098,,,,,,,,,,,,,,,
"AN/SPA 25",1058,,548708,396402,265636,,,,,,,,,,,,,,,,,,,,
"AN/SPG-55 RADAR ANTENNA",1076,3819970,,279206,1108485,,,,,,,,,,,,,,,,,,,,
"AN/SPN-46(V)",1083,8696321,2778940,,,,,,,,,,,,,,,,,,,,,,
"AN/SPS 40",1056,,96350,152349,44380,,,,,,,,,,,,,,,,,,,,
"AN/SPS 49",1059,2471000,8482513,3756450,1570547,,,,,,,,,,,,,,,,,,,,
"AN/SPS-48 AIR SEARCH RADA",1050,936237,4888736,3651896,3525959,,,,,,,,,,,,,,,,,,,,
"AN/SPS-52 RADAR",1034,,,,3962505,,,,,,,,,,,,,,,,,,,,
"AN/SPS-58",1033,7731747,1787825,,,,,,,,,,,,,,,,,,,,,,
"AN/SQQ-16 MINE SONAR",1114,,,227653,365000,,,,,,,,,,,,,,,,,,,,
"AN/SQQ-32 SONAR",1112,117618,421492,75498,69974,,,,,,,,,,,,,,,,,,,,
"AN/SQQ-89",49,,,,,,,,,4005767.0586,20355262.4414,22567422.672,6695379.0977,4804000,4512769,5236923.3905,1524000,0,,,-10350.6201,,,91503.6172,
"AN/SQQ-89 SONAR",1109,97719310,81168271,80786189,29652803,,,,,,0,-2355121,-810387.4375,,,,,,,,,,,,
"AN/SQR-17 SONAR",1105,78000,1155841,3815899,1850722,,,,,,,,,,,,,,,,,,,,
"AN/SQS-35",1102,,,130000,1702464,,,,,,,,,,,,,,,,,,,,
"AN/SQS-53 SONAR",1128,2494848,4737250,81724,26276,,,,,,,,,,,,,,,,,,,,
"AN/SQS-56",1103,,63826,,,,,,,,,,,,,,,,,,,,,,
"AN/SSQ-36",1136,,,,1211327,,,,,,,,,,,,,,,,,,,,
"AN/SSQ-53 (DIFAR)",1133,1172190,23339555,1071695,19948578,,,,,,,,,,,,,,,,,,,,
"AN/SSQ-57 SPECIAL PURPOSE",1135,,,,100,,,,,,,,,,,,,,,,,,,,
"AN/SSQ-62 DICASS",1137,,,13761577,12258146,,,,,,,,,,,,,,,,,,,,
"AN/SSQ-77(VLAD)",1138,7454180,240241,3885760,3334140,,,,,,,,,,,,,,,,,,,,
"AN/SWG-1A HSCLLS",877,7652904,757946,-3334430,17413,,,,,,,,,,,,,,,,,,,,
"AN/SYR-1 TRACKING SET",1006,4462536,6553651,5109835,105193,,,,,,,,,,,,,,,,,,,,
"AN/TPS-59 RADAR SYS",1078,7632772,17372983,941208,537514,,,,,,,,,,,,,,,,0,,,,
"AN/TPS-63 RADAR SET",1046,1818685,,,3180974,,,,,,,,,,,,,,,,,,,,
"AN/TSQ-18 LANDING CNTRL C",950,329640,,,,,,,,,,,,,,,,,,,,,,,
"AN/TSQ-43 INTERPRETATION",444,,,,287647,,,,,,,,,,,,,,,,,,,,
"AN/TTC-3 CENT  OFF TEL",993,83200,428400,,,,,,,,,,,,,,,,,,,,,,
"AN/TTC-38 CENT OFF TEL",1002,,,54300,,,,,,,,,,,,,,,,,,,,,
"AN/TTC-39",13,,,,,,,,,81530,,,,,,,,,,,,,,,
"AN/TYC-5 DATA COMM TERMIN",995,,114883,,,,,,,,,,,,,,,,,,,,,,
"AN/TYQ-3 TDC",990,,,135992,793812,,,,,,,,,,,,,,,,,,,,
"AN/UGC-129",1003,,,228410,353437,,,,,,,,,,,,,,,,,,,,
"AN/UGC-74",998,,1055800,1951750,,,,,,,,,,,,,,,,,,,,,
"AN/ULQ-6",926,,2238769,,1036436,,,,,,,,,,,,,,,,,,,,
"AN/URC-82",1084,19518214,11553015,8877617,3e+06,,,,,,,,,,,,,,,,,,,,
"AN/USG-13 TACMO 3",957,1635086,,,,,,,,,,,,,,,,,,,,,,,
"AN/USH-24",1019,32992107,22820243,17074502,4771922,,,,,,,,,,,,,,,,,,,,
"AN/USM-247 (VAST)",928,,,632795,3221090,,,,,,,,,,,,,,,,,,,,
"AN/USP-1 RADAR",1037,-544324,96270,,,,,,,,,,,,,,,,,,,,,,
"AN/UYA-4 NTDS",951,,,,98786,,,,,,,,,,,,,,,,,,,,
"AN/UYK-20 GARD",963,14516721,609404,,81784,,,,,,,,,,,,,,,,,,,,
"AN/UYK-43",1008,5940811,2669888,1091500,295474,,,,,,,,,,,,,,,,,,,,
"AN/UYK-5 ADP SYSTEM",945,,47697,,,,,,,,,,,,,,,,,,,,,,
"AN/UYK-7 COMPUTER SYS",961,260862,136265,564215,2751081,,,,,,,,,,,,,,,,,,,,
"AN/UYQ-21 NTDS",1018,5690990,1248686,1329859,855769,,,,,,,,,,,,,,,,,,,,
"AN/VRC-67 RADIO TERMINAL",445,,,,1235520,,,,,,,,,,,,,,,,,,,,
"AN/WLR-1",940,,,2843437,-1502999,,,,,,,,,,,,,,,,,,,,
"AN/WLR-8",973,,120439,,,,,,,,,,,,,,,,,,,,,,
"AN/WLR-9",1017,1558000,,,,,,,,,,,,,,,,,,,,,,,
"AN/WRC-1",1088,,30640,,96864,,,,,,,,,,,,,,,,,,,,
"AN/WRN-5",1087,7389290,,,,,,,,,,,,,,,,,,,,,,,
"AN/WSC-28 SAT COMM",458,,301482,139254,,,,,,,,,,,,,,,,,,,,,
"AN/WSN-1 INERT NAV SYS",1014,52185,,608783,37348,,,,,,,,,,,,,,,,,,,,
"AN/WSN-2",1080,,,730000,66688,,,,,,,,,,,,,,,,,,,,
"ANTENNA IMPROV PLAN",942,,,,374000,,,,,,,,,,,,,,,,,,,,
"AOC-WS",1363,,,,,1144115,,,,,,,,155000,0,,,,,,,,,,
"APC",2057,129681869,13772882,25964781,72841164,25063166,2300428,1956275,110000,,,-90657.9375,,,,,0,,,,,,,,
"APS",20,,,,,,,,,,,,,,,,,,,,,,112109.2969,7935.2998,
"ARC-210 RADIO SET",1166,80302255,68656595,1340931,,,,,,,,,,,,,,,,,,,,,
"ARH",75,,,,,,,-10485,,,,,,,,,,,,,,,,,
"ARMY WWMCCS INFO SYS",468,,,,2241808,,,,,,,,,,,,,,,,,,,,
"ASDS",1375,,,,,,,,,2764503,2107242,38916,8501,,,,,,,,,,,,
"ASF",1908,,,,22284696,,,,,0,,,,,,,,,,,,,,,
"ASSAULT SHIP AMPHIBIOUS-L",1215,128565472,16895927,10600045,13188343,,,,,0,4e+05,0,,,,,,,,,,,,,
"AT NAV,INTEGR AND CRD ATN",486,,,,4791103,,,,,,,,,,,,,,,,,,,,
"ATACMS-APAM",623,,,,,,,,,,,,,,,,,,,,,,,,6534
"ATCCS-CHS",1853,,,,,,3421779,0,,,,,,,,,,,,,,,,,
"ATIRCMS/CMWS",630,,,,,4739224,1570807,1265866,0,0,,,-88771.7578,0,,,,,,,,,,,
"ATM",1851,,,,,,,,,,,4195.1802,,,,,,,,,,,,,
"ATR",1909,-2870670,-844220,602298,-750280,,,,,,,,,,,,,,,,,,,,
"ATS",2058,254640579,10450242,3404181,-540937,-51551,,,,,,,,,,,,,,,,,,,
"AV-8 HARRIER",795,109505795,60436939,136290632,125659741,,,,,,3000,,,,,,,,,,,,,,
"AV-8A",1342,,,,,,,,4389.8398,,140757.5,,0,,,,,,,,,,,,
"AV-8B",63,,,,,,,2891355.1831,24090618.9426,6216504.9778,24093251.3769,29289691.3878,29737739.2253,21554023.7014,14862784.91,2214991.05,-101521.0013,0,,25917,,,,,
"AV-8B REMANUFACTURE",1818,,,804212,3560426,25558139,22976039.6998,41969843.9609,24150801.9186,14611123.6125,8189802.4536,1372476,1847904.6626,5942655.2813,8747619.57,1424686.94,95825.5391,-599765.2813,846517.0625,1235000,199451.82,0,0,,
"AVENGER - FADS, LOS, RPMS",160,,,,4987879,,,,,,,,,,,,,,,,,,,,
"AVG",1910,171453068,173863973,8772236,4590890,424821,,,,,,,,,,,,,,,,,,,
"AVK",2060,7293858,5570905,19726501,740000,,,,,,,,,,,,,,,,,,,,
"AWACS RSIP (E-3)",1815,,,,,1194612,,3164,6321210,790893,0,0,0,,5453328,0,-10727.04,0,,,,,,,
"AWACS UPGRADE",682,,,,,,,,,,,,,,,,,,6957627,3094498,,0,,8757136,4032198
"Advanced Pilot Training (APT)",2232,,,,,,,,,,,,,,,,,,,,,113353,,,
"Amphibious Ship Replacement (LX(R))",2234,,,,,,,,,,,,,,,,,,,,232035,58388,,,
"B-2 RMP",1370,,,,,487778,4823,,409579,1972562.1015,1621627.8,1307700,2055000,20000,,,,,,,,,,,
"B-2A",1860,,,,,,,5814,,,,,,,,,,,,,,,,,
"B1-B",64,,,,,,,,,,,,,,,,157543,,,,,,,,
"B1-B CMUP",693,,,,,,,1313045,273429,0,404024,,,,-3207.92,-2770.35,,,,,,,,,
"B1-CMUP COMPUTER UPGRADE",669,,,,,,,,,56391.2188,,10720.4404,,,,,,,,,,,,,
"BAMS",1367,,,,,700313,5581847,5738962,516248,52355357.2188,377048278.3282,372958619.5781,466768237.5313,440802651,535071752,253766611.41,360852223.1484,591885345.625,590255348.6641,564907981.2442,261638581.9193,630340002.2119,350204467.754,547493304.9033,144764774.6796
"BARGE SHIP WASTE",1252,384301,,,331616,,,,,,,,,,,,,,,,,,,,
"BARRACKS SHIP SELF-PROP-A",1253,304531,302194,1455736,785773,,,,,,,,,,,,,,,,,,,,
"BASE REALIGN & CLOS (BRAC",610,71030694,63855177,13392474,20935816,,105470,0,,-218155,-284723.8471,66771,-580941.875,,,,,,,-13189.7695,,,,,
"BATTLESHIP",1167,130001,,219727,1980051,,,,,,,,,,,,,,,,,,,,
"BCS-M",1991,,,,,,,,,,948744.5,,,,,,,,,,,,,,
"BGM-109 TOMAHAWK",865,68836857,101108418,354855177,124613995,,,,,,,,,,,,,,,,,,,,
"BIOMETRICS",1992,,,,,,,,,,20886.0098,,,,,,,,,,,,,,
"BJM",2062,6245295,2510746,34002121,6689018,,,,,,,,,,,,,,,,,,,,
"BJN",2063,,,60619860,745363296,-14698000,353562528,391996160,0,0,,,,,,,,,,,,,,,
"BLACK HAWK (UH-60A/L)",52,,,,,,,,,,,,,,,,,,,,,,,,388846
"BLACK HAWK UPGRADE (UH-60",1339,,,,,,,,7321696,3936200.4766,6799775.4414,2543749.9608,3511020.6388,1395785.9702,4367199.51,,0,,3176873,5157361,1911470.0585,3683359.7503,26172502.981,25822872.7603,4928443.8382
"BMDS",1357,,,,,606101,615582,13529022.4219,56928317.125,44088131.6299,53697501.3679,62164488.207,34196888.7977,3368336.3418,3889053.4701,1322595.31,-1405194.5297,-556737.8634,-2017964.1373,1207555.6504,1172213.2891,1171200.3457,126232,13548.8405,
"BQM-34 FIREBEE",834,,549988,,1687225,,,,,,,,,,,,,,,,,,,,
"BQM-74",869,,591773,,21057064,,,,,,,,,,,,,,,,,,,,
"BQM-74E SSAT",871,4580133,25909374,5008533,27408149,,,,,,,,,,,,,,,,,,,,
"BRAC ACTIVITIES",2014,4725689,10175958,416521,2975263,29732373,93200003,127766953.2031,46223237.9492,63504300.6817,42964426.8731,31049947.0366,14819838.9689,30691796.2766,25633643.6901,16580837,31574237.1857,69755778.2669,15970612.8425,15821390.9419,7594417.6009,10916504.4731,6607249.106,4171373.9642,1660188.6572
"BRADLEY FVS",27,,,,,,,,,,,,,,,,,,,,,,,24248.8398,
"BRADLEY UPGRADE",1849,,,,,,,13656088,40000,279759.1875,545341,111390.3281,55695.1602,,,-12665.08,,,,,,,,,
"BSM",1972,,,,,1160248,5857125,98060,2089323,2664294.25,31563904.7422,74826283.8281,98019023,73161935,1528165.21,-72045.18,,,,,,,,,
"BSM ENERGY",1962,,,,,,,,,,,,,19039.1093,,,,,,,,,,,
"C-1 TRADER",725,,49244,,,,,,,,,,,,,,,,,,,,,,
"C-10",1426,822087,2376701,230851,,,,,,,,,,,,,,,,,,,,,
"C-11 GULFSTREAM II",717,,,,-271286,,,,,,,,,,,,,,,,,,,,
"C-12",89,,,1191413,540687,,,,,,,,,,,,,,,,,,,,
"C-121 WARNING STAR",718,913848,119988,8800,,,,,,,,,,,,,,,,,,,,,
"C-124 GLOBEMASTER",1415,,1475000,,,,,,,,,,,,,,,,,,,,,,
"C-130 AMP",702,,,,,4313404,-668316,,214680,5988482.25,48382603.5,13149.5498,3247771.9102,3443188,4587549.8775,6238868.08,0,0,0,,,,,,
"C-130 HERCULES",716,8898934,38304937,15716184,16802622,,,,,,,,,,,,,,,,,,,,
"C-130H",1827,,,,,,,11172.4805,144102,0,,,,,,,,,,,,,,,
"C-17A",614,,,,,6405774,1213793,24966084,14180388,624159,427383,344193.7031,,,,,,,,,,,,,
"C-2 GREYHOUND",714,8682135,2030046,4113553,414882,,,,,0,,,,,,,,,,,,,,,
"C-20 ACFT",91,,560565,,,,,,,,,,,,,,,,,,,,,,
"C-20 GULFSTREAM III/IV",730,157823,312935,1643031,222290,,,,,,,,,,,,,,,,,,,,
"C-3",715,,,12856824,200670,,,,,,,,,,,,,,,,,,,,
"C-3 INERT NAVIG EQUIP",1031,703500,,,,,,,,,,,,,,,,,,,,,,,
"C-4 GULFSTREAM",729,2184868,1819118,1801918,,,,,,,,,,,,,,,,,,,,,
"C-47 SKYTRAIN",719,,,136407,757137,,,,,,,,,,,,,,,,,,,,
"C-5 RERP",1326,,,,,,,,,,,,,,839399.22,0,,,,,,,,,
"C-5A",1348,,,,,,201040,,,,,,,,,,,,,,,,,,
"C-9 SKYTRAIN II",724,42662620,51867358,24241935,800876,417402,,,,,,,,,,,,,,,,,,,
"C/MH-53E",16,,,,,,,11017401.1803,44827982.8387,82668923.445,48032497.3237,3394948.9072,10967776.2344,18698436.5,-87565.69,246998,247113.7031,252533.7632,247355,250015.9468,,,,,
"C130-J",631,,,,,1618913,19944732,91004976,23192242,12738758.7675,17436214.0449,12686262.0967,6168515.0087,11747987.3491,36693352.82,66826633,70006397.3014,80880643.2812,107493301.3058,121672664.9208,136501807.8237,161202963.7324,164958866.8361,83030074.6256,58363813.0342
"C9B COMMERCIAL ACFT",775,,,710182,579988,,,,,,,,,,,,,,,,,,,,
"CAC2S INC 1",2153,,,,,,,,,,,,,,,,,75000,-15261.1602,-20529.8,,,,,
"CAINS GROUND SUPPORT EQUI",970,4913363,366317,62918,122070,,,,,,,,,,,,,,,,,,,,
"CALIBER .50 AMMO ALL TYPE",363,4350000,,,,,,,,,,,,,,,,,,,,,,,
