"PlatformPortfolio","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",9845507148,8734976255,9362781172,9408856718,8913642151,8530188595,8902245942,10952270900,12620569033,11238262578,8761625313,7873426912.6291,9428980429.7251,14246046297.74,14067748613.1635,16408814790.4299,18017233035.1268,19716437698.6427,23470820263.7706,24486905109.5661,20777161548.3162,24993915685.5436,26033627350.8463,32534318876.1031,21157554905.427,26010588915.6555,29442328156.3766,42783730184.0001,35277862758.9605,41091195769.9622,56638460737.9034,29684101064.4877,36896159094.9539,52786659034.7206,32162083662.16,22066527785.02
"Electronics, Comms, & Sensors",7596659894,6857449733,7007143719,5371446016,5949776081,4988444486,4443405928,5462882649,5880479597.07,6924265171,6575625378.7397,5743759210.4297,7166613394.8302,7907048109.7339,9779610861.7269,9827454629.9293,11778838774.8369,14034876115.0913,14193971484.5345,13895498098.6057,14454008004.0159,15100503025.0901,13708493313.2074,12403650718.4226,11691388304.7249,11660815511.504,12341069956.982,12784421257.8799,13122936075.5069,15086726447.4958,15925901441.8149,14187710740.8425,15785216806.4256,16680339147.4871,17296727584.19,6675384529.69
"Facilities and Construction",3490219387.56,4747984868,4241534785,4043345362,6683153629.16,5385169601,5854810223,6437180234,6240578537.02,7248814660.85,5272048928.8593,6211171864.2288,6162968262.9022,7761429186.4927,6210379233.3369,7188130934.3992,7878685445.3705,8706066044.144,10981882824.5635,11881816019.2997,11728432205.8337,11553951673.0486,10517710706.0635,8664210188.4388,9338056029.21,8546013575.3695,9198011878.7597,8972838519.8775,10244817106.264,11621919263.333,15292548733.5267,13063516753.7457,13799942654.5837,16762448718.1882,18474473083.0045,5914123556.68
"Land Vehicles",117842000,123549889,174336236,95995364,1332201432,112672739,118071912,173353826,144364456,245031927,273490486,380130781,738750533,493945779.7969,978108415.281,1175625887.445,1325546673.1697,4827858192.982,9660511935.6484,3265308920.7498,3824480191.978,3707641097.2612,2112769130.1197,534947701.1397,505578197.8576,385991644.2034,583357333.2972,387787572.1053,601002495.4925,655248797.8125,831036678.1228,1017711996.0144,1043965182.4338,1151328890.5943,1423272382.2832,634639053.94
"Missile Defense",1537947000,1178364054,1143131913,1324178812,1155397737,1261613903,1232932704,1648126889,1581953225,1234527060,617147940,471485160,570635098,771050128,1345768755,1270847130.88,1737043845.889,2022881039.4175,1330949888.1085,1697050135.4344,1868717023.9371,1356142160.6198,1107691777.9459,956347031.4801,749167838.79,361203711.3748,404292864.7068,490110729.6058,256267426.8102,369502208.8166,869546370.9401,748629966.05,555417311.4,518221151.2745,481613754.4,537347628.09
"Ordnance and Missiles",6282067000,6038593004,5738141342,4492279407,4762297664,3634884893,3297953271,3586526871,4541759212,4713311299,2708850682.375,2486594541.22,2963447607.2734,4280196753.5508,4085078793.8625,3910139186.6,4516699563.8523,4926700519.6711,4617211541.1218,4467031304.7309,3959566503.9235,4338219101.0791,4850378466.7291,4649454548.6623,5180263533.0202,5846526477.0637,5877876586.6245,6617737576.6558,7511351576.3053,9135121012.0196,9432002427.6723,7693284346.4787,7450077734.2689,8677742034.1519,9728405488.88,4247349141.74
"Other Products",429645000,445416115,331694559,337307503,379156920,332262362,346500989,553875800,480793038,550544046,374593742,476084506,502905325.93,837821123.2103,1214805406.1447,1632008527.4766,1735556620.7362,1907301540.585,1185544805.5123,1590143500.5527,1496503153.2173,1552807680.6036,1252099031.9146,1161082488.8756,1002061788.9013,728777761.6907,796680095.5589,688592758.5206,926115020.0482,861686483.0258,815194878.521,980836142.3382,891450672.5873,1373654732.9847,1574908676.7718,690420448.81
"Other R&D and Knowledge Based",2279551381,2379347229,2628615158,2459184408,2769625494,2978813117,3065232539,4043547424,4174692846,5466533849.2,4889491820.9853,4686817580.3836,5862493768.5523,5691154554.8071,5817537966.5187,7101508104.6045,7278566538.0995,8487381750.5371,8745970599.2781,9930456381.3355,10422829935.0726,10513342613.8526,9704586301.4683,8499130220.2833,9456563053.1445,9104169279.5511,9383958348.1866,9438538348.7832,10408087513.3617,10889881245.3778,11620017550.8709,13587483698.5426,14846454842.4433,16681820070.7643,17734823184.5891,7287631677.95
"Other Services",2203183184,2272812985,2174389345,1273972658,1873084575,2333703376,1695449311,1943834105,1679139510,1743933552,1737477086,1568833919,1843064088.0938,2277702628.8414,2299498904.8935,2630308181.7373,3394430234.9719,3210535213.4632,2759560654.2552,3026791897.7168,2861984056.1941,3059337690.5861,2804894238.1737,2762414295.0253,2602250779.3904,2381426979.3873,2644979319.3996,2999146135.3695,3202534299.6358,3522978031.7182,3105180772.1432,3116277894.0183,3203514978.7528,3623944081.8725,3473528910.942,1428505365.56
"Ships & Submarines",10522521493,9324205712,8353975661,9347877210,7248169983,9484538438,7775939793,10476108627,11302605837,10411264984,9152428657,12161819588,12393898433.9298,12213194879.0506,14456188433.2681,13481692276.8459,16213340089.7949,16605997153.1747,18517405025.1443,20342946070.0927,15965855491.4292,26807822297.9515,21909093110.3329,21353594262.5979,21998883677.7849,19398395703.9341,22212282767.1485,24220953441.582,26475612129.6516,28061539305.4378,35204095176.5566,27627379656.385,29345132771.6431,33367224686.0951,31905821912.5409,18656916360.35
"Space Systems",111830000,143370000,64731723,91006504,186251487,378726635,203762534,270955854,157390436,341987778,113222498,148811754,119688505,376943158.71,565574117.22,957453408.76,1047308539.1797,1326292983.1244,963684021.6229,1169162804.3443,730779193.1186,1096046235.0507,611423800.3671,860166723.855,442792804.0052,314935080.78,325836721.4849,228965842.2299,275823456.0692,531924293.4918,606064059.7368,82231384.2135,174678382.864,203585165.3616,290992440.42,154837923.18
"Unlabeled",,,,,0,,363498,180311,0,,22446,311148.83,41107091.14,2995459.4296,38350,415117,6847111.0876,-2427,0,48177.3391,-1374,-4965.14,,,,30000,1738.23,32000,20204.71,0,10000,10000,162046.2,476853.46,531932.98,101181
