"PricingUCA.sum","PricingUCA","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Cost or Effort-Based","Other CB",4893879577,5247642300,6034529157.5,11036590394.19,11814229205.265,12012830425.11,14160856969.0703,13522026849.1259,13076178556.5312,12166737110.5226,12719116876.0065,11731028731.6661,12386982695.817,11654929430.9434,11609096598.1114,11356943354.2953,11552405193.8073,12704173142.4661,11438769325.7464,13191192427.3741,9281246848.5405,10168413662.15,10609983284.8786,9689399758.3349,9830946550.71,4624596000.9
"Cost or Effort-Based","T&M/LH/FPLOE",1388311540,1205653273,1350891201.4375,1612933493.7125,1869714402.0256,1586758494.9955,2372763287.3138,2295098778.7194,2450489993.0999,2248641294.0162,1761819950.7535,1365370308.5064,1044249468.4721,394945305.2471,223820255.7404,155682635.782,208251535.0898,332243570.0744,302079907.6173,377222399.9235,482118186.7506,410120154.3307,583232431.521,752940203.2038,729134236.39,339969970.51
"Crosscutting","Combination/Other",0,,4989000,649938,155560282.3673,66768688.5799,100529984.7893,950838435.3205,1790896688.364,2593915809.1372,13629608.6499,3821405.853,-6897029.2366,-4840438.2398,-2090443.11,-107030.09,0,-227589.6944,-117075.1219,0,0,0,,-30000,0,0
"Crosscutting","UCA",7415445757,6360434328,5098764976,6062514763.81,5127190796.77,3875435763.34,4544704772.0945,7491149115.4028,4553835487.5655,5902120247.4876,6861419393.825,3763626969.1864,11901099270.9079,10161871589.0597,3311400101.702,5506187410.58,14992948300.979,26690546655.8367,20845685290.5957,15286428014.6681,37039127510.9809,11113141473.5537,18908765461.4543,15383277994.4694,14153231885.21,15090975580.94
"Crosscutting",,1166850638,82835621,132505141.12,173364211.5813,192512682.8208,192731041.0513,322708897.3631,254884023.327,1482632191.2263,1944978233.5977,1022023152.1466,1532275962.4939,3135580971.5504,-9424980.1096,24035.2091,61834948.1198,300391759.63,13684301.8917,185924.54,-5514.26,0,0,0,-39324.9492,0,0
"Fixed-Price","FFP",18666033632.0627,20482891006.7905,23701901826.9351,26869733763.3325,24689684566.3315,20358507087.5821,27153691810.5655,29506357559.7263,29800810167.1054,31014219924.1275,32325515851.7221,35318890879.1547,35037696437.0789,33183789950.2639,27544697154.2406,27343613367.2082,32631054887.7718,33577834902.895,35776875600.6171,42895768605.1795,43207276579.2153,34986654895.3672,32325606569.3088,39681121088.8237,31672719721.4,13693734699.4
"Fixed-Price","Other FP",817726948,1697895863,1870002345,1773360648.5,2472216171.7062,7652695830.9109,3809886486.05,3745671095.792,7648648004.814,4045040905.5168,2178843488.4214,1218120036.4253,555827993.1959,502947661.5251,373379642.5277,178419368.6129,181927169.9613,227614171.4943,166826577.0677,231971459.5879,447463677.0415,449760198.3042,346912601.361,445506149.2168,358271614.06,248285621.4
"Incentive","Incentive",1465205021,1578710803.09,1245185004,2226380697.6597,2049154549.5,2150070726.7395,2471459928.0133,3720059827.3514,7273887256.039,7356088940.6222,8764584629.1417,17326800249.4023,15730751950.6277,18999106997.0411,16071516995.0607,18394035596.2425,16754567266.2306,14067132547.5604,17120267809.2222,19649260163.7457,16668629395.2236,17625734082.9266,14567731883.586,33360045896.3436,17112981726.56,8297357459.94
