"ContractingCustomer","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Defense",35413855298.53,36119460735.8791,39025889499.1626,49245020025.2512,47802126579.3272,47282598635.3366,53944206261.5134,60467600005.3777,66727621101.0344,65846150267.5325,63613543287.0088,70408554454.7847,78210561296.4113,73620995818.1291,58243299913.6406,61740614994.547,75458902467.4678,86354420046.1047,83993330725.3166,89880343067.9153,105289848698.689,72293274457.9014,75202477351.0966,97082296848.0904,71232302540.9,41396653735.52
"DHS",1073.64,2668996.32,2203105,272599402.93,350545284.8145,349665784.1219,460470584.8599,466876720.6466,680778335.4891,674154524.4679,764742279.289,730510434.226,541938734.5603,520981666.6676,496879604.1594,538665255.5322,486743262.69,605690081.184,643417564.9709,696852734.7492,684271095.855,952938455.4164,622522336.2126,683807767.3461,663212169.2,228529335.46
"Energy",1594000,487000,517370,277481,1504771,5743102.2229,3216465.8476,525246.519,2902620.8621,557272.9484,292299.8804,1827186.1602,6923421.1617,8239355.79,4743944.69,8880818.29,6383794.2,5237759.3233,7615198.1295,42856435.0494,4850553.9649,50970445.2129,43954683.8794,7139378.16,8430011.3,2931405.68
"GSA",469000,1326000,1020627.25,1991945.3438,1057418.6159,340741.5563,1727706.8638,3229722.856,4981935.2203,36998413.422,82399706.6983,105752057.083,47008792.1801,65130704.39,61212086.62,38012240.01,80602798.35,74578383.5951,68238347.5087,79699526.8811,90740434.3213,87612982.9721,81181580.2056,122669683.1599,139472012.75,53656261.13
"HHS",,35000,,26000,4759603.7096,1979699.9711,811133.0856,243511.1997,251139.3795,75932.0102,110632.6125,224389.271,254048.96,74918.11,47278.2,325941.31,308682.73,151222.35,207653.3598,89904.0101,483906.2,136531.1,701608.75,638948.29,1127256.97,12213.79
"NASA",77180524.9786,91395386.1637,71693491.55,59383405.9502,101564229.9554,114593816.3498,69484370.596,84921314.0657,82393328.6702,98049229.4221,140452879.4619,92154328.3037,95237248.2709,108716748.458,84836609.1144,100725702.8319,114637122.6094,174602381.1302,290386887.3413,322758019.3692,356572321.081,348076461.2865,242808139.2453,172369167.3108,183984062.52,74140463.34
"Other Agencies",305557215.9141,335133076.5177,296196452.03,156894742.2297,95372624.5043,90539896.1292,136398908.7143,151564805.8527,203166520.1777,287609097.7797,222648132.5153,199685144.1926,199210599.4656,187954503.8097,96721644.1476,187483561.7525,162301872.5226,167252597.6553,337826788.664,320651239.4216,409452248.571,738558278.1598,934826542.474,969404594.4705,1385459183.78,467226533.66
"State and IAP",14595000,105028000,40918000,18463809.8811,11558038.5793,50276583.1214,319337749.0563,309511062.9204,373372213.7781,326394939.831,822080095.0877,718724999.9775,679260708.2775,358646750.3775,141627377.5499,380832446.6469,309940352.15,228748872.1195,306945552.74,287824825.7135,289303226.9296,280783994.6131,211289381.3313,272573175.0672,234382637.29,71474174.73
"VA",201000,529000,330107,871098.2,1774106.2802,59799.5,948954.7229,1613295.3275,1911150.1339,1752787.614,683638.1128,2501548.6894,4896909.1259,12585049.999,2475881.36,1068689.8302,1725760.75,2320359.0621,2604642.2537,761803.1094,339712.1401,1472859.9702,2470608.9149,1322203.5481,8915859.62,295209.78
