"SimpleArea","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Products",,,51898253.625,177977149.89,541565390.1627,581611108.152,754585155.5593,769067490.5231,987029156.7482,910079298.8625,786361101.3975,860013990.0325,590824641.4519,111810797.4877,104366333.9605,27280479.1511,275408009.8016,328525108.5223,416675525.7689,295281995.168,-13516485.03
"R&D",18004428,25605219,45326698,94334977.28,107983693.67,134773849.82,126900806.5748,59940160.3681,72112616.8846,43638408.4538,21760356.74,13178964.7718,-2816375.96,-1137224.555,-251181.57,-631769.92,50817512,551014.69,,438.12,0
"Services",57606904,49730914,254878597,643701356.4069,552538379.5846,709165361.0026,627350488.0411,819584143.7304,672491545.1156,651784436.8929,516749715.6664,433740056.2962,649906420.0727,748354284.4185,730941507.9367,886264108.4109,772785936.5945,639831045.0375,535889295.7596,477395766.7811,342533396.71
