"Vehicle.AwardTask","Vehicle.sum7","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Award","Definitive",3913861081.4409,5078211812.84,4656495266.73,5389864409.84,7811266907.92,9418389305.51,9779309837.52,9811666943.78,11105939782.2,11348519836.02,11876897295.9558,10770495483.5162,10010253547.7526,9099832909.4629,8728619912.8649,8800531952.8513,8778257092.753,8764500998.9072,9114919242.2,9016775126.56,9396678222.01,9382206528.27,9086840529.21,9376529921.85,8667217479.03,3700685679.63
"Award","Pur. Order",681321241.8852,564430170.37,455493901.16,298523901.72,196135382.37,304567965.9,262562361.15,224711639.38,269578842.61,213776940.34,217964044.7485,186428263.0196,163169663.0579,188274449.0706,205291034.747,186686813.4452,197395455.4894,186428014.2143,202315375.32,153800930.97,163008877.79,167401681.91,200910400.01,210106763.85,191525143.37,45768346.22
"Task Order","BOA or BPA",804000,2489633.6139,1544867.5,15681505.9825,31549214.3927,96557099.2616,122009435.8313,182742634.6844,267822023.3887,249718412.9264,258027301.233,213536669.7672,206416721.9604,167112754.3646,162186425.6079,161998974.0819,170578923.1005,201559922.8285,196522646.9647,239720042.913,258185444.6487,243465487.6617,238219845.5361,305427536.5886,249639915.55,78069397.95
"Task Order","FSS or GWAC",192515671.7898,249514504.9236,351928893.683,316851295.9028,407928908.9798,380052624.5538,370623206.402,352973273.9899,381199847.1049,346454193.2927,331690648.7011,268813048.3276,215341911.0071,205928535.0798,197932539.8146,172753735.1356,153760181.4146,156863293.0975,178259458.8348,206340859.523,188221534.1469,199364732.2478,193299512.7528,247826480.598,276460333.95,92353226.8
"Task Order","Multi-Awd.",73760259,45320902,50293387.4883,76703870.375,85718746.3933,125269298.274,151181706.0397,214180484.1425,255358702.5529,307928567.8932,493077699.756,869108407.3687,1302904976.6354,1222531225.6526,1753275324.503,1815601328.7111,1922156967.0738,1807257978.7425,2084721369.5507,2061449657.4078,2516930374.9761,2237075717.2303,2369745122.3366,2116400350.6434,1928437430.3,806534848.07
"Task Order","Single-Awd.",124390663.8936,144404840.2813,132069376.5304,408762353.4122,2168053388.4979,2201293656.5295,2254806932.7534,2435702086.7497,2739716644.6164,2853528337.7218,2954917246.3072,3082877417.429,3255342315.1159,3335427840.6744,3965613350.5087,4736878469.9335,6048949382.6828,6263545848.9871,6264517833.7282,6051921078.067,6416031126.0498,6942141734.5207,7834517719.6248,8689820575.6493,8717296588.96,3728588341.74
"Task Order","Unlbd. IDV",60513664.9786,213473806.6093,94784086.5091,63370715.2838,199398443.3965,74658664.2919,35402264.0189,9298009.1798,16095991.1469,16667071.5556,10899120.3774,1496479.6989,130107,-134012.39,,,,-6368.1601,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,0,31174.99,,0,2823842.2,548746.58
