"SimpleArea","2009","2010","2011","2012","2013","2014","2015","2016"
"Products",,,0,0,0,0,0,
"Services",21243078.82,120885653.1875,99984351.8536,86452724.4375,90927100.23,-16461048,-32848483.39,0
