fiscal_year,contractingcustomer,contractingsubcustomer,fundingagency,fundingsubagency,productserviceorRndArea,PlatformPortfolio,isforeignownedandlocated,isforeigngovernment,isinternationalorganization,fundedbyforeignentity,PlaceCountryText,PlaceIsInternational,OriginIsInternational,OriginCountryText,VendorIsInternational,VendorCountryText,SumOfnumberOfActions,SumOfobligatedAmount
2009,Defense,Other DoD,Defense,MDA,ICT,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,0,UNITED STATES,1,ISRAEL,1,59900.0000
2007,Defense,Army,Defense,Army,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,6,145354.6875
2004,Defense,Army,Defense,Army,PAMS,Other R&D and Knowledge Based,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,425000.0000
2006,Defense,Navy,Defense,Navy,Aircraft,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,,1,,1,-500.0000
2007,Defense,Army,Defense,Army,Electronics & Communications,Missile Defense,0,0,0,,ISRAEL,1,0,UNITED STATES,1,,1,0.0000
2012,Defense,Army,Defense,Navy,Basic Research (6.1),Other R&D and Knowledge Based,1,0,0,,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,326120.0000
2017,Defense,DLA,Defense,DLA,Engines & Power Plants,Aircraft,0,0,0,X,,1,1,,1,ISRAEL,0,0.0000
2017,Defense,Army,Defense,Army,Launchers & Munitions,Ordnance and Missiles,1,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,430860.0000
2013,State and IAP,USAID,State and IAP,USAID,ERS,Other Services,0,0,0,X,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,4941.4500
2016,State and IAP,State,State and IAP,State,PAMS,Other R&D and Knowledge Based,0,0,0,X,ISRAEL,1,1,ISRAEL,1,JORDAN,1,64589.0000
2016,State and IAP,State,State and IAP,State,PAMS,Other Services,0,0,0,X,ISRAEL,1,1,JORDAN,0,UNITED STATES,1,30870.0000
2016,State and IAP,USAID,State and IAP,USAID,PAMS,Other R&D and Knowledge Based,1,0,1,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,2,-3942.7100
2017,Defense,Army,Defense,Army,FRS&C,Facilities and Construction,0,0,0,A,ISRAEL,1,1,ISRAEL,0,UNITED STATES,58,83829516.9414
2017,State and IAP,State,State and IAP,State,MED,Other Services,0,0,0,X,ISRAEL,1,1,ISRAEL,1,ISRAEL,8,169429.3419
2011,Other Agencies,BROADCASTING BOARD OF GOVERNORS,Other Agencies,BROADCASTING BOARD OF GOVERNORS,ICT,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,1,189008.2188
2005,State and IAP,State,State and IAP,State,ERS,"Electronics, Comms, & Sensors",0,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,16589.0000
2007,Defense,Army,Defense,Army,Other,Other Products,0,0,0,,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,1,1500.0000
2013,Defense,DLA,Defense,Air Force,Aircraft,Aircraft,1,0,1,,ISRAEL,1,1,ISRAEL,1,ISRAEL,3,0.0000
2014,Defense,Army,Defense,Army,Other,Ordnance and Missiles,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,2,167513.8500
2015,State and IAP,State,State and IAP,State,FRS&C,Facilities and Construction,0,0,0,X,ISRAEL,1,0,UNITED STATES,0,UNITED STATES,15,57690263.6499
2008,Defense,Air Force,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",1,0,0,,ISRAEL,1,1,ISRAEL,0,UNITED STATES,2,60352.0000
2001,GSA,GSA,GSA,GSA,FRS&C,Facilities and Construction,0,0,0,,ISRAEL,1,1,,0,UNITED STATES,2,-22338.0000
2007,HHS,HHS,HHS,HHS,ERS,Other Services,0,0,0,,UNITED STATES,0,0,UNITED STATES,1,ISRAEL,1,7700.0000
2010,Defense,Air Force,Defense,Air Force,Other,Aircraft,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,29180.0000
2008,Defense,Army,Defense,Army,PAMS,Other Services,0,0,0,,UNITED STATES,0,1,ISRAEL,0,UNITED STATES,1,0.0000
2007,Defense,DLA,Defense,DLA,Ground Vehicles,Land Vehicles,0,0,0,,ISRAEL,1,1,ISRAEL,1,,1,9524.0000
