"","Fiscal.Year","NAICS_Code","Action.Obligation","Obligation.2016","vendor_count","hh_index","pct_sum_check","top4","top8","top12","top20","top50"
"1",1987-01-01,NA,-171000,NA,1,0,NA,0,0,0,0,0
"2",1988-01-01,NA,7652670,NA,38,791.419943048277,NA,0.452775614640116,0.697074201802203,0.84903771276004,0.952608744020469,1
"3",1989-01-01,NA,NA,NA,1471,0,NA,0,0,0,0,0
"4",1990-01-01,NA,NA,NA,33758,0,NA,0,0,0,0,0
"5",1991-01-01,NA,136154193844,230.887220356113,35621,133.847347433208,NA,0.18134962599753,0.269441252515864,0.331547035969334,0.408299719405924,0.531001371088007
"6",1992-01-01,NA,123406660550,201.677824072561,40194,117.985546887185,NA,0.155121040552269,0.25394507239193,0.33226991426149,0.414079117342121,0.539500213106021
"7",1993-01-01,NA,121373382142,192.656162130159,39719,134.983992169652,NA,0.176427176101507,0.269262376565944,0.330148199705292,0.410988580790243,0.543743688804991
"8",1994-01-01,NA,117161902725,182.608950631234,32002,165.078902741962,NA,0.205411528245409,0.294639161038798,0.347242129519461,0.414353988447666,0.525865651266518
"9",1995-01-01,NA,116592014868,176.60105251136,33592,146.779727737379,NA,0.195161631630772,0.27566403783687,0.334220755042557,0.407176282683177,0.514924666259645
"10",1996-01-01,NA,118448779098,175.740028335312,37355,205.596082904608,NA,0.231735212382855,0.313668110650079,0.367781364114514,0.427208644757303,0.520899821057875
"11",1997-01-01,NA,115982151879,168.603215407763,34792,213.294828169516,NA,0.249473182799415,0.328131266098368,0.376604423660535,0.432508000350459,0.528020866789306
"12",1998-01-01,NA,116965882167,168.563023731085,32454,265.378287992535,NA,0.284033942848331,0.35869966421081,0.406899427546864,0.463246233048711,0.548567553827232
"13",1999-01-01,NA,122185036488,173.854633591349,32519,260.354669717682,NA,0.285763528315433,0.353088107305764,0.39845310107627,0.444812796659574,0.536493983355653
"14",2000-01-01,112120,116785,0.000162156345459595,1,10000,1,1,1,1,1,1
"15",2000-01-01,211111,155733,0.000216235767842266,1,10000,1,1,1,1,1,1
"16",2000-01-01,221111,5357804,0.00743932796445432,4,3358.93758081032,1,1,1,1,1,1
"17",2000-01-01,221112,2566880,0.00356412107747848,2,8317.54068898439,1,1,1,1,1,1
"18",2000-01-01,221121,33665307,0.0467443862815885,3,8567.32938816233,1,1,1,1,1,1
"19",2000-01-01,221122,51799098,0.0719232129963899,16,1508.73132753056,1,0.692008324160394,0.911909103127626,0.994827168612087,1,1
"20",2000-01-01,221210,10137338,0.0140757261871702,14,1546.28973701289,1,0.681505637870613,0.925034264419318,0.987561231558028,1,1
"21",2000-01-01,221310,3363303,0.004669956956401,8,3998.10996948639,NA,0.982927199838968,1,1,1,1
"22",2000-01-01,221320,6129082,0.00851024993057484,7,2184.33767912725,1,0.868124622904376,1,1,1,1
"23",2000-01-01,221330,-1959.22,-2.72038322688142e-06,1,0,NA,0,0,0,0,0
"24",2000-01-01,236220,0,0,1,0,NA,0,0,0,0,0
"25",2000-01-01,238210,60679,8.42529852818662e-05,1,10000,1,1,1,1,1,1
"26",2000-01-01,238350,0,0,1,0,NA,0,0,0,0,0
"27",2000-01-01,312111,46420,6.4454318244932e-05,1,10000,1,1,1,1,1,1
"28",2000-01-01,312112,2000,2.77700638711469e-06,1,10000,1,1,1,1,1,1
"29",2000-01-01,314110,7971231,0.0110680797000833,16,1685.90108198096,1,0.713831151048063,0.903555046893008,0.977177928979853,1,1
"30",2000-01-01,314999,368598,0.00051179950013885,2,10000,NA,1,1,1,1,1
"31",2000-01-01,321920,245188,0.000340444321021938,1,10000,1,1,1,1,1,1
"32",2000-01-01,321992,25161,3.49361288530964e-05,1,10000,1,1,1,1,1,1
"33",2000-01-01,321999,4779,6.63565676201055e-06,1,10000,1,1,1,1,1,1
"34",2000-01-01,322121,93322,0.000129577895029159,2,6010.9141787927,1,1,1,1,1,1
"35",2000-01-01,322211,143516,0.000199272424326576,1,10000,1,1,1,1,1,1
"36",2000-01-01,323111,27900,3.87392391002499e-05,1,10000,1,1,1,1,1,1
"37",2000-01-01,323113,66905,9.28978061649542e-05,1,10000,1,1,1,1,1,1
"38",2000-01-01,323117,3078091,0.00427393918356012,4,5768.92676643554,1,1,1,1,1,1
"39",2000-01-01,324121,0,0,1,0,NA,0,0,0,0,0
"40",2000-01-01,324122,106994,0.000148561510691475,1,10000,1,1,1,1,1,1
"41",2000-01-01,324199,0,0,1,0,NA,0,0,0,0,0
"42",2000-01-01,325120,26062883,0.0361883962788114,23,1166.43524961681,NA,0.603275507941709,0.841573027900586,0.960399309035253,1,1
"43",2000-01-01,325412,2422787,0.00336404748680922,11,2752.33796073459,1,0.785599807164229,0.935753741455605,1,1,1
"44",2000-01-01,325413,249326,0.000346189947236879,2,9054.49897460586,1,1,1,1,1,1
"45",2000-01-01,325510,775648,0.00107698972507637,2,9351.10289835319,1,1,1,1,1,1
"46",2000-01-01,325520,58168,8.07664537628437e-05,1,10000,1,1,1,1,1,1
"47",2000-01-01,325611,608285,0.00084460566509303,2,6618.27031315267,1,1,1,1,1,1
"48",2000-01-01,325612,35700,4.95695640099972e-05,1,10000,1,1,1,1,1,1
"49",2000-01-01,325998,424604,0.000589564009997223,6,2328.07625793115,1,0.827100074422285,1,1,1,1
"50",2000-01-01,326111,199566,0.000277098028325465,1,10000,1,1,1,1,1,1
"51",2000-01-01,326113,87504,0.000121499583449042,1,10000,1,1,1,1,1,1
"52",2000-01-01,326191,0,0,1,0,NA,0,0,0,0,0
"53",2000-01-01,326199,3818398,0.00530185781727298,5,7611.74323363095,1,0.986015077527277,1,1,1,1
"54",2000-01-01,326211,467178,0.000648678144959733,2,5103.38543946853,1,1,1,1,1,1
"55",2000-01-01,327215,0,0,1,0,NA,0,0,0,0,0
"56",2000-01-01,327332,192853,0.000267777006387115,1,10000,1,1,1,1,1,1
"57",2000-01-01,327993,223870,0.000310844209941683,2,7403.35322016248,1,1,1,1,1,1
"58",2000-01-01,331315,0,0,1,0,NA,0,0,0,0,0
"59",2000-01-01,332111,0,0,1,0,NA,0,0,0,0,0
"60",2000-01-01,332311,13176352,0.0182954068314357,19,1330.24382000863,1,0.656770933259828,0.864651688115193,0.962913559079175,1,1
"61",2000-01-01,332312,712599,0.000989445987225771,2,7279.15452588689,1,1,1,1,1,1
"62",2000-01-01,332323,748618,0.00103945848375451,4,3578.29798889559,1,1,1,1,1,1
"63",2000-01-01,332410,580799288,0.806441666203832,1,10000,1,1,1,1,1,1
"64",2000-01-01,332420,1739726,0.00241561510691475,6,2577.8099060609,1,0.951994739401492,1,1,1,1
"65",2000-01-01,332431,128332,0.000178189391835601,2,6151.57514125829,1,1,1,1,1,1
"66",2000-01-01,332439,1597687,0.00221839350180505,11,1573.94791058299,1,0.69327847068919,0.93543478791528,1,1,1
"67",2000-01-01,332510,49541,6.87878367120244e-05,3,6167.29306814274,NA,1,1,1,1,1
"68",2000-01-01,332722,37253090,0.0517260344348792,5,10000,NA,1,1,1,1,1
"69",2000-01-01,332911,65860,9.14468203276868e-05,1,10000,1,1,1,1,1,1
"70",2000-01-01,332912,7766421,0.0107837003610108,3,10000,NA,1,1,1,1,1
"71",2000-01-01,332913,140185,0.000194647320188836,1,10000,1,1,1,1,1,1
"72",2000-01-01,332991,9644825,0.0133918703138017,10,10000,NA,1,1,1,1,1
"73",2000-01-01,332992,33522179,0.046545652596501,2,6360.34095860054,1,1,1,1,1,1
"74",2000-01-01,332993,34181450,0.0474610524854207,5,4336.59362987361,NA,1,1,1,1,1
"75",2000-01-01,332996,88889,0.000123422660372119,3,10000,NA,1,1,1,1,1
"76",2000-01-01,332999,12412174,0.0172343432379894,6,6346.34081912933,NA,1,1,1,1,1
"77",2000-01-01,333112,25755,3.57608997500694e-05,1,10000,1,1,1,1,1,1
"78",2000-01-01,333120,6308563,0.00875945987225771,14,2281.95355268113,1,0.814404643339537,0.958488644719883,0.99157066355682,1,1
"79",2000-01-01,333314,6310624,0.00876232157733963,7,2730.33304055142,1,0.934953500636387,1,1,1,1
"80",2000-01-01,333414,473849,0.000657940849763954,2,10000,NA,1,1,1,1,1
"81",2000-01-01,333415,3159807,0.00438740211052485,8,2095.68527233773,1,0.790344790045721,1,1,1,1
