"","StartFY","Ceil.Simple","Dur.Simple","ContractCount","Action.Obligation","metric","Quantile","pCRai"
"1",2007,"0k - <100k","(~1 year,~2 years]",30465,1544431439.1332,"Contracts within Period","50th Percentile",0
"2",2007,"0k - <100k","(~2 years+]",7046,1977014362.3252,"Contracts within Period","50th Percentile",0
"3",2007,"0k - <100k","<~1 year",799435,15310345279.4389,"Contracts within Period","50th Percentile",0
"4",2007,"100k - <10m","(~1 year,~2 years]",22075,29122221394.3167,"Contracts within Period","50th Percentile",0
"5",2007,"100k - <10m","(~2 years+]",5717,10843574974.7633,"Contracts within Period","50th Percentile",0
"6",2007,"100k - <10m","<~1 year",86281,58810468779.617,"Contracts within Period","50th Percentile",0
"7",2007,"10m+","(~1 year,~2 years]",1186,50474588423.5698,"Contracts within Period","50th Percentile",0
"8",2007,"10m+","(~2 years+]",706,44800935453.8877,"Contracts within Period","50th Percentile",0
"9",2007,"10m+","<~1 year",1674,40448697061.1124,"Contracts within Period","50th Percentile",0
"10",2008,"0k - <100k","(~1 year,~2 years]",35030,2266221672.107,"Contracts within Period","50th Percentile",0
"11",2008,"0k - <100k","(~2 years+]",6092,618892626.1556,"Contracts within Period","50th Percentile",0
"12",2008,"0k - <100k","<~1 year",846741,15994548650.7544,"Contracts within Period","50th Percentile",0
"13",2008,"100k - <10m","(~1 year,~2 years]",23205,31411082323.4901,"Contracts within Period","50th Percentile",0
"14",2008,"100k - <10m","(~2 years+]",4925,9507391504.3006,"Contracts within Period","50th Percentile",0
"15",2008,"100k - <10m","<~1 year",92643,65358214313.8484,"Contracts within Period","50th Percentile",0
"16",2008,"10m+","(~1 year,~2 years]",1457,63569047630.6706,"Contracts within Period","50th Percentile",0
"17",2008,"10m+","(~2 years+]",698,70245486165.1772,"Contracts within Period","50th Percentile",0
"18",2008,"10m+","<~1 year",1786,54722136760.3663,"Contracts within Period","50th Percentile",0
"19",2009,"0k - <100k","(~1 year,~2 years]",31608,1681044711.8143,"Contracts within Period","50th Percentile",0
"20",2009,"0k - <100k","(~2 years+]",4237,1034769135.8481,"Contracts within Period","50th Percentile",0
"21",2009,"0k - <100k","<~1 year",757602,14298566039.1159,"Contracts within Period","50th Percentile",0
"22",2009,"100k - <10m","(~1 year,~2 years]",22605,30971788121.2408,"Contracts within Period","50th Percentile",0
"23",2009,"100k - <10m","(~2 years+]",5101,9113345808.836,"Contracts within Period","50th Percentile",0
"24",2009,"100k - <10m","<~1 year",93538,63229896369.9518,"Contracts within Period","50th Percentile",0
"25",2009,"10m+","(~1 year,~2 years]",1388,64922294449.3372,"Contracts within Period","50th Percentile",0
"26",2009,"10m+","(~2 years+]",747,62548853170.7377,"Contracts within Period","50th Percentile",0
"27",2009,"10m+","<~1 year",1591,49941164177.5974,"Contracts within Period","50th Percentile",0
"28",2010,"0k - <100k","(~1 year,~2 years]",30593,1797279663.7696,"Contracts within Period","50th Percentile",0
"29",2010,"0k - <100k","(~2 years+]",5109,399717223.3655,"Contracts within Period","50th Percentile",0
"30",2010,"0k - <100k","<~1 year",754598,16635377762.6929,"Contracts within Period","50th Percentile",0
"31",2010,"100k - <10m","(~1 year,~2 years]",22084,31463820232.1992,"Contracts within Period","50th Percentile",0
"32",2010,"100k - <10m","(~2 years+]",5299,9602713363.4923,"Contracts within Period","50th Percentile",0
"33",2010,"100k - <10m","<~1 year",91656,62737184636.9412,"Contracts within Period","50th Percentile",0
"34",2010,"10m+","(~1 year,~2 years]",1335,53606776110.4485,"Contracts within Period","50th Percentile",0
"35",2010,"10m+","(~2 years+]",861,41522833916.6976,"Contracts within Period","50th Percentile",0
"36",2010,"10m+","<~1 year",1345,51851693192.2024,"Contracts within Period","50th Percentile",0
"37",2011,"0k - <100k","(~1 year,~2 years]",33148,1334091957.8587,"Contracts within Period","50th Percentile",0
"38",2011,"0k - <100k","(~2 years+]",6575,399587035.6415,"Contracts within Period","50th Percentile",0
"39",2011,"0k - <100k","<~1 year",720312,13640022132.3991,"Contracts within Period","50th Percentile",0
"40",2011,"100k - <10m","(~1 year,~2 years]",24252,32174488768.7305,"Contracts within Period","50th Percentile",0
"41",2011,"100k - <10m","(~2 years+]",5166,9118797004.9505,"Contracts within Period","50th Percentile",0
"42",2011,"100k - <10m","<~1 year",86064,55474372540.5382,"Contracts within Period","50th Percentile",0
"43",2011,"10m+","(~1 year,~2 years]",1550,55818976409.2601,"Contracts within Period","50th Percentile",0
"44",2011,"10m+","(~2 years+]",817,35863998434.9496,"Contracts within Period","50th Percentile",0
"45",2011,"10m+","<~1 year",1168,42824145961.7137,"Contracts within Period","50th Percentile",0
"46",2012,"0k - <100k","(~1 year,~2 years]",31356,2067722050.4115,"Contracts within Period","50th Percentile",0
"47",2012,"0k - <100k","(~2 years+]",6616,181347308.6989,"Contracts within Period","50th Percentile",0
"48",2012,"0k - <100k","<~1 year",684150,12303167282.7849,"Contracts within Period","50th Percentile",0
"49",2012,"100k - <10m","(~1 year,~2 years]",23355,30518360231.14,"Contracts within Period","50th Percentile",0
"50",2012,"100k - <10m","(~2 years+]",4458,7454761848.009,"Contracts within Period","50th Percentile",0
