"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",476412270.09,710467106.271,594752363.0024,468243260.4542,619845076.2174,1038274529.2203,1082178735.4272,1078030816.7025,1037310801.4917,1163763566.5439,2198354978.6605,1694960779.0919,1677520451.5964,1413929072.724,1477448564.1452,1516029370.7288,1506101029.7172,1434360773.0765,1511330934.8767,1385843673.3749,1513795199.6451,1409625872.5827,1902566497.7582,1840231988.105,2067262491.5,522301469.11
"R&D",53413000,74605499.35,139626474,254368576.5313,202344536.8817,481981852.9016,361921603.5258,646783272.5082,655715797.9983,853201137.5186,896691112.0502,440960861.0902,429918438.3883,238915073.5177,159943982.5803,134212369.7274,86330513.0463,95300132.8071,175417449.6562,200080050.7227,265345777.7712,214631551.2351,297927426.118,258252445.4738,182556612.4,66139747.18
"Services (Non-R&D)",1306057560.4018,1892988257.0766,4002358569.0427,5136965112.7039,4901879560.6725,6805164558.0098,7168710286.6193,8536179577.7538,9039355913.1794,11066545049.6362,11172495110.6697,10978275750.7362,11691499380.9371,10323893078.1413,11611808227.9508,11692200722.3893,12069924316.2301,14832975436.9952,13717443795.6686,13863584997.3316,13896333205.6113,13995143849.8074,16012863579.4756,16832843721.2706,17336605040.32,5521280883.91
"Unlabeled",6623149.1794,39737703.7791,41001198.9484,55450445.2922,5224795.32,36415294.2102,68584613.8901,68507644.5228,72097127.3593,15354584.16,984134.4314,-371063.7513,-385965.0246,-127290.95,-263912.47,-47436,-40831.41,,,,,,0,0,0,
