"Vehicle.AwardTask","Vehicle.sum7","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Award","Definitive",619722301.5596,805532956.08,1636469253.98,2349439463.26,2726630200.68,3547703056.63,2742396894.35,3519212320.68,3057991384.24,3877844999.34,4008076614.5325,4243680646.4983,4659995542.8116,3648722266.2392,4778953908.5848,4802150947.6152,4568247344.999,7116620359.6933,5497742065.08,5612749326.97,5196464385.41,5367328555.9,7770450597.04,6744939113.34,6873662723.54,2453079971.65
"Award","Pur. Order",314051528.8799,325728851.13,615173497.99,1522118508.16,349013940.03,586178605.1,580821061.09,597342440.4,654226166.47,786668432.45,860386516.3484,906951730.5066,886049626.3577,776421569.6645,863920812.2434,867196520.49,812312340.185,731733230.4935,758249206.56,629966478.16,616458937.65,615834950.7,732055778.66,761196132.6,703364155.91,162258026.91
"Task Order","BOA or BPA",10839854.3973,42568928.9375,104896944.0313,106558665.3538,158841097.0908,247386132.7172,369951292.4178,367827569.3897,489863094.5466,670176737.0363,847342946.1069,765358589.2153,793310112.6224,633675925.6998,647031862.5679,675176101.8746,741605528.4823,895559352.8358,874524737.7721,747931640.1208,834045326.7606,989412038.6263,1134293815.3092,1259206091.4263,1337973584.86,232168815.99
"Task Order","FSS or GWAC",113974165.861,202393372.4695,278499554.0581,419203418.153,372218322.6728,630972476.5501,717790276.3659,858272144.7179,905145073.4269,849693228.7151,899326177.8317,775467970.0125,865399656.4542,952920943.3545,1159547381.3775,1234851996.6954,1426582474.3303,1333011678.5815,1513115310.3543,1533964083.917,1627223248.537,1632088757.8776,1839622755.4243,1973083144.9884,2149841360.43,625468867.99
"Task Order","Multi-Awd.",37688277.2904,105282559.0023,112958652.9713,135094567.216,795637881.6623,1704404075.0902,2875570212.8968,3493727546.0265,3719979096.1348,5347481720.4474,5595936251.8644,4026395764.1792,4617232708.7508,4211940099.6826,3919292173.795,3768898447.5327,3354832126.3619,3082533081.1777,3636619132.1994,3349245512.9283,2924467530.39,3004947146.0241,3053229269.3769,4257139512.736,4478229446.21,1453030283.74
"Task Order","Single-Awd.",412009613.6872,505616300.8671,747110897.1659,904401217.7683,877946524.6266,1343108483.8821,1263526211.2007,1487996576.2803,1973114722.2296,1562150200.981,2034455630.8162,2397858424.591,1954265616.9331,1752965277.2824,1880359457.2377,1976891517.4176,2753710687.1051,3197228640.097,3123971716.6576,3575674171.8526,4476743136.8425,4009474618.2003,3683892242.1039,3935723284.1584,4042918054.9,1190756738.7
"Task Order","Unlbd. IDV",334220237.9958,730675597.9903,1282629804.7969,478107555.0705,449006002.3291,302083404.3723,131339291.1412,5122713.9929,4160102.9808,4849018.8889,23001198.3117,-1886797.8359,22299041.9674,-36148.49,-168733.6,17229495.22,5024526.12,5950000,-29988.4219,-22492.5195,71617.4375,315206.2969,-186954.5625,50875.6003,-31653.29,
,,,,0,104000,0,,,,,,,,,,,,,0,,0,,0,0,-10000,466471.66,-7040604.78
