"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",13307434816.6693,13449685718.5488,16121081122.2987,19565435463.531,22759921391.6004,24607739330.4269,26492791028.0924,30566619939.7104,32470736985.1652,31098655706.8263,32425946652.9486,28598866920.5852,28364735251.347,24187407652.4206,25569739707.6022,25470704158.1304,27793105903.6184,28949805451.5667,31468600461.4256,33383846770.1047,32842375317.9594,30877902761.649,34313301388.4943,38587932614.5887,41490618840.97,14679107892.48
"R&D",3223051906.3086,3756668272,4391554985,4500679868.32,5046084809.6175,5924120628.8998,5431953907.1822,6858149207.7548,6835342740.2067,6919506191.032,7631910017.2104,7781907446.0351,7249943122.6686,5500238230.4022,6011983364.3665,5491836706.3358,5788819172.8747,6126484480.9038,6912329380.0982,7476587125.7316,7264307341.7361,5917306488.6323,5909167984.2332,4348703030.4778,2659611933.55,871535848.66
"Services (Non-R&D)",17321510995.8259,20211513941.2829,23372167737.6568,27620063514.1974,32076026680.7804,32370828625.7453,33218310239.1535,36783335489.2838,40019374771.7462,41769051543.2632,42332747931.7605,42031790883.0492,39601636662.6807,37195174779.0665,38202751856.9294,38833364713.3,41916014408.3009,44450076097.7642,48726614601.0993,52601951197.4276,57930398572.2788,57468489363.0886,60886218358.9058,64260414051.5553,68108018577.7269,25800325780.74
"Unlabeled",,13342,,0,,,,,0,,,,,0,,,,,,,,,,,,
