"Shiny.VendorSize","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",7923056683.5864,8511306733.0108,11013493575.0932,12960688731.4855,14978690393.1343,15374200231.8564,14931817322.8497,18651309934.4182,18688604936.9991,17414751262.813,18135807293.6042,16725272879.7971,15914894206.5143,13281182964.4114,12543002784.0289,12419487443.5259,13650651203.4848,13293887984.9275,13049751623.5632,14761360985.757,12955232785.4822,11775746462.1417,13271759349.2556,13060817705.1046,14222995897.78,5128912471.51
"Large",12125516219.8483,13604097892.8855,15672600136.877,18672175464.3994,22627129983.4447,23916786426.8075,25142267090.0001,27062632459.202,29929574017.7537,29600126020.9071,29352399622.2987,28414264952.6341,26127339327.0259,22974689726.0443,22907163489.2755,22439955911.7317,24550622356.4853,26835217658.3969,30469805489.3957,31790056038.0419,33988843458.6263,30976871339.8991,33039956436.0629,34595212299.2323,37718078555.92,14234104231.78
"Medium",6829474412.0406,7425930287.9189,7634579520.1819,8917377951.5588,9965679347.433,10906683336.313,11282683217.1057,13093478854.7842,14331919556.9207,15276117171.1639,15304801456.7253,13826559129.371,13140935430.5557,11451203426.6682,12086264140.3396,12552601784.5026,12784100840.2083,13852402874.1803,16328460657.9117,17183591949.6876,18548912066.6018,19243147856.8136,20162373013.8051,21420413804.2383,21040984601.7825,8491272803.95
"Small",6679885867.6759,7343286309.4953,9009017729.6554,10317608314.4225,11296794810.2316,11989648560.7815,13069910174.6845,14903896788.8274,15919778119.8531,16674710792.56,18406487464.6928,18478073219.5211,18794917151.9378,18102709946.0106,21238737918.7598,21224726967.1897,23115187314.0598,23918240568.331,25213537889.5551,27558896752.4065,30582419442.1633,30316406387.0773,32612908316.7648,35758167235.6808,37092733452.1344,12696628166.09
"To Be Labeled",279166983.5,517234890.7209,382288257.5876,526831813.1781,606960586.2414,583001683.5925,545884129.3102,356537874.8567,367785763.8154,497338882.1131,889585568.372,556904000.7654,973500381.7306,834470782.789,874125936.6277,949199346.3714,1149114144.5242,1446045749.9783,1916189471.5149,1953649916.0504,1806075810.9941,1857044568.1957,1999561293.4338,2297395626.0748,2122781822.38,782902291.28
"Unlabeled",14897552.1526,16025159.8003,172824625.5604,291496571.0041,406777761.5133,132368345.7211,170493240.4779,140248724.6605,87792101.7761,324169311.5644,301523196.2265,411491067.5808,264728538.932,238563815.9658,135180659.8666,209934124.4449,248263626.0316,180571194.4207,129799310.6825,214829451.3205,155597668.1066,94481999.2425,22129322.3111,65043026.291,60675022.25,17149557.27
