"Vehicle.AwardTask","Vehicle.sum7","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Award","Definitive",,,,,,,,,,,5049213362.3198,6396508831.6875,10310439668.5,12309057682.8356,12030366946.7929,13881277718.9796,14520987372.6454,15927342768.3595,16970685990.8322,20226436698.4011,19805770809.2739,20483208374.1896,20770014222.8717,22029546394.6721,20911485347.4863,18429757205.7627,20647276036.892,20315067671.432,23989548250.8601,24420690335.0428,28816096362.9484,25219859277.8938,27714527163.4189,17935508858.1896
"Award","Pur. Order",,,,,,,,,,,719904443.2897,934131119.6699,1109312488.8931,1465535681.2297,1356528827.3601,2125309634.579,2133450512.0526,2378242617.7672,3055254538.0198,3063122680.1587,3912162642.4184,3735434532.7937,3544149740.4753,3666022956.1797,3800300581.5949,4009690522.8578,4179303562.4353,4105456246.5091,5835254714.1285,5825098121.1262,4402099208.183,3634260365.1033,3972498908.0841,1868580344.9193
"Task Order","BOA or BPA",,,,,,,,,,,1993137,1401327,58207089,2749985,59846686.6406,4876415.9004,11752279.1528,1121397.0894,493549.6522,844887.6819,62727076.903,447574032.5557,1160214149.4805,1835653054.2556,2579769192.0188,2634446862.4869,2687905378.8067,3372864221.2768,3875415012.0733,4420546982.2413,3852891745.5489,3412932482.3087,3096888559.4819,1443608546.6876
"Task Order","FSS or GWAC",,,,,,,,,,,754562768.6959,797727464.2749,1199055895.623,1646341988.0314,2059522496.5255,2043971681.5205,2388690172.5508,1786456254.0845,1892756032.5517,1989126269.5439,1929487050.6362,2021122032.7888,2289956038.5097,2409712586.7601,2636918524.2021,2603988895.1356,3250925060.7864,3314581017.8987,3809298236.042,4539509639.1816,4708403872.992,4968195144.3098,5210394772.2011,1963273643.9924
"Task Order","Multi-Awd.",,,,,,,,,,,3550751996.9027,3356135286.6499,4177550305.2031,2992681565.3858,2979488079.4296,4067946647.5155,4400147317.7472,3353248832.2267,6908598399.1566,6736125971.6583,7652390551.586,10223207071.1163,10783046734.9791,7471502718.1322,6191330604.0016,5606718673.3868,5300609350.8717,6391681662.4897,7836864748.3983,8884483921.1993,8898922281.6338,10350988558.1908,12703261104.6128,7075897153.4814
"Task Order","Single-Awd.",,,,,,,,,,,6662466336.4641,8819012652.8631,11242947450.6797,16334720956.5469,19248381749.1561,26704675905.0142,31895227244.5253,30647745687.6601,35955348119.3697,38792716619.121,34735405405.3929,36460283313.3692,43802162064.2767,32828572785.7347,31598262447.8065,30118666175.0626,29862462084.1138,33948264854.5483,42459580136.3608,42778913039.6574,42911189455.3941,38878120267.739,46125990041.9662,20847321748.4527
"Task Order","Unlbd. IDV",,,,,,,,,,,171281905,290222801,325706965,158745643,89803775,44588826,38234895.21,31487849.6013,9195700.5799,-3660696.0108,132513685.9225,163812101.7637,202978518.5545,154591075.777,186461939.9846,214380234.6243,3056354.1702,90720420.377,0,,1986.54,832221.2852,850,
,,12519643000,15695318000,13045875903,13880413302,12847588252,11390263666,12233196403,13537514599,14311176237,15695274788,348305,0,0,0,3547750.5508,517343.4189,200329,667000,0,0,0,0,0,0,0,0,0,0,,0,0,,,0
