"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AGM-62 WALLEYE",840,77120,,32150,,,,,,,,,,,,,,,,,,,,,
"AGM-65 MAVERICK",1530,,137029,,72818,,,,,,,,-266740,,,,,,,,,,,,
"AGM-84 HARPOON",863,,,155058,,,,,,,,,,,,,,,,,,,,,
"AGM-88 HARM",859,,,,,,,,,,,-71.7,,,,,,,,,,,,,
"AGM-88E AARGM",1362,,,,,0,,,,,,,,,0,,186062.13,,-184359.4688,,230733.65,398069.3756,-624806.25,150286.8437,-12070
"AH-1 COBRA",101,1038734,1357950,111380,28660,,,,,,,-70215.75,,,,,,-228942,,,,,,,
"AH-1G HUEYCOBRA",109,,,,,,,,,,,-12926.54,,,,,,,,,,,,,
"AH-1J SEA COBRA",750,3370436,2249245,1955174,,,,,,,-3521686.1713,-1839597.5211,,,,,,,,,,,,,
"AH-1W SUPER COBRA",751,,,,,,,,,,-228357.5938,,,,,,,,,,,,,,
"AH-64 APACHE",113,6929977,10626742,7148246,215047,,,-2502.6699,,,-190463.9961,-3179621.3001,-165678.6392,,,,,,,-11558.7402,0,,,,
"AH-64E New Build",2040,,,,,,,,,,,,,,,,825725.8999,2874172.1496,12137178.5514,126065140.6758,91924662.5879,56500124.2342,80125445.5527,24585475.9063,10396615.9922
"AHD",1899,,,,,,,,,,,,,,0,,0,,,,,,,,
"AHE",2054,,,,,,,,,,,,,-2115.45,-46779.71,,,,,,,,,,
"AHJ",2055,,,,,,,,,,,,,,-66168.48,,,,,,,,,,
"AHK",1900,,,,,,,,,,,,-991.86,,,-4429.73,,,,,,,,,
"AHP",1902,,,,,,,,,,,,,,,-987000,,,,,,,,,
"AHW",1904,,,,,,,,,,,,,,,-395065.6,,,,,,,,,
"AIG",2056,,,,,,,,,,,,,,0,,,,,,,,,0,
"AIM-7 SPARROW",831,,,,,,,,,,-4880.27,,,,,,,,,,-29575.7598,-153380.5781,,,
"AIM-9 SIDEWINDER",1913,,,,,,,,,,,-6000,-77574,,,,,,,,,,,,
"AIM-9X",1842,,,,,,,,,,,,,-243835.8281,0,-1419646.37,-8163.77,,,-727329.1719,-2754776.3809,-1715185.5128,-996523.1875,0,
"AIR CARGO MATERIALS HAND",1757,,61591,263948,,,,,,,,,,,,,,,,,,,,,
"AIRBORNE RECON LOW (ARL)",476,,,,,,,,,,-7479013.5273,-1399381,-346.17,-538436.1875,,,,,,,,,,,
"AIRCRAFT TOW MB-2",1563,99413,,,,,,,,,,,,,,,,,,,,,,,
