"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",9323286000,11739429000,7676243996,8759168740,8617785947,6948902416,7740164677,8478068363,8343732268,9060865508,9787416266.4899,12314820668.5352,17217110807.9902,20487361245.5491,23403161233.2938,31068239216.3586,35250393713.2342,32782943104.3572,38861621566.0658,40449713986.7602,36679338484.9967,38609660383.7758,48152075033.0899,39332115725.049,35863879439.4266,33747420537.9701,34900562217.5154,38948829851.0806,51806192304.0327,50475853086.9,50917807578.5218,43875924020.8326,53559666806.6936,51388956640.847,55221294820.92,24034835646.65
"R&D",1793116000,2146861000,2700625002,2397883790,1429567216,1092643753,1029167093,1281097379,1639969500,1853730909.03,2069236435.7802,1531653627.69,1304496828,1618015916.13,1539878118.9709,2009447572.2163,2224030375.6184,3406139629.8611,4152568372.7644,5275477320.6999,5801241424.87,5052809828.8401,4279992599.8474,3793842105.2539,4134656270.2956,3591105737.2737,3700885155.2852,3823620544.9318,4435510236.5194,5027269081.4226,4804229690.057,5970364654.9974,6489280162.8888,7586007238.8967,7781023161.06,3577477326.84
"Services (Non-R&D)",1504103000,1910441000,2680541905,2738795772,2812208089,3375118497,3577288633,4375742952,5607495236.32,6727130613.14,5051656451.4021,6748039150.9227,9898354410.6721,12804145872.465,12882569644.9971,15794910302.5603,17912101102.2455,17937250487.0423,21777195319.0802,25074886056.72,26041123660.5346,29866805262.235,30101913531.7831,27829000056.4544,28096145516.8738,26360567354.2888,27292899598.3178,29448081475.5605,31497113967.139,35421183857.1033,38036116061.164,36368600496.0112,38959482990.3237,41563429293.671,43717660436.15,21339505217.46
"Unlabeled",,,,,,,,,,154412.99,2213101,626030,3257853.2504,310453,1969306.04,517024.12,1554169.04,,-58463.8594,291201.1904,-27082.3394,-27800.39,,,,,-2316.68,-245,,,0,,0,,985843.23,2258907.5
