Year,Global.Vendor.Name,Number.of.Actions,Dollars.Obligated,%Total.Actions,%Total.Dollars
2007,THE BOEING COMPANY,1352,5761999977.16,0.0034229407922386334,0.05236820821625314
2007,GENERAL DYNAMICS CORPORATION,4167,5678204520.49,0.010549847841167446,0.05160662926105268
2007,KBR  INC.,630,4781179177.39,0.001595009392833091,0.04345397217515831
2007,RAYTHEON COMPANY,1960,3395327627.5,0.004962251444369617,0.030858595082285164
2007,MACANDREWS & FORBES HOLDINGS INC.,486,3223407911.48,0.0012304358173283847,0.029296094644815193
2007,LOCKHEED MARTIN CORPORATION,2871,3004569176.17,0.007268685661625088,0.027307168490368357
2007,NORTHROP GRUMMAN CORPORATION,2502,2547548211.95,0.006334465874394276,0.02315351192869962
2007,L-3 COMMUNICATIONS HOLDINGS  INC.,2245,2449770658.9,0.005683803312556015,0.022264856031911175
2007,OSHKOSH TRUCK CORPORATION,579,1866077140.26,0.001465889584841841,0.016959929992379507
2007,DRS TECHNOLOGIES  INC.,2195,1601568439.41,0.005557215265505769,0.014555930204800404
2007,ITT CORPORATION,704,1520141694.78,0.0017823597024674543,0.01381587940055565
2007,SAIC  INC,3220,1419642314.37,0.008152270230035799,0.012902486047591886
2007,COMPUTER SCIENCES CORPORATION,1317,932403090.15,0.003334329159303462,0.008474189406456705
2007,TEXTRON INC.,709,893381200.31,0.0017950185071724787,0.008119537122487065
2007,HONEYWELL INTERNATIONAL INC,1033,878568502.41,0.0026153090520580685,0.007984911219858375
2007,CERBERUS PARTNER LP,505,852551682.8399999,0.0012785392752074779,0.007748456129652355
2007,ALLIANT TECHSYSTEMS INC,333,754338558.04,8.430763933546338e-4,0.00685584151849606
2007,UNITED TECHNOLOGIES CORPORATION,1146,702292232.62,0.0029013980383916227,0.006382816038230643
2007,CACI INTERNATIONAL INC,1132,664485142.86,0.0028659533852175545,0.006039204522012258
2007,URS CORPORATION,1099,606956744.48,0.0027824052741643925,0.0055163549634122434
2007,INSTITUTE FOR DEFENSE ANALYSES INC,27,603492323,6.835754540713249e-5,0.0054848684055967874
2007,GENERAL ELECTRIC COMPANY,835,570961885.87,0.002114020385739097,0.005189213995367298
2007,VSE CORPORATION,391,555662231.98,9.899185279329183e-4,0.005050162370285024
2007,COMBAT SUPPORT ASSOCIATES,18,476472396.43,4.557169693808832e-5,0.004330441819585325
2007,CERADYNE INC,37,449956153,9.367515481718155e-5,0.004089447692101916
2007,BOOZ ALLEN HAMILTON INC.,905,441599726.43,0.00229124365160944,0.0040134999155839995
2007,GOVERNMENT OF CANADA,516,424911335.42,0.0013063886455585319,0.00386182668776898
2007,UNITED INDUSTRIAL CORPORATION,164,419063085.7,4.1520879432480463e-4,0.003808674594702059
2007,THE MITRE CORPORATION,116,417077477.58,2.9368426915656916e-4,0.0037906283017697055
2007,ARINC MANAGEMENT CORPORATION,778,365808508.82,0.0019697100121018173,0.0033246678641267353
2007,DELL INC,6018,364533482.73,0.015236137342967528,0.0033130797294465986
2007,SYRACUSE RESEARCH CORP,168,362618471.38,4.2533583808882435e-4,0.00329567505858391
2007,AECOM TECHNOLOGY CORPORATION,274,356582712.15,6.937024978353444e-4,0.003240818776502562
2007,HARRIS CORPORATION,391,353522170.93,9.899185279329183e-4,0.003213002903455234
2007,HENSEL PHELPS CONSTRUCTION CO,119,340773491,3.012795519795839e-4,0.003097135925374185
2007,INTERPUBLIC GROUP OF COMPANIES  INC.,432,325307662.74,0.0010937207265141198,0.0029565740167023825
2007,JVYS,255,324060956.53,6.455990399562512e-4,0.0029452432685856574
2007,BUNDESAMT FUER BAUWESEN UND RAUMORDNUNG,432,322835190.03,0.0010937207265141198,0.0029341028320096496
2007,HELLFIRE SYSTEMS  LLC,163,299692235.55,4.126770333837998e-4,0.002723767000049917
2007,KONGSBERG GRUPPEN ASA,6,294130516.72,1.519056564602944e-5,0.0026732190564740387
2007,COMTECH TELECOMMUNICATIONS CORP.,284,278044402.34,7.190201072453935e-4,0.002527019648181519
2007,JACOBS ENGINEERING GROUP INC.,624,278025785.95,0.0015798188271870617,0.002526850452244063
2007,AFOGNAK NATIVE CORPORATION,404,277086592.14,0.0010228314201659824,0.0025183145450603673
2007,NETFIRES  LLC,52,274590438.98,1.3165156893225514e-4,0.0024956281394823226
2007,FLUOR CORPORATION,198,271008677,5.012886663189715e-4,0.0024630751270051945
2007,GENERAL ATOMIC TECHNOLOGIES CORPORATION,106,251838027.39,2.6836665974652014e-4,0.0022888417749752045
2007,BECHTEL GROUP  INC,57,249068856.22,1.4431037363727968e-4,0.0022636740323525324
2007,CLARK CADDELL A JOINT VENTURE,2,243915e3,5.063521882009813e-6,0.002216832967320349
2007,VERITAS CAPITAL MANAGEMENT II LLC,132,233259511.97,3.3419244421264765e-4,0.002119990062424007
2007,SOCIET  HERSTALIENNE POUR LA FINANCE  L'INDUSTRIELLE ET LE C,156,230179229.17,3.949547067967654e-4,0.0020919947670969053
2007,NAVISTAR INTERNATIONAL CORPORATION,45,226230139.63,1.139292423452208e-4,0.0020561032807874455
2007,THE SUNDT COMPANIES INC,54,225950909,1.3671509081426497e-4,0.0020535654800532977
2007,TETRA TECH  INC.,647,224350967.32,0.0016380493288301746,0.002039024334728025
2007,CH2M HILL COMPANIES  LTD,480,223388035.92,0.001215245251682355,0.002030272687339435
2007,ATLANTIC DIVING SUPPLY  INC,264,217499432.1,6.683848884252953e-4,0.0019767538341337507
2007,EDO CORPORATION,633,210350549.98,0.0016026046756561058,0.0019117808822320512
2007,COLT DEFENSE HOLDING LLC,85,205677272.67,2.1519967998541705e-4,0.0018693075812614749
2007,HOCHTIEF AG,80,203694852,2.025408752803925e-4,0.0018512902576185938
2007,GREAT LAKES DREDGE & DOCK CORPORATION,98,203157119.5,2.4811257221848086e-4,0.001846403050462004
2007,AMERICAN AUTO LOGISTICS LP,12,197534823,3.038113129205888e-5,0.001795304543878769
2007,BAE SYSTEMS ANALYTICAL SOLUTIONS INCORPORATED,333,196551868,8.430763933546338e-4,0.0017863709110583503
2007,POINT BLANK SOLUTIONS  INC.,50,194355448.6,1.2658804705024533e-4,0.0017664086498772752
2007,SENSOR TECHNOLOGIES INC,104,184872213.81,2.633031378645103e-4,0.0016802198237726434
2007,M A MORTENSON COMPANIES  INC,83,178065764,2.1013615810340725e-4,0.0016183590840509398
2007,EUROPEAN AERONAUTIC DEFENCE AND SPACE COMPANY EADS N.V.,50,177513939.89,1.2658804705024533e-4,0.001613343804633068
2007,THE PARSONS CORPORATION,188,173611452,4.759710569089224e-4,0.0015778758596148427
2007,VEYANCE TECHNOLOGIES  INC.,44,173586066.28,1.1139748140421589e-4,0.0015776451403028073
2007,CADDELL CONSTRUCTION CO.  INC.,100,170969437,2.5317609410049067e-4,0.0015538637818330134
2007,ALLISON TRANSMISSION  INC.,56,170296875.38,1.4177861269627478e-4,0.001547751173868065
2007,CUBIC CORPORATION,311,169625926.19,7.87377652652526e-4,0.0015416532205491265
2007,GLOBAL FLEET SALES INC,29,167712829.21,7.342106728914229e-5,0.001524265948528361
2007,GTSI CORP.,810,166744411.25,0.002050726362213974,0.001515464436280762
2007,FLIR SYSTEMS  INC,138,165189381.94,3.493830098586771e-4,0.001501331479145869
2007,RMR JOINT VENTURE,13,162394306,3.2912892233063785e-5,0.001475928299800786
2007,SOFTMART  INC.,233,161733372.78,5.899002992541432e-4,0.0014699213770970033
2007,BATTELLE MEMORIAL INSTITUTE,1160,159398110,0.0029368426915656913,0.0014486972313164641
2007,DATAPATH INC,130,159220880.46,3.2912892233063785e-4,0.0014470864722936282
2007,ROCKWELL COLLINS  INC.,188,157789142.79,4.759710569089224e-4,0.0014340740570366315
2007,J & J MAINTENANCE  INC.,695,155131938.44,0.0017595738539984101,0.00140992393013182
2007,SCIENCE AND ENGINEERING SERVICES INC,100,154969997.99,2.5317609410049067e-4,0.0014084521267236547
2007,RESOURCE CONSULTANTS INC,332,154959167.76,8.40544632413629e-4,0.0014083536956681325
2007,KIPPER TOOL COMPANY  INC,467,154726592.19,0.0011823323594492914,0.0014062399216445206
2007,B L HARBERT HOLDINGS LLC,37,148491786,9.367515481718155e-5,0.0013495745918909385
2007,QINETIQ GROUP PLC,557,148416199.38,0.001410190844139733,0.0013488876193344975
2007,STANLEY  INC.,564,146734119.35,0.0014279131707267672,0.001333599955746054
2007,DOCUMENT AND PACKAGING BROKERS  INC,108,145353141,2.7343018162852994e-4,0.0013210488689599372
2007,POND SECURITY SERVICE GMBH,33,143101675,8.354811105316191e-5,0.0013005863141617457
2007,SIERRA NEVADA CORPORATION,97,142378052.79,2.4558081127747593e-4,0.0012940096396193304
2007,INTERNATIONAL BUSINESS MACHINES CORPORATION,282,139219701.01,7.139565853633836e-4,0.0012653048106899948
2007,THE SHAW GROUP INC,455,138943146.17,0.0011519512281572325,0.0012627913289993075
2007,V T GROUP P L C,176,136441689.65,4.4558992561686357e-4,0.001240056723584083
2007,INSIGHT TECHNOLOGY INC,66,135081791.39,1.6709622210632383e-4,0.0012276972241889268
2007,HARPER CONSTRUCTION COMPANY  INC.,12,135063817,3.038113129205888e-5,0.001227533863098713
2007,THE WALBRIDGE GROUP INC,47,134673482,1.189927642272306e-4,0.001223986285064156
2007,BILFINGER BERGER AG,813,134565128.83,0.002058321645036989,0.0012230015121745443
2007,TOMPKINS TURNER GRUNLEY KINSLEY A JOINT VENTURE,2,134e6,5.063521882009813e-6,0.0012178653121822224
2007,BRISTOL BAY NATIVE CORPORATION,435,132885243.56,0.0011013160093371343,0.0012077337957657466
2007,AEY INC,19,132593511.2,4.8103457879093226e-5,0.0012050823724695896
2007,NANA REGIONAL CORPORATION,601,131868132.7,0.001521588325543949,0.0011984897358027777
2007,ALLIANT TECHSYSTEMS INCORPORATED (2694),26,130402757.94,6.582578446612757e-5,0.0011851716082688125
2008,EMERSON CONSTRUCTION COMPANY  INC.*,24,13931307017.4,5.904029992472362e-5,0.08945295459259744
2008,BAE SYSTEMS PLC,2029,9429027852.27,0.00499136535613601,0.06054380965604897
2008,GENERAL DYNAMICS CORPORATION,4239,7141728243.74,0.01042799297420431,0.0458570535773874
2008,KBR  INC.,588,5968483129.03,0.0014464873481557286,0.03832364398121246
2008,RAYTHEON COMPANY,2506,5886885303.66,0.006164791317139891,0.03779970415571291
2008,THE BOEING COMPANY,1210,5729766326.61,0.002976615121204816,0.036790842840537324
2008,UNITED TECHNOLOGIES CORPORATION,1368,4646580219.09,0.003365297095709246,0.02983570233790541
2008,MACANDREWS & FORBES HOLDINGS INC.,489,4491562513.38,0.0012029461109662437,0.02884033329086583
2008,LOCKHEED MARTIN CORPORATION,3492,3950602793.23,0.008590363639047286,0.025366829676125073
2008,NORTHROP GRUMMAN CORPORATION,2535,3350106502.81,0.006236131679548932,0.02151104160592658
2008,ITT CORPORATION,1256,2305270122.72,0.003089775696060536,0.014802144791855234
2008,L-3 COMMUNICATIONS HOLDINGS  INC.,1672,1989003521.43,0.0041131408947557456,0.012771396213203248
2008,TEXTRON INC.,806,1857877220.03,0.001982770072471968,0.011929433928517445
2008,FINMECCANICA SPA,2124,1696532249.73,0.005225066543338041,0.010893437500905627
2008,SAIC  INC.,3463,1533960020.3,0.008519023276638246,0.009849560839580478
2008,COMPUTER SCIENCES CORPORATION,1563,1285730505.78,0.0038449995325976257,0.008255678552500987
2008,ALLIANT TECHSYSTEMS INC,351,1186794637.9099998,8.634643863990829e-4,0.007620411115992648
2008,OSHKOSH CORPORATION,586,1139403873.69,0.0014415673231620017,0.007316114909284592
