"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",10914125000,13705604115,9674658147,10551421083,8629385645,8571790193,9683564429,12422054498,10942920739,9491602742,8636545116.09,10224627550,13387175797.2411,15539351530.4262,18316590305.9285,31788501747.0561,34619998279.619,34291731704.5411,39100105365.4799,35615898262.1993,29439139717.4225,29987721179.0701,35353479895.3265,26660379036.4712,24340029384.9638,21065394040.0249,19404060630.3798,21592086886.0599,25366831507.1032,23213918227.2358,25597314328.7734,53375243137.3981,58547338829.7781,32840179548.1143,32321738758.0118,13485476945.84
"R&D",,,,,,,30000,,2098647,568547,179512,237128,2191690,2095383,,,,,,,,,,,,,,,,,,,,,,
"Services (Non-R&D)",,806000,386155,31500,,,,434502,,,40572,,2540673,1728714,,,,,,2956374,,,,,,,,,,,,,,,,
