"TopProject","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ACWS",,,,,,,,,,,,,,,,,,,,,12652,0,111074.8516,
"AH-64E New Build",,,,,,,,,,,,,,,,,,,,,,,,742934.5078
"Department of Defense Healthcare Management System Modernization (DHMSM)",,,,,,,,,,,,,,,,,,,,,75639.3281,742633.5,356810.3301,
"Other Labeled Project",928939,2068529,1524336,5308076,1952916,1698707,3491019,3432758.5813,408103.4902,2997694.9102,324997.5489,80496.6992,1413080.0995,-1347298.85,18176.15,-923.499299999999,59406.4001,134305.6015,84461,111241,18623015.3965,714345.625,,
"RQ-7B Shadow Tactical Unmanned Aircraft System (RQ-7B Shadow)",,,,,,,,,,,,,,,,,,,,,,,,1427200
"SOLDIER ENHANCEMENT",475572,232950,6795025,9480600,478550,,,,,,,,,,,,,,,,,,,
"STATUS OF FORCES AGREEMENT",,,,,,,,,,,,,,,,,,,,51906.1602,139759.4004,157400.1524,46356.5,
"TRACKWOLF HF SYSTEM",4350000,,,,,,,,,,,,,,,,,,,,,,,
"WATER PURIFICATION ROWPU",308700,1341114,30064928,9014432,,,,,,,,,,,,,,,,,,,,
,8630701989.09,10221322104,13353523888.2415,15519372518.4262,18314158839.8947,31786803033.2196,34616507262.3475,34288298948.3409,39099729400.1141,35615896149.808,29121211362.0065,30006926667.1808,35356419146.3526,26465404153.2953,24267838725.1181,21069111715.4275,19406190257.4793,21576437757.6489,25383313632.2805,23212468234.1722,25490601137.0472,53499188886.3541,58510333010.0319,18944862279.6072
