"Project.Name","ProjectID","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ACWS",2190,,,,,,,,,,,,,,,,,,,,,12652,0,111074.8516,
"AH-64E New Build",2040,,,,,,,,,,,,,,,,,,,,,,,,742934.5078
"AIR CARGO MATERIALS HAND",1757,,,,524550,,,,,,,,,,,,,,,,,,,,
"AIR TRAFFIC CNTL COMM CON",487,34225,,,,,,,,,,,,,,,,,,,,,,,
"ASM",1856,,,,,,,,3180343.5813,,2956374,,,,,,,,,,,,,,
"ATS",2058,,,,,,,,,58366,,,,1356150,-1356150,,,,,,,,,,
"BSM ENERGY",1962,,,,,,,,6742,,,,,19039.1093,,,,,,,,,,,
"C-11 GULFSTREAM II",717,,,,4072472,,,,,,,,,,,,,,,,,,,,
"CBDP",1344,,,,,62750,378657,48352,,,,,,,,,,,,,,,,,
"CBT FEEDING CLOTHING & EQ",590,179512,,5820,,,,,,,,,,,,,,,,,,,,,
"CHCS II",1958,,,,,3527,,95658,41983,,,,,,,,,,,,,,,,
"DADS",1994,,,,,,,,,24830.4902,2108.6001,,,,,,,,,,,,,,
"DEAMS Inc 1",2101,,,,,,,,,,,,,,,,,,33048.25,,,,714345.625,,
"DECON APP PWR DR LT WT M1",607,223449,1511302,1052638,335923,,,,,,,,,,,,,,,,,,,,
"DLS",1968,,,,,234326,,,,,-9742.25,,,,,,,,,,,,,,
"DMLSS",1959,,,,,1652313,1317464,2797074,,5045,,-1435,,,,,,,,,,,,,
"DTS",1970,,,,,,,12500,,,,,,,,,,,,,,,,,
"Defense Enterprise Office Solution (DEOS)",2251,,,,,,,,,,,,,,,,,,,,111241,,,,
"Department of Defense Healthcare Management System Modernization (DHMSM)",2237,,,,,,,,,,,,,,,,,,,,,75639.3281,742633.5,356810.3301,
"ICBM FUZE MOD",2238,,,,,,,,,,,,,,,,,,,,,5556,,,
"ILS-S",1973,,,,,,,,,,,8625,,,,,,,,,,,,,
"LTH TRAINER",763,,334724,,,,,,,,,,,,,,,,,,,,,,
"MOBILE ARRESTING BARRIERS",1777,,,,349410,,,,,,,,,,,,,,,,,,,,
"MODERNIZATION",1778,43518,,,,,,,,,,,,,,,,,,,,,,,
"MQ-9 Reaper",1805,,,,,,,,,,,,,,,,,,,,,433913.1563,,,
"Massive Ordnance Penetrator (MOP)",2243,,,,,,,,,,,,,,,,,,,,,17292.2402,,,
"NSIPS",1965,,,,,,,7707,,,,,,,,,,,,,,,,,
"Other UAS",2258,,,,,,,,,,,,,,,,,,,,,18166254,,,
"PKI",1979,,,,,,,529728,203690,,,9131.7598,,,,,,,,,,,,,
"QM-107 GD MSL TGT SYS",154,145000,222503,465878,25721,,,,,,,,,,,,,,,,,,,,
"REMOTE SENSING CHEM AGENT",583,303235,,,,,,,,,,,,,,,,,,,,,,,
"RQ-7B Shadow Tactical Unmanned Aircraft System (RQ-7B Shadow)",2233,,,,,,,,,,,,,,,,,,,,,,,,1427200
"SOLDIER ENHANCEMENT",601,475572,232950,6795025,9480600,478550,,,,,,,,,,,,,,,,,,,
"SPS",1961,,,,,,2586,,,32635,48954.5601,308675.7891,80496.6992,37890.9902,8851.15,18176.15,-4468.6392,-5913.5999,,,,,,,
"STATUS OF FORCES AGREEMENT",2202,,,,,,,,,,,,,,,,,,,,51906.1602,139759.4004,157400.1524,46356.5,
"TMIP",1952,,,,,,,,,287227,,,,,,,,,,,,,,,
"TRACKWOLF HF SYSTEM",482,4350000,,,,,,,,,,,,,,,,,,,,,,,
"WATER PURIFICATION ROWPU",604,308700,1341114,30064928,9014432,,,,,,,,,,,,,,,,,,,,
"ZBL",2015,,,,,,,,,,,,,,,,3545.1399,65320,101257.3515,84461,,,,,
,,8630701989.09,10221322104,13353523888.2415,15519372518.4262,18314158839.8947,31786803033.2196,34616507262.3475,34288298948.3409,39099729400.1141,35615896149.808,29121211362.0065,30006926667.1808,35356419146.3526,26465404153.2953,24267838725.1181,21069111715.4275,19406190257.4793,21576437757.6489,25383313632.2805,23212468234.1722,25490601137.0472,53499188886.3541,58510333010.0319,18944862279.6072
