"","StartFY","NAICS","hh_index_lag1"
"1",1988,NA,0
"2",1989,NA,791.419943048277
"3",1990,NA,0
"4",1991,NA,0
"5",1992,NA,133.847347433208
"6",1993,NA,117.985546887185
"7",1994,NA,134.983992169652
"8",1995,NA,165.078902741962
"9",1996,NA,146.779727737379
"10",1997,NA,205.596082904608
"11",1998,NA,213.294828169516
"12",1999,NA,265.378287992535
"13",2000,NA,260.354669717682
"14",2001,112120,10000
"15",2001,211111,10000
"16",2001,221111,3358.93758081032
"17",2001,221112,8317.54068898439
"18",2001,221121,8567.32938816233
"19",2001,221122,1508.73132753056
"20",2001,221210,1546.28973701289
"21",2001,221310,3998.10996948639
"22",2001,221320,2184.33767912725
"23",2001,221330,0
"24",2001,236220,0
"25",2001,238210,10000
"26",2001,238350,0
"27",2001,312111,10000
"28",2001,312112,10000
"29",2001,314110,1685.90108198096
"30",2001,314999,10000
"31",2001,321920,10000
"32",2001,321992,10000
"33",2001,321999,10000
"34",2001,322121,6010.9141787927
"35",2001,322211,10000
"36",2001,323111,10000
"37",2001,323113,10000
"38",2001,323117,5768.92676643554
"39",2001,324121,0
"40",2001,324122,10000
"41",2001,324199,0
"42",2001,325120,1166.43524961681
"43",2001,325412,2752.33796073459
"44",2001,325413,9054.49897460586
"45",2001,325510,9351.10289835319
"46",2001,325520,10000
"47",2001,325611,6618.27031315267
"48",2001,325612,10000
"49",2001,325998,2328.07625793115
"50",2001,326111,10000
"51",2001,326113,10000
"52",2001,326191,0
"53",2001,326199,7611.74323363095
"54",2001,326211,5103.38543946853
"55",2001,327215,0
"56",2001,327332,10000
"57",2001,327993,7403.35322016248
"58",2001,331315,0
"59",2001,332111,0
"60",2001,332311,1330.24382000863
"61",2001,332312,7279.15452588689
"62",2001,332323,3578.29798889559
"63",2001,332410,10000
"64",2001,332420,2577.8099060609
"65",2001,332431,6151.57514125829
"66",2001,332439,1573.94791058299
"67",2001,332510,6167.29306814274
"68",2001,332722,10000
"69",2001,332911,10000
"70",2001,332912,10000
"71",2001,332913,10000
"72",2001,332991,10000
"73",2001,332992,6360.34095860054
"74",2001,332993,4336.59362987361
"75",2001,332996,10000
"76",2001,332999,6346.34081912933
"77",2001,333112,10000
"78",2001,333120,2281.95355268113
"79",2001,333314,2730.33304055142
"80",2001,333414,10000
"81",2001,333415,2095.68527233773
"82",2001,333611,7394.17546424761
"83",2001,333612,0
"84",2001,333618,8741.34172486645
"85",2001,333911,10000
"86",2001,333912,10000
"87",2001,333923,10000
"88",2001,333924,2925.97507538789
"89",2001,333991,5444.31113788311
"90",2001,333992,10000
"91",2001,333995,0
"92",2001,333999,5369.34117177847
"93",2001,334111,2142.17779559075
"94",2001,334112,3349.68531137631
"95",2001,334210,5231.15364588242
"96",2001,334220,2962.75376529313
"97",2001,334290,2956.8260390828
"98",2001,334310,5368.24988656195
"99",2001,334412,6907.77422176318
"100",2001,334413,7015.56548488513
"101",2001,334417,6542.57536216499
"102",2001,334418,1814.47324288196
"103",2001,334419,3956.64664493499
"104",2001,334510,10000
"105",2001,334511,3109.84201945108
"106",2001,334512,2098.48528676006
"107",2001,334513,1171.78558447626
"108",2001,334514,10000
"109",2001,334515,4674.54593493225
"110",2001,334516,722.331806618906
"111",2001,334519,1305.30874727016
"112",2001,334613,1941.03737167209
"113",2001,335121,5002.86951254698
"114",2001,335122,0
"115",2001,335221,10000
"116",2001,335222,4495.91916829002
"117",2001,335224,8014.06496285854
"118",2001,335228,10000
"119",2001,335311,10000
"120",2001,335312,9007.03486414519
"121",2001,335313,3258.39780671374
"122",2001,335314,8910.06707367555
"123",2001,335911,7767.58335621494
"124",2001,335921,10000
"125",2001,335931,9086.45506817908
"126",2001,335999,3448.33830440414
"127",2001,336111,10000
"128",2001,336120,3269.06988700812
"129",2001,336211,4263.43222572896
"130",2001,336212,9992.32180596295
"131",2001,336214,10000
"132",2001,336350,10000
"133",2001,336411,4413.27677741454
"134",2001,336412,3324.57675546353
"135",2001,336413,1772.4942715938
"136",2001,336414,2519.48247629155
"137",2001,336419,3659.17436539511
"138",2001,336611,2637.22842239463
"139",2001,336612,2294.50182117927
"140",2001,336991,6193.26438390292
"141",2001,336992,9972.96083921047
"142",2001,336999,0
"143",2001,337122,1038.31370819747
"144",2001,337124,5038.45681679309
"145",2001,337127,2532.22861665543
"146",2001,337211,2164.59193767579
"147",2001,337214,637.595590208649
"148",2001,337215,5409.58429985964
"149",2001,339112,1165.94751546137
"150",2001,339113,9104.36495757933
"151",2001,339114,6736.14161140837
"152",2001,339920,2101.35568967471
"153",2001,339950,2718.7024292923
"154",2001,339991,0
"155",2001,339992,10000
"156",2001,339994,0
"157",2001,339999,3604.69437192365
"158",2001,423120,10000
"159",2001,423430,8913.7983833425
"160",2001,423450,0
"161",2001,423460,0
"162",2001,423610,0
"163",2001,423620,3361.35728032438
"164",2001,423710,0
"165",2001,423720,0
"166",2001,423830,0
"167",2001,423840,0
"168",2001,423850,10000
"169",2001,423860,0
"170",2001,423940,3901.27311089453
"171",2001,423990,0
"172",2001,424110,0
"173",2001,424210,0
"174",2001,424410,0
"175",2001,424450,0
"176",2001,424690,0
"177",2001,424950,0
"178",2001,441310,2864.24775156852
"179",2001,441320,10000
"180",2001,444130,7626.15023720653
"181",2001,448150,0
"182",2001,451110,6487.01360263437
"183",2001,451211,10000
"184",2001,453110,0
"185",2001,453210,5664.80585001626
"186",2001,454390,0
"187",2001,481112,10000
"188",2001,481219,10000
"189",2001,483111,2872.77765418326
"190",2001,483114,0
"191",2001,484110,0
"192",2001,484210,0
"193",2001,485310,10000
"194",2001,485410,4382.94386498524
"195",2001,488119,7400.49059251375
"196",2001,488190,3538.34974415649
"197",2001,488310,9977.82707831107
"198",2001,488330,5056.05888223048
"199",2001,488991,0
"200",2001,492110,0
"201",2001,493110,10000
