"TopProject","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AN/FSD JOINT STARS",440598490,201230217,225651948,229437727,,,,,0,-786732.8985,-1534571.5421,-888138.7617,,,,,,,,,,,,
"CEC",,,,,138652929,137081881,88157324,32348496,42752802.6906,72447181.8156,98340539.9883,69644900.3875,58583429.5892,41034948.21,117118433.3225,120592865.89,152774905.1797,104419272.9219,119727170.2176,104767863.8983,151187983.1875,137173563.8686,180727480.8613,93779612.7237
"Department of Defense Healthcare Management System Modernization (DHMSM)",,,,,,,,,,,,,,,,,,,,265582023.5,487402198.75,489189214.0313,678232070.75,142304670.6954
"FBCB2",,,,,62689562,131986794,192662861.4063,584746411.4939,516079825.4951,436613597.1545,176693991.9806,106260763.0338,104376872.5062,319301.72,2215922.48,-365291.8415,-5642.2799,-353651.7134,-332923.2226,-27067.0502,-73.63,-34.34,,0
"GCSS-AF",,,,,84000,83035159,141360939.25,142404724.7883,145469517.2884,136419174.4557,141778690.0329,127881276.9199,109045553.2843,99332342.4169,104829324.1288,332055767.4303,242616383.8665,135225721.9806,368111529.0318,204791081.5448,127981064.865,99552310.0928,86439797.669,2949275.687
"MIDS-LVT",,262887,1707801,1793854,209677104,195290328,269484931,365950603.5441,243885308.6506,114080141.3829,105116634.0976,144960750.2504,207178088.2896,241617543.07,236113550.69,218319601.0649,481515665.2058,430150475.8633,480161015.3246,628561540.4904,690829678.8275,513563342.8842,459632618.0985,192756535.5416
"MQ-9 Reaper",,,,,,20517218,91284725,199540142,168167091,139441494,99215794,64526884.1992,-21284,-18.87,-123974.08,-21809.2299,-117924.4805,3334989.5938,13898060.3594,40891591.1901,65366835.5894,66892801.7532,56006244.5396,104997881.9063
"Other Labeled Project",1721030129,1655833804,1792461019,1784635917,842287955.457,1167772348.3184,1002311562.7056,1511639473.0116,1942651415.1738,1734205549.5861,1470518085.9521,1751842108.4077,1834470473.327,1649986410.4274,1465849107.7281,488978968.5597,430821638.3569,563982216.3608,887871300.8177,869841138.4002,1114540633.7933,1145930508.62,1014740736.2659,536855777.5632
"PEACE SHIELD PROGRAM",1394566,-99306,,2740945,,,,,,,,,,,,,,,,,,,,
"SINCGARS",33167538,135423809,76594684,139065916,280484081,821663735,889381849.8125,556257433.1015,726821067.8321,442362968.4903,55251848.9244,88749915.5508,76231462.688,-7850900.27,24160145.46,-450317.4465,-182275.75,0,0,,,54353.7813,38919604,3165609.2539
,18554485541.8069,20394069634.8908,23706877300.2514,29326013362.7978,35998170456.2182,39675898126.2794,42527860986.3657,49061384983.6783,53166629656.1687,52270901155.5862,53975555464.2606,50065097418.9693,47230350945.0186,39088195809.4528,38903910617.5664,38455843011.1692,41996761962.6637,44471504067.2406,49114236602.393,52810842143.2783,52719372350.2967,47152128036.7237,51073125313.6937,28590966943.3625
