"TopPStext","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ADP SOFTWARE",641877119.7422,629870809.4102,821226165,1285600888.6791,923889614.5964,981039536.6565,1481308626.49,1343377747.6518,1714639129.9055,2059115936.9729,2181838955.4037,2383432373.6058,2260243685.4927,1981475840.467,2353265503.8609,2584198918.5992,2842846276.9154,3036084143.101,2941508496.57,3507666907.3163,3562231571.1846,1166501984.76,749620913.5802,179666178.0145
"ADP SVCS/TELECOMM &
TRANSMISSION",351187908,1025719373.2484,815427351.4492,828615056.4004,712110637.8609,1121438640.6092,944741825.4625,1003134576.1278,940846312.9265,873617128.6325,1479939084.5839,1377578956.109,983572867.8163,1101923003.7253,963543931.628,898308617.0824,1435381227.3639,1803118434.6465,1591926675.791,2039473772.2537,2487148022.9781,579573604.6659,559986357.6148,304475696.4542
"ADPE SYSTEM
CONFIGURATION",1339727732.543,1097148417,1251060712.4033,1495220537.2436,1361058381.626,991755823.5686,1044755712.2014,1465073122.9674,1900834605.8289,1494126729.7796,1188877615.4633,984281497.6038,985730287.3726,724052874.8979,658323638.1881,727812275.7493,925224205.2999,1000977518.5718,978330768.4442,1034817437.5223,997183380.9892,136261710.3218,99691626.4961,14144260.1074
"ELEC COUNTERMEASURE
& QUICK REAC EQ",491631144,300732196,305677407,465950460,769688340,973667085,1278631827.9922,2696482989.6133,2442519726.477,2341494074.3916,1696055957.0317,1365327166.9176,1829002184.9173,1667634173.7817,1129285752.9649,1152695466.0709,1136352104.4056,998234272.5168,1118797821.3056,1798001745.8521,1132954059.8557,1204826803.6533,1010906263.4309,1309599808.2079
"ENGINEERING AND
TECHNICAL SERVICES",814070669,711114343,916473463,847695122,966537953.375,1012912359,1029710135.69,1922031011.4328,2354140065.9908,2646633367.5519,3091092037.4034,2637663150.1015,2113382221.1912,1705901634.3329,1045704927.3628,987338517.6224,1147623859.5144,1273437545.9269,905524380.2804,1272385333.9664,1179205071.9607,1158924124.55,1245347519.4283,400437665.0497
"IT AND TELECOM-
OTHER IT AND
TELECOMMUNICATIONS",2435579587.132,2316779497.0697,2819894442.8714,3646169674.172,5672550740.0513,5657850364.3533,6490660424.4984,6688554319.4974,6617845487.8148,7015052329.9102,6943317286.6748,7837467133.8587,6712302828.3272,5613203975.0445,5393361688.0726,4216906745.115,4294092048.9373,4246980696.2553,4561125875.9834,4046777076.7495,4209152987.9945,2844702833.9271,2025246489.9319,812958382.4892
"MAINT-REP OF
COMMUNICATION EQ",521021751,264768243.0508,293015040.0271,825486114.4331,1114657763.4399,1214986039.2011,1381029832.5159,2026765897.7634,2217915458.641,2519573734.0585,2276642298.8994,2451895695.847,2265462135.5057,1890553631.4922,1336795988.8198,1327624153.8112,1553963813.1582,1323243256.1922,1557027750.4191,1256665380.0856,1450620691.1102,776270522.9253,671933615.0434,365942759.0056
"MISC COMMUNICATION
EQ",893225383.7109,1178381810.6851,1043321344,1357368238.9646,1688205233.8494,2186240206.5633,2162093371.9563,2766950147.4032,2504364775.9165,3147977997.7128,3388448284.4046,3015871471.8675,2936196357.1895,2143189248.0424,1624894419.2672,1961365734.7356,2016705243.1316,2028751303.8439,2697152667.2257,2665912190.0078,2341768776.8267,422807505.9804,213150006.5664,108428309.4101
"MISCELLANEOUS
ELECTRICAL AND
ELECTRONIC
COMPONENTS",261591100.3501,269655652.3799,354186894.4063,295937791,342239100.48,627853243.6719,602643691.011,615121005.2408,633511086.3849,640047360.7067,594329042.2771,544437005.1299,561371012.5023,475130232.7524,398710696.4688,376465059.2299,425522597.2851,442268754.6104,578996643.1952,678951854.8216,450116328.2598,593174826.2083,499734217.9209,285126921.2172
"Other Labeled PSC",13000763869.3287,14592537362.0467,17183009932.0941,20435643838.905,23981108322.3963,27465502290.9739,28786929731.7224,31926781449.9198,35625840034.4134,32608045869.8561,33280395915.5525,29820121427.9161,28972951960.3881,23809570821.6208,25950186580.6627,25382237307.5803,27526473336.7508,29555167166.5828,34053281675.7069,36624598616.6766,37546299780.5199,40721440180.423,46512206855.8651,25886996326.7778
,,13342,,0,,,,,0,,,,,0,,,,,,,,,,
