"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Products (All)",11700035314,10081161897,8531471514,8121304048,7378565194,8419664740,7996254996,7567531907,7418594145,8227763201,8684401010.0859,9026870529.155,10514820347.3809,13790116496.9814,16073404596.7357,18719174970.8771,20873730896.411,23775624996.113,26054184072.8213,23869128597.6252,24805458836.7939,21419605017.453,21498741071.7026,17576987829.7833,18110904721.8891,18324353729.5785,19658352960.0976,21290284393.5529,23540015810.139,25130504578.0061,23307693603.3582,20830360260.9581,23675639434.1056,26672737311.3772
"R&D",3573425000,3700301444,4178994977,3523211028,3643050364,3537845276,3014877084,3737151692,2993041644,3386496796,3219854370,3755954516,4389212277,4497648362.3275,5039304727.4075,5920884143.9395,5428838943.5233,6856882968.71,6831973921.6098,6917032060.1183,7619741226.0681,7747507528.8668,7224439663.1544,5475487015.8885,5882858008.7334,5466011221.5931,5754790956.6206,6078165785.4011,6908893696.6178,7373651282.9093,7157770035.4279,5821022507.764,5828719281.4607,4301260283.4259
"Services (Non-R&D)",4428979580,5538132392,6674581467,6597098423,6622303904,6733133651,7170053638,7121044477,7067675774,7957031345,8846420884.721,9603882636.7188,10899260135.868,13190322503.9556,16419336769.8524,17593186470.2513,18899935329.9323,21821103970.9614,24066298681.1917,24559523877.4905,23695736414.8324,23250963332.6371,20897034805.8459,18060160590.4853,16860310396.6733,15824450344.4246,17891040796.044,18339812913.2936,20508221048.9871,22448737259.3344,24864370527.5907,22932059656.1626,24041926033.2574,25400984385.957
"Unlabeled",,,,,,,,,,,,13342,,0,,,,,0,,,,,0,,,,,,,,,,
