"Shiny.VendorSize","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",14310836.2246,2476183.2208,21375920.0272,99146105.593,3421829.2211,2084314.8824,4131871.1303,856634.165,15740612.49,709351.1291,98748.5401,-23876.5417,-9029.629,0,-96096,,-1787088.06,0,,,0,0,,0,,
"Large",18889882.374,28692279.7963,74421465.3666,101871994.0657,85670133.1241,57344100.7828,140215858.0948,38730534.9875,9620759.6911,7616867.1091,1963026.7027,-420620.8633,-171416.7712,-6096806.0706,-560087.49,-205638.52,8357034.7399,-4718.3901,-4399.98,-402108.16,-231.09,-1271.11,2278757.5286,3982647.9612,3775749.67,1073261.6
"Medium",38520818.9798,229307179.5219,287667382.3097,285343344.4354,152208234.0397,126480259.7398,124268876.4128,76241975.4699,51292622.519,30614672.5954,12754971.1528,1465129.676,-2456587.655,527752.21,178412.48,-1346617.81,-2179988.8191,-82078.7895,-222453.11,440366.15,8065,368873.43,1155738.1866,2106044.0869,3621296.76,8773665.43
"Small",33626958.3471,36966293.0255,41364251.9248,81448948.988,88381578.3475,174085631.7381,178726665.7355,126295399.5467,67986420.0476,48281489.6898,17232358.4976,45285.8473,-823600.9588,-2748874.44,-206470.8,-43806.23,-497543.31,-235147.0978,-17662.43,-1146.9,-4800,-58578.75,2234695.7105,3756616.8431,7460495.17,1740304.94
"To Be Labeled",38632165.79,2570093.37,13808647.21,9839661.3427,3572529.36,4522086.09,901179.5,2963935.59,2659008.1498,3931106.38,-795058.9094,-46395.4103,-22060.1391,,,,-3769.99,0,0,,,,,4735168.8242,-345130.93,181380.24
"Unlabeled",7028744.2297,107613805.8415,227183193.6992,96694338.7078,12961875.9735,72363683.09,78511739.95,66831169.28,60784588.5102,16826392.9587,2257940.7384,1365642.2381,-88896.93,978298.53,507867.66,825007.8444,883471.1525,554280.5857,0,,10000,7143.98,563190.93,11148.81,71272.6,0
