"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",,,,,,,,,,,,,,,,,,,,,,,6275121.6257,14597683.1454,10881833.5,5986878.13
"Unlabeled",151009405.9452,407625834.776,665820860.5375,674344393.1326,346216180.0659,436880076.3231,526756190.8234,311919649.0391,208084011.4077,107979879.8621,33511986.7222,2385164.9461,-3571592.0831,-7339629.7706,-176374.15,-771054.7156,4772115.7133,232336.3083,-244515.52,37111.09,13033.91,316167.55,-42739.27,-6056.62,3701849.77,5781734.08
