"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",13610993000,17651519000,12865110027,12657527098,4545733654,9647844593,11103687153,14287535250.2,13998168835,17397959894.11,13659185704.5846,15354672507.1969,16676076199.5592,25231043324.9076,26900219189.7196,41795000956.5124,41015542050.8101,54482197647.724,74366377542.3753,60656920877.2647,57422136257.5941,50107605990.7119,41338084023.7087,30728792896.2404,25856189423.244,27591466569.067,28443499069.5218,31347750314.1192,34913973803.6736,36628782147.2922,37226287671.8577,57250749936.7138,56678462838.6998,49943868267.0195,41794800316.4,15496532702.45
"R&D",2327019000,4620446000,5247267608,4744315734,4056214192,5289802826,5151150054,6340388180,5881105769,5884955220,4661506392.875,5295746356.8097,6469691263.2604,7430161594.5919,8476963147.7311,8574426833.1304,10824619256.4009,10579189969.4899,10652451253.62,10281302641.6161,9236523268.89,8420839846.1232,7438170470.7245,5039610453.1433,4934263884.0047,4415529837.5247,4106144976.9013,4688639457.6674,5148347820.0895,5148297485.8586,5155284877.4584,5105425651.6304,5600743644.3009,5893461621.7239,6205398043.34,2925028357.72
"Services (Non-R&D)",7278076134.53,12996295000,13316537363,13555979632,12196867062,14818822198,15774349006,16406311069.06,17759067438,20293146017.4,18484537119.7785,19896785248.6741,22993402591.7118,31473959380.0069,40688251628.9186,45254598087.5273,49735902938.4244,53283210064.7872,68096596823.7266,76246106624.6195,74517455999.1012,66996965667.7112,60372115128.7602,51930687423.155,44583009618.9437,40923304425.9576,41643775181.5798,42585635403.2362,51390102885.0216,53264328197.2892,58097925779.0807,47443593547.0602,50271395609.5048,56165385298.2967,56161747170.4519,19146870869.06
"Unlabeled",,,,,,4773197,24338,33713298.95,13320,31259691.01,27271611.5386,8901397.1123,39693917.9043,71426429.6505,5077939.746,2870495,101863697.6806,18050011.62,434590.0766,651359.8,-225463.3186,-108059.5713,-6477.8001,-99723.1206,449040,,3582107.8809,0,-233000.08,465885,,376316,,,154313.2,111143.45
