"Vehicle.AwardTask","Vehicle.sum7","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Award","Definitive",25389496,36692076,51426846.84,73669810.55,85713708.69,70991334.2166,26613418.5503,310455056.8142,12099010.13,16403248.57,7967126.2718,50029710.27,59208409.345,51895824.14,11941785.87,10822525.84,8511094.67,13274217.3,14036649.91,-1570057.69
"Task Order","BOA or BPA",,,,,,,420028,610690,1660025,204601,,,-6724.3701,,-2219.8101,-1764.34,,,,
"Task Order","Single-Awd.",,25000,,16750066,23046792.5,22191177.8662,29702972.3272,22291274.5259,44200405.38,34239795.29,30968876.39,671538.3711,0,613488,-153846.125,,,,-978229.8125,
