"SubCustomer.JPO","SubCustomer.sum","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Army","Army",25389496,36692076,51426846.84,90419876.55,108760501.19,93182512.0828,56316390.8775,53845304.4651,56299415.51,50643043.86,38936002.6618,46643344.6411,49352575.345,39031137.54,-3439057.365,-3662530.42,-5155818.9,,-978229.8125,
"MDA","Other DoD",,,,,,,,278901026.875,,,,4057904,9855834,13478174.6,15226997.11,14485056.26,13666913.57,13274217.3,14036649.91,-1570057.69
"Navy","Navy",,25000,,,,,420028,610690,1660025,204601,,,,,,,,,,
"Other DoD","Other DoD",,,,,,,,0,0,,,,-6724.3701,0,-2219.8101,-1764.34,0,,,
