"PricingUCA.sum","PricingUCA","2001","2002","2003","2004","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Cost or Effort-Based","Other CB",,,,,1249518.5327,40417.0313,-397.03,,,,,,484138,,,-13051.6201,,542713.3775,5651152,5822753,6565970,6211700
"Crosscutting","UCA",,,,,,,,,,,,,0,3085741.75,701.5,,,,,,,
"Fixed-Price","FFP",1757843,60207,,25672,32760200,85178387.58,94615025.727,86091748.1723,80773189.3228,71708671.3535,78763968.19,108214566.32,79860368.2102,50194705.6058,61764444.7091,60366881.2109,109034051.6984,109561859.4222,100969455.2023,173278427.2335,104626639.9868,77779286.62
"Fixed-Price","Other FP",3534391,6626803,3275466,,,,-1042,,,,,,,,,,,,,,,
