"TypeOfAgreement","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Prototype",340559772.73,523559084.6,694883317.68,1433156330.3,2115488321.87,3953909229.18,7210412511.82,15977844023.82,13587248379.41,9970880441.6,13597718627.55,2828277804.05
"Production",,,,,,,1003576.97,357061685.3,1079497813.63,1009757071.82,2082784769.7,298109565.61
,,,,,,,,235000,,,,
