"SimpleArea","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,980919.7602,2461452.5331,1412896.51,473967.16
"Unlabeled",0,4773197,387836,33893609.95,13320,31603156,29503352.0086,9825233.9423,84074351.1747,75741000.1801,7078195.786,3802636.12,110264977.8082,18047584.62,368043.2172,986168.1493,-253919.658,-140825.1013,-6477.8001,-99723.1206,449040,30000,3581529.4309,31755,-212795.37,465885,10000,386316,0,10000,1150156.43,2370050.95
