"PricingUCA.sum","PricingUCA","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Cost or Effort-Based","Other CB",,,7186646,,,1557047,,4884419,47883131,17878448,31951203.7695,81593780.459,102251135.6172,142186224.5595,77894260.2,125022927.8476,413471094.3491,62411595.7176,46447173.11,24685117.9638,17336673.7701,2080212.4767,6089322.898,5023736.6118,8700825.7735,7762085.99
"Cost or Effort-Based","T&M/LH/FPLOE",,,,,,,,,42545,,-5.62,99984.6328,0,,717115.22,197129,-76870.22,,,,,,,,,
"Crosscutting","Combination or Other",,,,,,,,,202661287.9688,77933158.46,118289098.3477,0,0,,,-381576,,,,,,,,,,
"Crosscutting","UCA",,,,,353933157,432322781,42014424,45808626,76226471.5,80234109,223320123,292930624.6484,390043826.3281,40199518.2656,102027356.7125,-38812299.4025,283266806.71,4368239.0875,358682743.6606,377922316.5294,411611271.1992,736446241.6876,814987306.4572,1014250931.8281,785664915,1525127997.66
"Crosscutting",,,,,,,,,0,,1797772,885100,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Fixed-Price","FFP",16038300,57118643,63611899,84128739,159620365,293798735,355079980,755961755.9767,817453614.6462,1091724207.5823,1009628428.0595,1358071868.5381,1057561223.0702,1510808801.1682,1566567397.3913,1485524282.7063,1050507073.1844,1014922477.3113,769509806.5943,725716557.3397,1060235240.2305,1131161710.6082,1502726707.7412,1437277818.639,1690762577.8365,1346434869.84
"Fixed-Price","FP-Econ. Price Adj.",,,,,,,,,,,,,23735550,36285062,33280805.71,0,,0,,,,,,,,
"Fixed-Price","Other FP",,,3534391,6626803,3275466,7617500,32204999,11827896.52,27147426.1241,19663753.3438,2662471,18658746.3625,601554.0938,344845.0938,0,0,10548175,-3000,0,-3310004,,,,,,
"Incentive","CB-Incentive",,,77051120,128318009,179178425,161105578,232468705,74571302,4456032,69106.7969,100224385.4296,141285222.0601,112074176.0391,121101264.875,132993641,27794743.14,-329941.33,-468771.2188,1783935.1063,116294160.8437,248507550.7812,337279544.625,433934260,35425284.0312,-141319655.9102,3275516.05
"Incentive","FP-Incentive",,,,,428782,107118934,40822056,90554735,1112965,0,0,48090720,15516992.5781,17281268.7031,512876.86,86786973.95,141356911.26,134966155.2852,309425050.0104,500711489.12,445212043.7725,413693229.66,35769855.5,170007989,231785862.5627,5106348.8
