"program","2009-01-01","2010-01-01","2011-01-01","2014-01-01","2022-01-01","2023-01-01"
"ATVM",5.9e+09,2.444e+09,5e+07,,1.02e+08,2.5e+09
"Title 17",5.35e+08,2.58e+08,16170978000,1.15e+10,5.04e+08,3e+09
