"SimpleArea","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Products (All)",2109407609.2578,2559055091.7261,2459739915.5529,3985158076.3487,4531439454.4522,5565591320.4612,6790618148.6262,7672664635.6968,7958904782.6069,7292199594.6964,7227001596.6214,8109410745.4331,8234251648.5826,9019918988.8513,9064916080.2596,9904659816.5282,10186760955.5418,10462083909.1727,11178000139.682,11097772361.0594,12331918961.6729,12878754762.8306,13647078842.1082,15182586203.8375,14558462555.43,7393098454.69
"R&D",3760600,3571980,5335762.76,16025785.6048,73913748.7877,84377336.3665,89631199.6975,94829561.5626,118341585.9356,96802115.7263,118422990.5562,132140449.1256,57695153.7541,22029423.8601,29463930.749,18679190.0522,24505192.61,36385472.7996,36252835.8233,48495885.9592,48633675.4763,61680831.1872,77172860.3448,72493475.3542,66268751.86,5520074.54
"Services (Non-R&D)",1783724697.1548,1789444386.647,2264797348.0199,2844036634.4747,3033659816.287,3514656864.2836,3730204878.7341,4927858040.4159,6838306269.3375,7414609128.7349,8891255802.797,9247832037.5637,8966194728.954,9347453094.5747,9954517521.4287,10231527453.8753,12420847797.2882,15862589432.3048,15919077115.4238,17671996359.7405,27155462568.2676,34741655225.7941,42649070184.9418,46436808903.8564,52265097118.0444,23056665890.76
"Unlabeled",0,2494176,489705.0504,5429545.9558,19660,3251391.86,2021955.6,1958204.76,4186796.32,9564483.46,2687980.7802,9277.3804,8129.04,,,,-43814.41,,,,,,,,894995.1,240118
