"PlatformPortfolio","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft",201000,529000,330107,871098.2,1774106.2802,59799.5,948954.7229,1613295.3275,1911150.1339,1752787.614,683638.1128,2501548.6894,4896909.1259,12585049.999,2475881.36,1068689.8302,1725760.75,2320359.0621,2604642.2537,761803.1094,339712.1401,1472859.9702,2470608.9149,1322203.5481,8915859.62,295209.78
"Electronics, Comms, & Sensors",464527294,579126095.0737,736303343.5009,1047378685.1898,926440635.3337,978884394.2903,1011802001.0719,1191041161.5724,1303770657.2654,1437148474.977,2225101945.2663,2377105880.7828,2255527278.6466,2852668298.3136,3083947769.6522,3205608652.0503,3393913488.0764,3941907106.6071,4330110225.3733,4691871234.6425,5972507395.5123,6668461776.1668,7601668319.8182,7230309626.6927,7774092873.6744,2517556083.86
"Facilities and Construction",949422226.498,826836466.6615,1039673557.6141,1358071065.071,1388797211.0512,1815648277.4651,2087999585.4771,3169198620.8358,4728368604.0308,4157327220.267,4712463942.4533,4349377138.5885,4114644080.5835,4166623703.6863,3695615993.8616,3425426468.9271,3831540468.2349,3433108663.6204,3992516962.7529,4640966952.6364,4442179550.0249,4984823539.3156,5689874793.3607,6349585579.3205,5724067303.83,2235661744.92
"Land Vehicles",1814000,1364000,1225650,2403400,2103424.3935,4200923.3315,9054375.3486,18564195.5205,27661216.9556,34301165.1948,38973895.5258,26541466.3637,23603906.7494,31105270.0714,29343695.8799,20988806.0894,28842163.34,20683637.0033,30563981.9381,27329278.3652,37038112.0713,39355081.4724,57574848.8617,56186826.5203,34829232.03,13060959.44
"Ordnance and Missiles",,429000,768000,245842,5409925.8527,1291459.48,1171040.9021,2586925.5579,2862721.6491,3430591.3812,4041577.4784,3918814.6299,4310085.3045,4928444.7966,4996712.0449,6115720.2152,7983554.15,10024270.3223,9810305.5082,11910453.0595,13083851.9084,16133508.4903,17426669.7554,21288856.2571,20956491.99,14665063.15
"Other Products",1796214609.2578,2175708834.0542,1938873049.6741,3222154253.9193,3910261576.5358,4884722701.5841,6162039172.7578,6705723942.8204,6814052199.035,6317814544.729,5801231162.0088,6836827058.791,7255108378.9333,7437534540.9576,7875105326.1118,9135428917.3996,9082645771.8684,9281807186.6519,10012550518.2947,9926100750.8829,10628167964.1208,11210162872.3298,11889571602.7366,13474199603.4773,13195808623.47,6937538356.72
"Other R&D and Knowledge Based",155670064.9,144730784.24,236971737.6271,314293147.0369,467887617.1581,479581117.7857,409141809.047,489427921.9517,703018503.2701,1057694136.5042,1329729861.1782,1540344795.5721,1101047055.3371,1426431247.4007,1562539658.6171,1190253365.3432,1546943837.104,1821964296.5545,1961081783.1721,2056996119.5104,2350803566.0252,3235022919.3666,3184610338.0298,3749335082.7001,4000727705.2,1347735393.75
"Other Services",528036861.7568,622123278.3437,771658580.9166,898007021.0112,934378557.0625,999606859.4254,927223604.33,1111926153.806,1330954543.8683,1792281013.7624,2120287969.0544,2349117734.1463,2493423053.956,2453823070.5313,2790915589.5795,3164464458.2404,4732949889.6763,7844329584.0929,6789482876.8467,7458228077.4642,16082939363.3649,21517822097.7901,27919660867.9946,30789773615.0658,36116972801.77,17380937085.36
"Ships & Submarines",1006850,1224000,4069000,1795984,1959965.8592,629988.2492,950558.9204,5270020.2831,2953041.6718,1852294.728,3940129.2378,3648864.8587,5580782.6544,3676431.5296,3956905.3303,5141637.0503,5556607.24,4913710.3626,4536794.7894,4063937.0886,8955690.2489,7336164.9101,9851104.5293,12847414.2839,9358142.14,4340046.27
"Space Systems",,,,,,,123124.48,,,8610,226269.6588,-70.3,,25450,,369745.31,12405,,72000,36000,,1500000,-738751.625,-309900,,
"Unlabeled",0,2494176,489705.0504,5429545.9558,19660,3251391.86,2021955.6,1958204.76,4186796.32,9564483.46,2687980.7802,9277.3804,8129.04,,,,-43814.41,,,,,,1351485.0186,7349675.1823,4994386.71,3734594.74
