"VendorSize_NTDC","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Big Five",30269723707,32157600023,30131334568,30994675157,31747329388,28791249139,32843210690,40588214258,43937403839.07,46190558382.95,42902822545.2254,45999287155.107,60247822850.3926,70112736192.1281,72882060922.0618,73955014283.8944,88500085708.344,99084982833.7199,105265957803.767,107245051745.557,96938496245.6285,109499511280.306,105501222762.01,96955941011.9567,82025622555.2881,82091633939.9404,102993269137.807,112636441499.833,113544435020.011,123140452457.946,153214115688.45,114337663324.83,122280611781.346,159386053222.367,134228419029.513,67942172091.25
"Large Traditional",35960694888,37863506273,35092959873,33829226700,31124696371,28535738215,30834801969,31342498892,31429955992,33687365680.81,24339704940.4517,25668062866.5926,32789177064.1244,47830203632.2705,58825445287.5523,65109409507.7438,68522364262.8779,82809836001.6772,101871876880.672,104672508705.539,106647005169.947,102991902961.41,97610267593.4833,85753545713.694,76963202723.9655,71918795084.8077,71570540591.2204,76552096395.54,88815188266.2546,92436039868.7922,98386956177.0714,90554875988.3078,98711746156.3474,92859718787.3214,90811061542.03,40112405636.49
"Medium or Large Non-Traditional",1553709217.09,672404000,899969019,840886000,1029714413.16,885734272,731070604.51,8464923159.26,7863798272.52,9029522955.77,30775616109.9954,28977229558.2136,30110890208.5421,35237169852.5169,35237466116.3536,41861647182.4975,49235079710.0418,46236634581.6623,54163304086.9167,47994129880.9528,39400381498.6745,38074475305.9424,42282806773.0194,32245693893.8564,31291466198.8318,28501579754.238,26784212593.313,29083293192.0502,33854686623.0384,36183181891.4847,33875127294.7425,51897252865.0687,50940057798.8003,44780671562.665,53393767385.1872,22314326085.29
"Medium Traditional",28309733806,41260013793,34992597394,34011985784,32178844449,35346833524,30374859132,32019259820.95,32800473951,35938113909,11523921293.8882,19294262660.5963,18125847099.2926,20013166372.316,24694186098.1362,30506190389.3488,32694630494.7587,38415252652.604,45614798519.268,51497164730.6166,51267925899.0568,50656683864.224,47710156553.8934,39252974914.8427,35338321849.3162,34371601595.8445,35846591828.7674,38657390295.0287,46961996021.619,51660498083.566,54716683725.2221,49525690350.8893,53181614532.2045,59138125006.1322,58066957747.7248,25036023481.6
"Small",13485462635,19440091588,17673966930,17748533767,18137814350,19136151732,19504806938,19913563370,20878185339.82,24839183122.87,20598432173.8267,21626567641.6172,25988438830.3704,32504323195.2737,34599455883.6881,43337560983.8088,45539243560.9074,49801972865.3861,54964480699.3463,59266736026.4084,58261568368.4893,56279087351.0887,56171070185.7094,47307538148.0965,53345215577.3017,52300697758.2954,56259170904.7961,59065740272.5902,70043736723.5645,72866637066.2723,75617363810.4196,73933383322.2853,81563459681.4971,89905784043.2579,93951173109.923,35219787461.12
"To Be Labeled",128761000,,475450000,34680000,691946000,657907000,488224000,3396506240,2544724929,4406682282,1140764146,1214362029,974538126.57,5125701761.04,1699640776.0878,3819423997.1599,3551275282.6479,4913046393.5099,6617975511.1973,4945313067.5657,5290266016.2056,6648770078.9394,4960702860.1275,4537103270.246,3547029648.179,3902648817.2791,3905920891.33,4586082640.5932,4591784259.5543,5599633629.1998,5964046956.9917,5976193830.4691,7433182385.6492,10553818069.0188,14106685300.57,7823699247.78
,12657156369,5733027167,5986408785,5597104734,4027272167,5034572112,5929337977,4097788635,3857386043,2509594078,896708530,1213766661.1,1573806956.21,709786293.24,1836868748.7889,7075231414.9506,7092868369.6672,6876854938.6181,9487139041.9535,5929525859.9317,4889927778.7871,4460070346.1235,3553770207.0369,2147929983.898,889402608.3627,1139396915.1726,992457473.8451,1270160251.1622,1549606406.4805,1722067973.7327,760479661.2613,744937880.4353,215207921.4624,458701202.7606,280518305.58,8912989.32
