"UnmodifiedUltimateDurationCategory","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"<=2 Months",0,,,164535000,211684000,341269000,180798000,54702636,162438391.82,107085153.08,262978454.9615,828817673.6266,2669622554.6534,659448759.5322,1120496768.8151,2209105200.965,9211922661.7023,29017078557.3694,33114595975.6061,28313304484.3334,27040780349.586,25570886032.5712,24134459350.3238,19617764566.1743,30793276939.7103,27562857342.1274,26861758499.4359,29380990092.0082,33639125678.9273,28400793827.5007,28270462165.3301,28368730200.156,36214569159.337,35868257244.7168,35695507669.3283,14199421118.99
">1-2 Years",22503134.53,,,51240000,15867000,11369021,294019000,871268162.06,791281609,792925193.12,2695178740.7284,4937591793.4718,3805386681.6658,6313208892.4843,6403115123.4787,10348030044.2081,17307336102.1037,49913500949.3858,65013899106.5634,72491334778.9601,67821031280.1026,64606187849.4088,67570021663.6716,51508421082.7475,41632236603.2459,43186916136.4182,49252209707.5782,57487831788.0978,65302203351.8866,73096063161.7735,93594603810.7955,60124710817.5674,65072125321.0337,68368429308.71,65952311741.5812,27366607798.56
">2-4 Years",10637000,11879000,24484000,230333000,112546894,205680912,603103650,917689663,848387150,1271825434,4844563239.5,4661188073.1738,6904603549.0035,8302857158.3555,13226186549.5843,12823637485.284,18481743270.4742,43095961115.3224,61503317079.1286,64952608510.5273,63627853128.4586,63752841759.6987,65999029595.0061,67137268741.9981,58274916474.2777,58236606990.1741,65711565439.6513,68239552913.5508,80183833712.6751,85492287446.657,81836587046.7324,72677435599.4421,80832416375.1877,90032375322.3939,90877679292.5498,30078689284.02
">2-7 Months",17092000,25485000,9999000,245318000,335426000,132546000,195137000,104689073,89775583,636622436,1758427630.6616,1039309207.1612,2127295006.2752,3650562148.025,3922287919.2774,7447262129.7434,13498351372.2827,32878395010.4411,41448044479.7198,38911943215.2649,41837135321.0391,45959804111.8921,41290498796.666,27694650022.4174,24149464711.7501,26134929553.8423,24482894300.1592,33294152540.4114,28207075337.1893,25017451552.3682,28385967235.8844,33137167231.9131,34881606502.7737,28112278575.5092,26742591399.2736,10329366899.9
">4 years",241095082.56,183688000,127759238,620937436,888027954.16,570724485,947107326.51,4960081025.15,5209067590.02,4757715834.5,11243282953.3739,13915986488.4799,24599216655.2157,37198831153.5553,45011870514.2988,54431116371.7577,69150701956.0822,83787405618.5716,96642315432.6931,94315415520.7773,84161653378.8532,92569687711.6144,92636463287.6801,87833685801.6747,74872326317.3709,68842121915.796,79962744151.8308,82629957008.0385,96550882101.1895,117263951535.822,126730624443.902,120635238769.462,129284845786.544,170214819645.57,165482815380.62,88935623259.87
">7-12 Months",,,,26513000,23120000,11885000,56234076,120110139,214534579,208054343.08,2190163664.845,2473502039.6535,4190603734.2755,8602552780.5639,6714735832.6084,9502841511.4641,14385690924.9819,41226017026.475,53111693359.5407,62119214856.0369,66251039319.5489,67146014267.9668,62571718457.6998,50859806062.3116,51576411414.3309,48769227946.4264,50178959620.8567,49692618755.8186,55219048557.7313,54404044978.6169,63474093257.122,71620261593.4366,67934705541.4539,64294293247.0492,60511698640.9441,27726675620.62
,122073914405,136905590844,125090444331,121718215706,117350945290,117114711576,118429912258,132794373677,135996443463.57,148826792017.62,109183375055.317,116137143296.66,125513792954.413,146805626407.269,153376431124.606,168902485015.591,153099801101.748,48220085542.6464,27151667111.0685,20442341074.0438,11956006419.6912,9005079451.994,3587694391.7589,3549081212.3179,2097612715.8821,1491430589.4474,1901725697.5015,1149312110.5601,259434769.2724,-66216062.7616,242407061.3547,410431128.8742,132175756.7193,231203312.7757,26997788.17,-2956450.67
