"PricingUCA","PricingUCA.sum","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Combination/Other","Crosscutting",5224643.8135,206279071.1,65968128.7305,202574519.3573,494081498.2477,1040686933.0404,3811455291.5949,18969812886.1547,27068248111.3078,33810739807.283,562784451.1999,236360613.8194,-3047316.6803,-29000677.0889,-28158395.0213,186433.53,0,0,0,0,62886.3819,0,467462,,0,0
"FFP","Fixed-Price",59182646176.378,68029133134.3996,84172927043.2771,109191257120.053,109917888362.608,128056315356.922,145648256648.068,166848058226.235,193682868034.757,188836443117.492,190320219216.651,185296473793.877,172059749493.197,146555746561.524,145138517154.312,141026762312.31,150949746376.045,156814365075.106,179967634000.997,193493963603.113,214197174064.981,211965572372.688,221225513145.585,229598736170.408,223315753675.264,92192297029.75
"Incentive","Incentive",5611054282,7006359729,10061864831,11178620983.05,13105483376.1,17077930669.2951,20374961655.0847,18685945723.6571,22778606116.9706,23367631022.5721,32499771660.3511,50206965242.1954,41831109502.0196,44838078690.2509,41026980218.0447,41284891994.3465,41212668317.811,39159231831.4332,51100371458.7331,62318560844.9668,60052044882.1014,53449378898.0976,55569298721.8894,78099249802.9526,57576927305.13,26591368796.92
"Other CB","Cost or Effort-Based",33924545141.8018,37080635922.5582,41092995084.2003,51897803585.7665,61337356704.7292,63247941068.5688,68417078975.8138,67883864687.3256,68191630703.8061,73096520087.5538,78965902425.9289,83296976874.4863,79816344145.2434,75490490163.3091,72378303350.7381,70240802220.0397,69260862110.1494,74933266510.3498,74373436789.2648,81660468881.7824,81344227842.3498,83105061425.7298,87942828454.8137,93626222058.3428,100392399903.2,47465787861.79
"Other FP","Fixed-Price",6839801062,9925767376.54,10322283139.64,11572384339.7196,13814245847.7306,24568467349.4617,21856197845.2591,19020832849.1161,25399668368.9787,26114943518.5739,18996712347.6781,21554808995.1044,28337105757.9386,18960756509.7747,12329925891.914,9520513433.5626,7934102502.8472,9697599565.2086,10924954464.7171,10533360721.0038,10010599380.3978,11288954329.0549,18507285621.6702,18571430386.5887,19076725553.08,6769211716.38
"T&M/LH/FPLOE","Cost or Effort-Based",5171873907.0695,4864781904.9802,6141425432.5808,8168326712.3817,9868043371.4774,11498643858.9029,14174741719.903,15507253755.4937,17350040981.4705,16370133914.6544,16069778282.3114,11384884466.4432,8346936490.7167,4941359843.6483,2993290039.9096,2742318747.1662,2871150853.9636,3263876553.8658,4602632244.587,4270846359.7238,4368895953.3957,3814071747.8028,3783816573.1851,4971193301.1066,5416517046.51,2404409864.56
"UCA","Crosscutting",9177040538,10462176940.88,9443306424.72,10237292526.1225,11967828533.2791,12763901576.2956,16140443552.2936,20403028189.6652,17381494286.5692,16642775320.3286,24121035775.0006,15054628189.178,23677468084.6534,16801348506.8392,8814205991.2047,9000638341.6701,25497944159.5598,37601443386.8689,38392384157.5136,31331259656.8439,52561758304.5505,23346948788.9128,27296670278.163,32216069499.0735,39060248937.3444,23034251723.45
,"Crosscutting",12265783988.3246,6418404492.7687,8509751051.3534,9084827512.3348,9270196138.4963,7410590946.917,4712411701.228,819783949.53,6132975939.2611,3311243228.1131,1159366817.6687,1579403012.9308,3724330778.1915,641947338.333,747196910.1428,410240382.9526,625689100.7023,381421623.9651,20204.71,50903.56,10000,10000,0,-29324.9492,10000,0
