"AnyCommercialText","SubCustomer.platform","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Not Classified
as Commercial","Air Force",1079359000,190498000,943162019,505522000,471753000,712511000,312721768.51,7458839962,7385638572,9265259032.67,34167200892,35587628799.4113,39412403808.1067,45679579592.3982,43320062631.5422,45896071689.4244,54527316613.4816,60156713731.7132,54574561251.8431,58292118565.9711,55952230494.9634,57003525262.5553,64304206079.6007,49045596584.8387,49799038510.5672,47126926605.9466,58318894956.8122,54541409102.5996,64170889257.9532,67245534912.4933,67330773472.8018,67233258687.3384,66273174942.2062,79215520721.2667,84013779017.643,37396834442.56
"Not Classified
as Commercial","Army",390568134.53,374418000,315106000,300044000,170513000,267800888,367009338,5676884199.21,6308091257,9181913610.92,33175477467.8834,36081159030.9361,39070820512.2752,53046233207.4546,59360882778.0754,81315028546.59,82547865604.6033,91210800120.7879,118287913354.452,122073869586.138,117605755219.193,104814600078.221,92148135684.0502,74254663233.259,62768618374.1778,59849077530.7266,61419697377.8422,65171819191.2072,77334452344.7116,79505609601.8437,82112796303.0454,65046391368.5598,69003742336.4209,94455499098.5066,88242693728.7019,30814890637.18
"Not Classified
as Commercial","DLA",21197000,29835000,5522000,5937000,8051000,8894000,67557000,98356861,496281130,956284324,3999495821.298,4428776959.7583,4866490814.8973,6327648200.8416,5952507044.2322,22207613098.3959,23032741387.4023,10926781478.8399,8626626893.685,11195573440.0201,13466853404.9501,13156196493.1132,13569543350.7549,11590843629.8784,12146564984.2995,13772682900.86,16413563931.9337,18482074975.2038,22511621346.9491,22510343546.9937,19603133983.1765,16151028199.5253,17743154994.1219,19026935028.8673,21795301474.73,11652201840.32
"Not Classified
as Commercial","MDA",74831000,68100000,1661000,,,,10171000,42314262,195307726,19712506.63,1372578894,1669843243,2458962108.825,2619690623.3438,3320365268.9938,3768654979.1375,3413408847.4845,4812450438.2833,5665058034.96,5493856729.5066,5236754364.5944,5317961272.141,6850619283.0292,7689073371.3359,6035561981.5764,4675237614.1307,6564169867.7859,5378002483.0826,8243251314.6542,8742092443.4821,12247332337.4861,8739058523.1676,9764873285.5792,7005689179.8779,8367287242.54,4041546053.1
"Not Classified
as Commercial","Navy",431836082.56,306120000,576223000,862709000,1121439000,789449045,1464339106,9064605524,10743961219.09,12267391815.05,38162302273.2196,39620067731.0789,42689066740.6875,50341249205.9042,53265710572.607,59569197099.7877,67784763718.2579,76298079730.8832,87669370161.4789,86708687217.7376,80242875486.0645,95977068450.2708,87950349205.4497,88049335449.7384,78116203323.329,78314159919.9366,86830803812.4669,103027095190.357,101019516969.472,113704998205.886,141839153044.574,103263739434.542,115120809639.107,141682797935.307,124208621679.185,63783501911.96
"Not Classified
as Commercial","Other DoD",4834000,3478000,4352000,9498000,3922000,17507000,35696000,420441040,513227101.5,615369460.54,5124083333.953,6275910906.299,8264606004.1794,10703281172.7507,10222388708.2977,12874685793.2682,14002334722.1156,13486353947.9543,17732796252.5386,20671586488.9453,20113511234.81,22860842126.8806,22638608870.7252,20706724339.675,21284876490.2422,20015467687.2675,20573567132.2217,21963983429.1028,23146050554.2316,25748541007.8728,26436136031.4718,25586668885.4696,27029135533.9017,27519857754.4758,27904516416.45,13675704803.78
"Non-development
or Commercial Similar","Air Force",,,,,,,,,,,0,0,96463622,152546003,395301213.29,133173391.125,27481406,28084285.1531,46336957.4171,37948239.0465,46986030.5988,227243886.9732,235708810.7472,82389110.695,25079569.41,18225507.72,10529618.8774,917834.1066,443717.6305,35946.4902,3186519.35,21532206.81,31669214.69,16261872.5892,2869178.35,336702.99
"Non-development
or Commercial Similar","Army",,,,,,,,,,,1319748,-326562,66788370,97672809.4297,322399610,560522486.24,358187275.2813,625933881.9439,736925148.0199,541068780.7809,142683653.6853,212299271.6502,267919169.3539,227457223.7214,74259354.6449,44031076.6517,54646283.3761,20866052.1757,105175015.8324,101687937.4501,-2040216.3673,-258722.2729,-3434867.5615,-931190.0078,917315.5,152312.66
"Non-development
or Commercial Similar","DLA",,,,,,,,,555200,,24935010,,56160,8006128,2269047,13605860.47,24234661,49730045.8701,45876418.68,21471821.9168,22838707.3105,52176061.0384,23133492.8503,207441998.22,15332494.56,26131302.4402,10327549.8218,8514832.6742,24972062.09,-2042510.3401,12602145.27,63497471.94,11082560.365,15555474.2025,7903994.22,7762241.31
"Non-development
or Commercial Similar","MDA",,,,,,,,,,,,,,,,,,,,51312235.1602,5e+05,,,,,24065.5,21247.73,,,,-1007.98,,,,,
"Non-development
or Commercial Similar","Navy",,,,,,,,,,,,,49690772,533648387,287858343.25,237196295.61,96580266.3895,3982736.3001,11657089.6929,2409556.5923,41044379.4958,398019612.8763,44811839.4983,38037047.2519,39009352.5426,26678517.505,30203009.489,13561319.8333,26729499.4703,27810959.019,12530350.0835,1295489.1226,92693.9795,21274.86,54373.59,-111307
"Non-development
or Commercial Similar","Other DoD",,,,,,,,,,,5400,4324,17944654,17306067,103595757,9801914,10447743.5,17004808,21920973.9498,11004235.2612,134115500.0919,175932802.7596,149958888.5289,113082745.0601,124308597.1951,3462144.6483,-617116.0124,-663050.9511,-5363995.2987,-108740.54,5306681.43,3935722,5507470.25,-148521.52,0,0
"Any Commercial
Classification","Air Force",,,,,,0,0,669318355,238722703,722021742,3791720784.9792,5045417820.1533,7894253339.6702,9725009428.7227,11341331928.0036,9550824014.9314,8584645594.3247,9692339064.6307,9029934287.6504,9477587146.4876,8908400188.3526,8245456620.6347,6954859115.1762,6039425803.0487,5978972991.5463,5710669257.9692,6720411084.2465,6876677103.5739,7696832454.0761,8568698908.9329,10621804440.1795,11914976180.341,12496395755.1849,13521417956.5186,15842706598.5606,6419851562.6
"Any Commercial
Classification","Army",12487000,,,,,,,205133649,241574833,652880477.6,3655703612.8933,4474549082.1569,7041221490.1605,11062641633.7626,16387229518.0399,13751345339.3401,18771875063.4314,26525913690.8893,34091021707.3264,24570043236.3813,23427467709.7086,20498404096.2138,16732308291.9892,13216870592.4377,12531034237.3697,13035773213.631,12718752295.0655,13427112457.3199,13999889174.3307,15392456348.4699,18333809105.7255,44734658439.8118,43538256543.4933,17537531960.5708,15915019969.45,6753500122.84
"Any Commercial
Classification","DLA",,,,,,,0,2133079,48271000,307143060,5556183332.3198,6997694567.0318,9724749053,11343338363.5085,13664955892.1473,5693585325.0071,9541833845.5334,19663253528.3385,27046273919.7412,26808524254.9002,21751954510.176,22919209951.6275,29557556182.5964,22285211441.2152,20184468874.7404,17104877492.8843,13805036504.7494,17120390071.1658,22913347369.5083,21730065270.9728,22499168421.3496,22880268333.3276,30536438764.9793,31477263940.2709,31248657246.12,11901659653.66
"Any Commercial
Classification","MDA",,,,,,,,,,,1301022,3167673,27002767,51804452.75,62557695.5859,73091282,79218294,116579183.3834,95204838.6129,128253786.8586,119697404.4413,64185257.343,26383148.0753,17086448.5319,15285505.31,15516018.4203,25050492.3443,34282436.0987,50050319.0013,77014185.5992,80492322.7806,78259983.5596,76896306.3972,73229862.9829,92045296.98,38893720.74
