"PricingInflation","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"All Other",6381928579.3536,6747108088.619,8072281192.2013,10540757674.2942,12837555957.1638,15096204296.5031,20557893154.9814,37399824102.3718,49726656794.9868,54631556718.4632,18690465759.476,13792564390.7305,9960146812.9704,5674820889.0681,3560661708.8258,3309138661.2531,3497892252.0064,3785717114.4289,5065767840.963,5080092983.2125,5492573941.4207,5019427737.2304,4855696567.4635,6240783323.4101,7219861841.72
"Cost-Based",41017731029.8018,43077261719.4941,47986493060.5011,60359498534.808,72636344256.3692,78922436134.7553,91529553402.1407,90597609774.4867,92243967300.8319,93384043495.1289,106597055566.163,114593342600.983,101983846618.247,95556972800.1595,92928871336.1869,88179253906.2632,91924227580.0939,98723360346.6838,101053858127.361,108597077492.154,108114538828.644,113102366189.102,118414679206.352,127278745636.945,140190170596.9
"FFP",65729849056.083,73056891006.8772,87658370256.8362,112233600483.614,113809654964.141,135269794700.926,151371749273.841,176305123926.349,201282666535.121,182260902974.079,205091243389.123,196042614484.438,190911668190.224,154549244061.639,150023467175.449,148167793539.232,162671372686.458,164423899394.237,186214236769.723,202877106832.583,223388717765.705,221867314116.506,229190166357.694,241088412575.15,241348214838.25
"FP-Econ. Price Adj.",6301955255,8495776002,8579162029,10237410913.1396,11393769098.2552,22121395381.4164,19911512736.7794,17480281868.3767,23192843019.3978,24772255556.7469,17167106144.1264,19616156026.3993,27118150470.6684,18300928885.4694,11867343341.3143,8985851310.0384,7381526904.9523,9214656305.5226,10630900917.601,9804333730.5025,8945182432.6572,10400372579.0701,17547545516.7689,16981868245.7354,17457190518.18
"FP-Incentive",6133098636,6192593184,9031564886,9079232479,9827511407.49,6844005103.9382,7082066073.0875,5551385159.2825,5349736696.5096,9307112508.7261,14936091789.0248,24522062766.4876,27821465995.2082,34145937904.3437,25072028857.0941,25584172858.1798,33049812670.3039,45706086881.0323,55865325274.4157,57616963401.306,76806621768.5092,37313582245.916,44487852773.861,64656951414.6669,38828429967.57
,6613923950.149,6424008621.3371,8482649711.9464,9082587219.0046,9270196138.4963,7410683084.917,4712411702.288,820198022.6251,6192215737.982,3294194225.2823,214382588.7513,-3081399.5465,-1973038.6911,508721.45,-2834591.3209,29995.58,-58489.62,1356734.2,20204.7109,50903.5586,10000,10000,0,-29324.9492,10000
