"SimpleArea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Products (All)",68380721115,73383395678,60090730088,60299705534,51512841085,49691607958,52193436723,49278780640,48098195391,51802770524,59593906260.5134,65032039583.7452,76869019699.1336,94870527525.624,103856299540.031,123344298337.017,136247006006.672,158496594476.276,190007295990.497,173660867842.544,162299987036.463,173058263127.792,171685524933.593,148420654317.737,129441377920.117,130023680111.761,148517002874.483,164161425612.126,183145205083.336,192856195322.137,218503704772.574,194493127546.995,209770703154.571,225642793034.253
"R&D",20898140764,21045199499,22012760444,22617936228,22512253381,22283993517,20876200390,20450686698,20659742325,20055211175,20078299690.203,21799583742.3897,25924063095.6199,29603523628.5788,31280534845.8972,35779585233.4557,39357564533.108,42270212366.3936,41153639513.1526,43765936441.8482,41464968984.3674,39030312928.4509,34968496717.3259,28020952063.7746,25817090463.5144,23828431643.2635,24607903018.4481,25707251341.973,27247839455.2387,31052346821.8831,31748331409.7009,32923935962.3838,35368418863.7585,43247146108.6712
"Services (Non-R&D)",31071267526,41725598667,41303170018,38455740380,43136808259,44616413393,45379141985,46252684541,48207944451,50327054789,52476773397.1324,57152176720.2494,66933354479.4362,86983295149.484,94631119240.2011,106536832495.863,119450867506.53,127369568426.202,146826782537.959,150222275025.885,158931643135.492,156475223638.35,151139289875.509,131786906603.739,128190620403.918,120374098515.522,125396286181.833,131985042215.006,148437277391.569,160066617314.297,172495598554.661,160285623042.445,169356818403.81,187356782728.035
"Unlabeled",,,,,,,,,,,29507158.5386,9838575.9431,84083862.2953,75741000.1739,7078195.786,3802636.121,109748296.8079,18047584.62,368043.2203,986168.1493,-253919.658,-140825.1013,-6477.8001,-99723.1206,449040,30000,3581529.4309,1357607,-212795.3691,465885,10000,386316,0,10000
