"UnmodifiedUltimateDurationCategory","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"<=2 Months",10216159711.7458,11470879776.0852,15128082687.2126,16329003604.9103,10640277474.8407,14405086743.2375,22954940532.9395,44503521028.502,51761064040.5969,43840460241.4517,45384180577.6074,42607284482.0355,40880978031.9413,37609975905.8345,47928691565.8346,45762701295.1843,44252676224.0787,45089613129.0173,46692376996.1801,41012614141.468,48710848386.5919,52989181266.7215,57707962671.4197,65153130887.0962,85876820161.8683,37411273696.26
">1-2 Years",6985442439.8992,9890871589.2792,14090420266.5989,15568771056.0097,16900402198.8329,22031233692.4653,29551417891.009,62791654469.3294,79519495941.2923,87203554516.8599,83506131909.3432,79337697735.5252,81545577018.8771,66295375545.9883,57125810819.1979,58294067616.0912,65874119612.5651,75216169245.7628,83195754157.4856,92450320102.3964,121904661011.545,83996694295.3114,89241902680.6967,93936629980.5425,86649836431.8912,33649158711.74
">2-4 Years",8230807095.714,10560451597.8689,13764099457.4384,17891792040.2701,23817612543.4739,24519010882.5346,30808334005.8803,61455757363.1546,78686085720.5173,83141720122.6335,83740172441.5912,83522004495.7916,82436300526.8215,84128476760.5834,76773133981.4242,77540220680.1836,86565555062.5251,88150173817.1372,102225928221.144,107929740369.752,106695511180.549,97070013500.8136,109501283943.375,124863339117.665,122929712498.62,38136666576.3
">2-7 Months",10095602751.7792,10053401989.3701,14832650820.3911,15303206438.2715,17117682142.989,24244423723.9112,30422948937.0949,49965982281.4677,56076217420.461,63047305635.9184,63841403220.4104,66290519510.1948,60546730781.8537,40828118931.0142,38180041426.8094,39936359927.7054,39339281783.5481,54812025130.9456,49337487092.061,47963331669.6968,54339332990.9159,53909110557.1904,54380754881.1247,58412714280.4301,43621235258.8636,17667064062.33
">4 years",20400191016.0788,28192887528.8715,41392123273.1324,63099497608.3842,74249549129.6656,87205228213.2689,107244576467.908,129145551661.045,147003126895.036,157879218654.289,147185625884.609,155657965433.714,156238033941.023,151438170103.653,141298320860.011,136418480997.38,152804456517.66,162247845114.868,182028332913.059,209652048453.283,230139772648.291,233704997302.719,260036287194.898,302690161066.755,301691029042.944,140754397445.51
">7-12 Months",11219704324.6334,13495054409.5492,18929268365.3096,24942342232.2954,26440303923.5798,28406533255.6492,36465739626.2993,61066011643.481,73900234358.177,85713966187.7007,92227270715.9696,93883613027.3615,87990243664.0848,73353230670.7415,75625845071.6703,71361026086.5685,72859782183.7295,74764830378.1765,82042945183.2896,80033274016.7934,96024135052.4401,111507970930.936,109658800460.662,101868909703.6,99625721827.9041,40907315267.65
,138474103616.301,139458568080.44,146042896696.826,166400020576.104,170208535472.235,190610205663.644,173702736266.629,60903971940.117,41378588042.1519,34393403054.9144,45576895729.3422,18982374013.9037,11564944015.603,10348939649.3136,9567493863.5743,10925624060.5162,14124017358.0099,10830690576.3624,10827353969.7173,11013395797.6725,13948621206.2322,12615505929.7909,14230627815.8941,14157146222.651,15458619851.49,6483538739.43
